japan_prefecture_code,prefecture_name,target_prediction_date,cumulative_confirmed,cumulative_confirmed_q0025,cumulative_confirmed_q0975,cumulative_deaths,cumulative_deaths_q0025,cumulative_deaths_q0975,hospitalized_patients,hospitalized_patients_q0025,hospitalized_patients_q0975,recovered,recovered_q0025,recovered_q0975,cumulative_confirmed_ground_truth,cumulative_deaths_ground_truth,hospitalized_patients_ground_truth,recovered_ground_truth,forecast_date,new_deaths,new_confirmed,new_deaths_ground_truth,new_confirmed_ground_truth,prefecture_name_kanji,__index_level_0__
JP-01,HOKKAIDO,2021-11-05 00:00:00 UTC,60787.3046875,60786.1953125,60930,1472.177978515625,1472.1473388671875,1484.8172607421875,84.710906982421875,84.7043685913086,108.14797973632812,59226.578125,59225.5078125,59330.0390625,,,,,2021-11-04 00:00:00 UTC,0.177978515625,4.3046875,,,北海道,28
JP-01,HOKKAIDO,2021-11-06 00:00:00 UTC,60791.21875,60789.10546875,61063.6875,1472.2705078125,1472.21240234375,1496.2867431640625,78.450248718261719,78.438766479492188,119.69020080566406,59233.65625,59231.6171875,59430.33203125,,,,,2021-11-04 00:00:00 UTC,0.092529296875,3.9140625,,,北海道,29
JP-01,HOKKAIDO,2021-11-07 00:00:00 UTC,60793.6640625,60790.65234375,61179.33203125,1472.43310546875,1472.350341796875,1506.683837890625,71.876182556152344,71.8611831665039,125.77073669433594,59241.5,59238.59375,59521.90234375,,,,,2021-11-04 00:00:00 UTC,0.16259765625,2.4453125,,,北海道,30
JP-01,HOKKAIDO,2021-11-08 00:00:00 UTC,60795.17578125,60791.34765625,61280.62109375,1472.58544921875,1472.4803466796875,1516.101318359375,65.920738220214844,65.903274536132812,128.63241577148438,59248.8828125,59245.1875,59606.6015625,,,,,2021-11-04 00:00:00 UTC,0.15234375,1.51171875,,,北海道,31
JP-01,HOKKAIDO,2021-11-09 00:00:00 UTC,60797.4140625,60792.859375,61367.80859375,1472.7327880859375,1472.6075439453125,1524.6201171875,63.00347900390625,62.983589172363281,134.356201171875,59255.9765625,59251.5703125,59684.33203125,,,,,2021-11-04 00:00:00 UTC,0.1473388671875,2.23828125,,,北海道,32
JP-01,HOKKAIDO,2021-11-10 00:00:00 UTC,60799.4453125,60794.23046875,61445.77734375,1472.908935546875,1472.7655029296875,1532.3687744140625,59.513153076171875,59.49163818359375,136.60932922363281,59262.69921875,59257.65625,59756.08984375,,,,,2021-11-04 00:00:00 UTC,0.1761474609375,2.03125,,,北海道,33
JP-01,HOKKAIDO,2021-11-11 00:00:00 UTC,60800.88671875,60795.08203125,61518.17578125,1473.0418701171875,1472.882080078125,1539.352294921875,54.692611694335938,54.670578002929688,133.55552673339844,59268.72265625,59263.10546875,59822.08984375,,,,,2021-11-04 00:00:00 UTC,0.1329345703125,1.44140625,,,北海道,34
JP-01,HOKKAIDO,2021-11-12 00:00:00 UTC,60802.0234375,60795.69140625,61584.421875,1473.1488037109375,1472.97412109375,1545.6766357421875,50.665252685546875,50.642948150634766,130.38870239257812,59273.703125,59267.57421875,59882.984375,,,,,2021-11-04 00:00:00 UTC,0.10693359375,1.13671875,,,北海道,35
JP-01,HOKKAIDO,2021-11-13 00:00:00 UTC,60803.13671875,60796.32421875,61652.02734375,1473.20458984375,1473.0166015625,1551.52734375,46.955574035644531,46.93328857421875,126.36190795898438,59278.1953125,59271.6015625,59945.53125,,,,,2021-11-04 00:00:00 UTC,0.0557861328125,1.11328125,,,北海道,36
JP-01,HOKKAIDO,2021-11-14 00:00:00 UTC,60803.88671875,60796.64453125,61711.5234375,1473.30078125,1473.1004638671875,1556.90625,43.007736206054688,42.985988616943359,120.27667236328125,59282.97265625,59275.96484375,60005.3359375,,,,,2021-11-04 00:00:00 UTC,0.09619140625,0.75,,,北海道,37
JP-01,HOKKAIDO,2021-11-15 00:00:00 UTC,60804.390625,60796.76953125,61764.53515625,1473.39013671875,1473.1788330078125,1561.7972412109375,39.394157409667969,39.373119354248047,113.90448760986328,59287.390625,59280.01171875,60061.078125,,,,,2021-11-04 00:00:00 UTC,0.08935546875,0.50390625,,,北海道,38
