japan_prefecture_code,prefecture_name,target_prediction_date,cumulative_confirmed,cumulative_confirmed_q0025,cumulative_confirmed_q0975,cumulative_deaths,cumulative_deaths_q0025,cumulative_deaths_q0975,hospitalized_patients,hospitalized_patients_q0025,hospitalized_patients_q0975,recovered,recovered_q0025,recovered_q0975,cumulative_confirmed_ground_truth,cumulative_deaths_ground_truth,hospitalized_patients_ground_truth,recovered_ground_truth,forecast_date,new_deaths,new_confirmed,new_deaths_ground_truth,new_confirmed_ground_truth,prefecture_name_kanji,__index_level_0__
JP-01,HOKKAIDO,2021-07-27 00:00:00 UTC,43307.65625,43277.1328125,43684.421875,1424.2647705078125,1424.0242919921875,1441.459228515625,1087.3385009765625,1085.122802734375,1302.5255126953125,40756.91796875,40728.9375,40888.99609375,,,,,2021-07-26 00:00:00 UTC,1.2647705078125,149.65625,,,北海道,28
JP-01,HOKKAIDO,2021-07-28 00:00:00 UTC,43452.0703125,43393.734375,44196.58203125,1425.5478515625,1425.090576171875,1458.245849609375,1139.23828125,1134.8272705078125,1567.4722900390625,40832.625,40779.36328125,41083.89453125,,,,,2021-07-26 00:00:00 UTC,1.2830810546875,144.4140625,,,北海道,29
JP-01,HOKKAIDO,2021-07-29 00:00:00 UTC,43617.1953125,43533.36328125,44727.23828125,1426.890380859375,1426.237548828125,1473.56884765625,1212.7962646484375,1206.0985107421875,1862.5338134765625,40912.20703125,40836.08203125,41271.08203125,,,,,2021-07-26 00:00:00 UTC,1.342529296875,165.125,,,北海道,30
JP-01,HOKKAIDO,2021-07-30 00:00:00 UTC,43773.0625,43665.99609375,45229.40625,1428.3201904296875,1427.490966796875,1487.6131591796875,1282.44677734375,1273.459228515625,2153.754638671875,40996.9140625,40900.11328125,41453.16796875,,,,,2021-07-26 00:00:00 UTC,1.4298095703125,155.8671875,,,北海道,31
JP-01,HOKKAIDO,2021-07-31 00:00:00 UTC,43922.66015625,43794.41796875,45704.15234375,1429.829833984375,1428.84130859375,1500.5084228515625,1342.6663818359375,1331.4613037109375,2428.52490234375,41086.6328125,40971.109375,41631.09375,,,,,2021-07-26 00:00:00 UTC,1.5096435546875,149.59765625,,,北海道,32
JP-01,HOKKAIDO,2021-08-01 00:00:00 UTC,44075.56640625,43927.98046875,46168.80078125,1431.4141845703125,1430.2818603515625,1512.3751220703125,1399.5152587890625,1386.1514892578125,2694.319091796875,41180.5859375,41048.1015625,41804.98828125,,,,,2021-07-26 00:00:00 UTC,1.5843505859375,152.90625,,,北海道,33
JP-01,HOKKAIDO,2021-08-02 00:00:00 UTC,44235.70703125,44070.3828125,46632.26171875,1433.0616455078125,1431.79931640625,1523.3128662109375,1457.5052490234375,1442.0089111328125,2958.8603515625,41278.58203125,41130.71875,41975.58984375,,,,,2021-07-26 00:00:00 UTC,1.6474609375,160.140625,,,北海道,34
JP-01,HOKKAIDO,2021-08-03 00:00:00 UTC,44408.64453125,44226.95703125,47108.6875,1434.7813720703125,1433.401611328125,1533.4320068359375,1521.6395263671875,1503.9776611328125,3232.81591796875,41380.5703125,41218.75,42143.6875,,,,,2021-07-26 00:00:00 UTC,1.7197265625,172.9375,,,北海道,35
JP-01,HOKKAIDO,2021-08-04 00:00:00 UTC,44601.4609375,44404.53515625,47615.44140625,1436.575927734375,1435.0899658203125,1542.8175048828125,1599.2861328125,1579.3197021484375,3533.736083984375,41486.96875,41312.46484375,42310.04296875,,,,,2021-07-26 00:00:00 UTC,1.7945556640625,192.81640625,,,北海道,36
JP-01,HOKKAIDO,2021-08-05 00:00:00 UTC,44820.90625,44609.609375,48171.5234375,1438.45849609375,1436.87646484375,1551.5670166015625,1695.0875244140625,1672.58642578125,3874.866455078125,41598.69140625,41412.64453125,42476.296875,,,,,2021-07-26 00:00:00 UTC,1.882568359375,219.4453125,,,北海道,37
JP-01,HOKKAIDO,2021-08-06 00:00:00 UTC,45026.92578125,44802.5625,48675.10546875,1440.4547119140625,1438.7855224609375,1559.785888671875,1782.4100341796875,1757.48291015625,4196.92626953125,41716.8203125,41520.2578125,42644.2890625,,,,,2021-07-26 00:00:00 UTC,1.9962158203125,206.01953125,,,北海道,38
JP-01,HOKKAIDO,2021-08-07 00:00:00 UTC,45223.63671875,44987.359375,49139.67578125,1442.550048828125,1440.8018798828125,1567.53173828125,1856.0218505859375,1828.8780517578125,4485.16796875,41841.05859375,41634.890625,42814.54296875,,,,,2021-07-26 00:00:00 UTC,2.0953369140625,196.7109375,,,北海道,39
JP-01,HOKKAIDO,2021-08-08 00:00:00 UTC,45423.67578125,45176.3984375,49602.359375,1444.7373046875,1442.917236328125,1574.9141845703125,1924.47216796875,1895.2200927734375,4757.88037109375,41970.31640625,41755.3828125,42988.9375,,,,,2021-07-26 00:00:00 UTC,2.187255859375,200.0390625,,,北海道,40
JP-01,HOKKAIDO,2021-08-09 00:00:00 UTC,45632.33984375,45374.80859375,50076.234375,1446.99951171875,1445.1138916015625,1581.95263671875,1993.9949951171875,1962.6546630859375,5029.9169921875,42104.3203125,41881.375,43166.921875,,,,,2021-07-26 00:00:00 UTC,2.26220703125,208.6640625,,,北海道,41
JP-01,HOKKAIDO,2021-08-10 00:00:00 UTC,45856.55078125,45589.30859375,50580.19921875,1449.348388671875,1447.4029541015625,1588.699951171875,2070.982421875,2037.468505859375,5317.74755859375,42243.01171875,42012.7265625,43348.3046875,,,,,2021-07-26 00:00:00 UTC,2.348876953125,224.2109375,,,北海道,42
JP-01,HOKKAIDO,2021-08-11 00:00:00 UTC,46105.95703125,45829.30078125,51138.578125,1451.7862548828125,1449.786376953125,1595.182861328125,2165.115234375,2129.172607421875,5647.3720703125,42387.03125,42150.00390625,43533.21875,,,,,2021-07-26 00:00:00 UTC,2.4378662109375,249.40625,,,北海道,43
JP-01,HOKKAIDO,2021-08-12 00:00:00 UTC,46388.69140625,46102.71484375,51772.6484375,1454.329833984375,1452.2801513671875,1601.416748046875,2282.177001953125,2243.431884765625,6035.78369140625,42537.5078125,42294.25390625,43721.19140625,,,,,2021-07-26 00:00:00 UTC,2.5435791015625,282.734375,,,北海道,44
JP-01,HOKKAIDO,2021-08-13 00:00:00 UTC,46652.5625,46358.171875,52325.5,1457.011474609375,1454.916259765625,1607.48291015625,2387.34130859375,2346.001708984375,6392,42695.875,42446.84765625,43914.38671875,,,,,2021-07-26 00:00:00 UTC,2.681640625,263.87109375,,,北海道,45
JP-01,HOKKAIDO,2021-08-14 00:00:00 UTC,46903.828125,46601.82421875,52826.046875,1459.8111572265625,1457.6739501953125,1613.4185791015625,2474.362060546875,2430.761474609375,6697.9013671875,42861.7421875,42607.3671875,44114.1015625,,,,,2021-07-26 00:00:00 UTC,2.7996826171875,251.265625,,,北海道,46
JP-01,HOKKAIDO,2021-08-15 00:00:00 UTC,47158.28125,46849.1171875,53322.62109375,1462.7196044921875,1460.5439453125,1619.1793212890625,2553.954345703125,2508.250244140625,6981.552734375,43033.82421875,42774.45703125,44316.91015625,,,,,2021-07-26 00:00:00 UTC,2.908447265625,254.453125,,,北海道,47
JP-01,HOKKAIDO,2021-08-16 00:00:00 UTC,47422.47265625,47106.45703125,53835.6953125,1465.7127685546875,1463.501953125,1624.829833984375,2633.850830078125,2586.067138671875,7263.46533203125,43211.8046875,42947.7890625,44525.47265625,,,,,2021-07-26 00:00:00 UTC,2.9931640625,264.19140625,,,北海道,48
JP-01,HOKKAIDO,2021-08-17 00:00:00 UTC,47705.94140625,47383.15625,54393.5,1468.8057861328125,1466.5623779296875,1630.4029541015625,2722.76123046875,2672.760986328125,7567.84326171875,43395.4765625,43127.109375,44739.515625,,,,,2021-07-26 00:00:00 UTC,3.093017578125,283.46875,,,北海道,49
JP-01,HOKKAIDO,2021-08-18 00:00:00 UTC,48019.8515625,47690.14453125,55023.50390625,1472.0006103515625,1469.7269287109375,1635.884521484375,2832.525146484375,2779.94384765625,7928.3251953125,43585.55078125,43313.09375,44957.9140625,,,,,2021-07-26 00:00:00 UTC,3.19482421875,313.91015625,,,北海道,50
JP-01,HOKKAIDO,2021-08-19 00:00:00 UTC,48374.19921875,48037.1875,55753.9375,1475.31689453125,1473.0152587890625,1641.3194580078125,2969.985595703125,2914.3193359375,8364.9365234375,43783.44921875,43507.1171875,45182.0625,,,,,2021-07-26 00:00:00 UTC,3.3162841796875,354.34765625,,,北海道,51
JP-01,HOKKAIDO,2021-08-20 00:00:00 UTC,48704.42578125,48360.92578125,56376.18359375,1478.7940673828125,1476.4664306640625,1646.7755126953125,3092.2041015625,3033.7470703125,8757.6005859375,43991.00390625,43710.96875,45414.49609375,,,,,2021-07-26 00:00:00 UTC,3.4771728515625,330.2265625,,,北海道,52
JP-01,HOKKAIDO,2021-08-21 00:00:00 UTC,49017.48046875,48668.18359375,56927.9453125,1482.4066162109375,1480.0543212890625,1652.2652587890625,3190.839599609375,3130.05419921875,9082.0380859375,44207.7265625,43924.15625,45656.30078125,,,,,2021-07-26 00:00:00 UTC,3.612548828125,313.0546875,,,北海道,53
JP-01,HOKKAIDO,2021-08-22 00:00:00 UTC,49333.86328125,48979.02734375,57477.46875,1486.1422119140625,1483.7669677734375,1657.733642578125,3279.82470703125,3216.914306640625,9377.6103515625,44431.76171875,44144.80859375,45903.234375,,,,,2021-07-26 00:00:00 UTC,3.735595703125,316.3828125,,,北海道,54
JP-01,HOKKAIDO,2021-08-23 00:00:00 UTC,49661.921875,49301.578125,58047.828125,1489.970703125,1487.5740966796875,1663.129638671875,3369.171875,3304.149169921875,9672.9501953125,44662.5625,44372.3359375,46153.85546875,,,,,2021-07-26 00:00:00 UTC,3.8284912109375,328.05859375,,,北海道,55
JP-02,AOMORI,2021-07-27 00:00:00 UTC,2624.353271484375,2622.494384765625,2645.4853515625,31.069448471069336,31.064191818237305,31.451082229614258,54.966022491455078,54.8541145324707,65.9136962890625,2535.916259765625,2534.179443359375,2544.958740234375,,,,,2021-07-26 00:00:00 UTC,0.069448471069335938,5.353271484375,,,青森県,84
JP-02,AOMORI,2021-07-28 00:00:00 UTC,2630.975341796875,2627.4267578125,2673.114990234375,31.139249801635742,31.129215240478516,31.869131088256836,56.982975006103516,56.762615203857422,78.5631332397461,2538.947509765625,2535.644287109375,2556.456787109375,,,,,2021-07-26 00:00:00 UTC,0.06980133056640625,6.6220703125,,,青森県,85
JP-02,AOMORI,2021-07-29 00:00:00 UTC,2639.11474609375,2634.02294921875,2702.6474609375,31.211738586425781,31.197364807128906,32.259918212890625,60.569599151611328,60.235599517822266,93.246795654296875,2542.1552734375,2537.440185546875,2567.619873046875,,,,,2021-07-26 00:00:00 UTC,0.072488784790039062,8.139404296875,,,青森県,86
JP-02,AOMORI,2021-07-30 00:00:00 UTC,2646.306884765625,2639.813720703125,2729.63818359375,31.289007186889648,31.270702362060547,32.6258659362793,64.163414001464844,63.714492797851562,108.00407409667969,2545.604736328125,2539.614990234375,2578.198974609375,,,,,2021-07-26 00:00:00 UTC,0.077268600463867188,7.192138671875,,,青森県,87
