完了_年月日,全国地方公共団体コード,都道府県名,市区町村名,陽性確認_件数,陰性確認_件数,死亡確認_件数,備考
2020/2/17,180009,福井県,,0,0,0,
2020/2/18,180009,福井県,,0,0,0,
2020/2/19,180009,福井県,,0,0,0,
2020/2/20,180009,福井県,,0,0,0,
2020/2/21,180009,福井県,,0,0,0,
2020/2/22,180009,福井県,,0,0,0,
2020/2/23,180009,福井県,,0,0,0,
2020/2/24,180009,福井県,,0,0,0,
2020/2/25,180009,福井県,,0,0,0,
2020/2/26,180009,福井県,,0,0,0,
2020/2/27,180009,福井県,,0,0,0,
2020/2/28,180009,福井県,,0,0,0,
2020/2/29,180009,福井県,,0,0,0,
2020/3/1,180009,福井県,,0,0,0,
2020/3/2,180009,福井県,,0,0,0,
2020/3/3,180009,福井県,,0,0,0,
2020/3/4,180009,福井県,,0,0,0,
2020/3/5,180009,福井県,,0,0,0,
2020/3/6,180009,福井県,,0,0,0,
2020/3/7,180009,福井県,,0,0,0,
2020/3/8,180009,福井県,,0,0,0,
2020/3/9,180009,福井県,,0,0,0,
2020/3/10,180009,福井県,,0,0,0,
2020/3/11,180009,福井県,,0,0,0,
2020/3/12,180009,福井県,,0,0,0,
2020/3/13,180009,福井県,,0,0,0,
2020/3/14,180009,福井県,,0,0,0,
2020/3/15,180009,福井県,,0,0,0,
2020/3/16,180009,福井県,,0,0,0,
2020/3/17,180009,福井県,,0,0,0,
2020/3/18,180009,福井県,,1,0,0,
2020/3/19,180009,福井県,,0,0,0,
2020/3/20,180009,福井県,,0,0,0,
2020/3/21,180009,福井県,,0,0,0,
2020/3/22,180009,福井県,,0,0,0,
2020/3/23,180009,福井県,,0,0,0,
2020/3/24,180009,福井県,,0,0,0,
2020/3/25,180009,福井県,,4,0,0,
2020/3/26,180009,福井県,,1,0,0,
2020/3/27,180009,福井県,,3,0,0,
2020/3/28,180009,福井県,,3,0,0,
2020/3/29,180009,福井県,,1,0,0,
2020/3/30,180009,福井県,,7,0,0,
2020/3/31,180009,福井県,,1,0,0,
2020/4/1,180009,福井県,,9,0,0,
2020/4/2,180009,福井県,,9,1,1,
2020/4/3,180009,福井県,,5,0,0,
2020/4/4,180009,福井県,,8,0,0,
2020/4/5,180009,福井県,,7,0,1,
2020/4/6,180009,福井県,,6,0,0,
2020/4/7,180009,福井県,,7,1,0,
2020/4/8,180009,福井県,,5,1,0,
2020/4/9,180009,福井県,,5,0,0,
2020/4/10,180009,福井県,,4,2,0,
2020/4/11,180009,福井県,,2,1,0,
2020/4/12,180009,福井県,,4,2,0,
2020/4/13,180009,福井県,,2,0,0,
2020/4/14,180009,福井県,,5,2,1,
2020/4/15,180009,福井県,,2,3,1,
2020/4/16,180009,福井県,,2,2,0,
2020/4/17,180009,福井県,,2,5,0,
2020/4/18,180009,福井県,,3,6,1,
2020/4/19,180009,福井県,,4,1,0,
2020/4/20,180009,福井県,,5,2,0,
2020/4/21,180009,福井県,,2,7,0,
2020/4/22,180009,福井県,,0,9,0,
2020/4/23,180009,福井県,,1,4,1,
2020/4/24,180009,福井県,,0,7,0,
2020/4/25,180009,福井県,,1,5,0,
2020/4/26,180009,福井県,,0,3,0,
2020/4/27,180009,福井県,,1,1,1,
2020/4/28,180009,福井県,,0,1,0,
2020/4/29,180009,福井県,,0,3,0,
2020/4/30,180009,福井県,,0,2,1,
2020/5/1,180009,福井県,,0,2,0,
2020/5/2,180009,福井県,,0,4,0,
2020/5/3,180009,福井県,,0,0,0,
2020/5/4,180009,福井県,,0,3,0,
2020/5/5,180009,福井県,,0,1,0,
2020/5/6,180009,福井県,,0,4,0,
2020/5/7,180009,福井県,,0,4,0,
2020/5/8,180009,福井県,,0,0,0,
2020/5/9,180009,福井県,,0,5,0,
2020/5/10,180009,福井県,,0,0,0,
2020/5/11,180009,福井県,,0,1,0,
2020/5/12,180009,福井県,,0,1,0,
2020/5/13,180009,福井県,,0,2,0,
2020/5/14,180009,福井県,,0,1,0,
2020/5/15,180009,福井県,,0,0,0,
2020/5/16,180009,福井県,,0,3,0,
2020/5/17,180009,福井県,,0,0,0,
2020/5/18,180009,福井県,,0,2,0,
2020/5/19,180009,福井県,,0,0,0,
2020/5/20,180009,福井県,,0,1,0,
2020/5/21,180009,福井県,,0,0,0,
2020/5/22,180009,福井県,,0,2,0,
2020/5/23,180009,福井県,,0,1,0,
2020/5/24,180009,福井県,,0,1,0,
2020/5/25,180009,福井県,,0,0,0,
2020/5/26,180009,福井県,,0,0,0,
2020/5/27,180009,福井県,,0,0,0,
2020/5/28,180009,福井県,,0,0,0,
2020/5/29,180009,福井県,,0,0,0,
2020/5/30,180009,福井県,,0,0,0,
2020/5/31,180009,福井県,,0,1,0,
2020/6/1,180009,福井県,,0,2,0,
2020/6/2,180009,福井県,,0,0,0,
2020/6/3,180009,福井県,,0,0,0,
2020/6/4,180009,福井県,,0,0,0,
2020/6/5,180009,福井県,,0,0,0,
2020/6/6,180009,福井県,,0,1,0,
2020/6/7,180009,福井県,,0,0,0,
2020/6/8,180009,福井県,,0,0,0,
2020/6/9,180009,福井県,,0,0,0,
2020/6/10,180009,福井県,,0,0,0,
2020/6/11,180009,福井県,,0,0,0,
2020/6/12,180009,福井県,,0,0,0,
2020/6/13,180009,福井県,,0,0,0,
2020/6/14,180009,福井県,,0,0,0,
2020/6/15,180009,福井県,,0,1,0,
2020/6/16,180009,福井県,,0,0,0,
2020/6/17,180009,福井県,,0,0,0,
2020/6/18,180009,福井県,,0,0,0,
