完了_年月日,全国地方公共団体コード,都道府県名,市区町村名,陽性確認_件数,陰性確認_件数,死亡確認_件数,備考
2020/2/17,180009,福井県,,0,0,0,
2020/2/18,180009,福井県,,0,0,0,
2020/2/19,180009,福井県,,0,0,0,
2020/2/20,180009,福井県,,0,0,0,
2020/2/21,180003,福井県,,0,0,0,
2020/2/22,180009,福井県,,0,0,0,
2020/2/23,180009,福井県,,0,0,0,
2020/2/24,180009,福井県,,0,0,0,
2020/2/25,180009,福井県,,0,0,0,
2020/2/26,180009,福井県,,0,0,0,
2020/2/27,180009,福井県,,0,0,0,
2020/2/28,180004,福井県,,0,0,0,
2020/2/29,180009,福井県,,0,0,0,
2020/3/1,180009,福井県,,0,0,0,
2020/3/2,180009,福井県,,0,0,0,
2020/3/3,180009,福井県,,0,0,0,
2020/3/4,180009,福井県,,0,0,0,
2020/3/5,180009,福井県,,0,0,0,
2020/3/6,180005,福井県,,0,0,0,
2020/3/7,180009,福井県,,0,0,0,
2020/3/8,180009,福井県,,0,0,0,
2020/3/9,180009,福井県,,0,0,0,
2020/3/10,180009,福井県,,0,0,0,
2020/3/11,180009,福井県,,0,0,0,
2020/3/12,180009,福井県,,0,0,0,
2020/3/13,180006,福井県,,0,0,0,
2020/3/14,180009,福井県,,0,0,0,
2020/3/15,180009,福井県,,0,0,0,
2020/3/16,180009,福井県,,0,0,0,
2020/3/17,180009,福井県,,0,0,0,
2020/3/18,180009,福井県,,1,0,0,
2020/3/19,180009,福井県,,0,0,0,
2020/3/20,180007,福井県,,0,0,0,
2020/3/21,180009,福井県,,0,0,0,
2020/3/22,180009,福井県,,0,0,0,
2020/3/23,180009,福井県,,0,0,0,
2020/3/24,180009,福井県,,0,0,0,
2020/3/25,180009,福井県,,4,0,0,
2020/3/26,180009,福井県,,1,0,0,
2020/3/27,180008,福井県,,3,0,0,
2020/3/28,180009,福井県,,3,0,0,
2020/3/29,180009,福井県,,1,0,0,
2020/3/30,180009,福井県,,7,0,0,
2020/3/31,180009,福井県,,1,0,0,
2020/4/1,180009,福井県,,9,0,0,
2020/4/2,180009,福井県,,9,1,1,
2020/4/3,180009,福井県,,5,0,0,
2020/4/4,180009,福井県,,8,0,0,
2020/4/5,180009,福井県,,7,0,1,
2020/4/6,180009,福井県,,6,0,0,
2020/4/7,180009,福井県,,7,1,0,
2020/4/8,180009,福井県,,5,1,0,
2020/4/9,180009,福井県,,5,0,0,
2020/4/10,180009,福井県,,4,2,0,
2020/4/11,180009,福井県,,2,1,0,
2020/4/12,180009,福井県,,4,2,0,
2020/4/13,180009,福井県,,2,0,0,
2020/4/14,180009,福井県,,5,2,1,
2020/4/15,180009,福井県,,2,3,1,
2020/4/16,180009,福井県,,2,2,0,
2020/4/17,180009,福井県,,2,5,0,
2020/4/18,180009,福井県,,3,6,1,
2020/4/19,180009,福井県,,4,1,0,
2020/4/20,180009,福井県,,1,2,0,
2020/4/21,180009,福井県,,5,7,0,
2020/4/22,180009,福井県,,1,9,0,
2020/4/23,180009,福井県,,0,4,1,
