"発表年月日","発表時間","検査実施人数","陽性者数","入院中","中等症以下","重症","死亡","退院"
"3/10/20","24時","444","25","24","20","4","0","1"
"3/11/20","24時","540","37","35","31","4","1","1"
"3/12/20","24時","650","46","44","40","4","1","1"
"3/13/20","24時","744","56","54","50","4","1","1"
"3/14/20","24時","824","67","64","57","7","1","2"
"3/15/20","24時","887","78","75","68","7","1","2"
"3/16/20","24時","951","82","78","72","6","2","2"
"3/17/20","23時","1024","86","81","75","6","2","3"
"3/18/20","24時","1131","91","84","78","6","3","4"
"3/19/20","24時","1315","93","85","80","5","4","4"
"3/20/20","24時","1442","101","88","83","5","4","9"
"3/21/20","24時","1526","107","94","88","6","4","9"
"3/22/20","24時","1615","111","96","91","5","6","9"
"3/23/20","24時","1730","113","92","86","6","6","15"
"3/24/20","24時","1863","118","96","89","7","6","16"
"3/25/20","24時","2039","119","96","89","7","6","17"
"3/26/20","24時","2130","120","96","88","8","7","17"
"3/27/20","24時","2291","123","97","91","6","9","17"
"3/28/20","24時","2393","126","99","93","6","10","17"
"3/29/20","24時","2413","133","106","100","6","10","17"
"3/30/20","24時","2476","137","86","81","5","11","40"
"3/31/20","24時","2614","148","97","91","6","11","40"
"4/1/20","24時","2717","162","111","103","8","11","40"
"4/2/20","24時","2814","169","108","100","8","11","50"
"4/3/20","24時","2927","175","114","106","8","11","50"
"4/4/20","24時","3048","190","129","121","8","11","50"
"4/5/20","24時","3084","203","142","134","8","11","50"
"4/6/20","24時","3181","209","137","130","7","12","60"
"4/7/20","24時","3357","229","157","149","8","12","60"
"4/8/20","24時","3526","248","176","168","8","12","60"
"4/9/20","24時","3721","287","214","205","9","13","60"
"4/10/20","24時","3924","316","225","217","8","13","78"
"4/11/20","24時","4180","358","253","245","8","14","91"
"4/12/20","24時","4284","375","266","258","8","14","95"
"4/13/20","24時","4439","384","262","244","18","15","107"
"4/14/20","24時","4684","403","281","258","23","15","107"
"4/15/20","24時","4899","423","300","275","25","15","108"
"4/16/20","24時","5112","454","320","294","26","16","118"
"4/17/20","24時","5335","481","346","319","27","17","118"
"4/18/20","24時","5541","502","367","340","27","17","118"
"4/19/20","24時","5667","513","367","339","28","19","127"
"4/20/20","24時","5804","524","347","319","28","22","155"
"4/21/20","24時","6036","543","365","336","29","22","156"
"4/22/20","24時","6289","560","355","323","32","22","183"
"4/23/20","24時","6552","580","357","328","29","22","201"
"4/24/20","24時","6745","605","343","315","28","23","239"
"4/25/20","24時","6937","620","356","329","27","24","240"
"4/26/20","24時","7031","629","353","326","27","24","252"
"4/27/20","24時","7175","630","348","318","30","24","258"
"4/28/20","24時","7392","637","334","308","26","27","276"
"4/29/20","24時","7617","643","312","287","25","27","304"
"4/30/20","24時","7782","646","298","277","21","27","321"
"5/1/20","24時","8067","651","273","252","21","27","351"
"5/2/20","24時","8233","655","269","246","23","28","358"
"5/3/20","24時","8354","667","262","241","21","28","377"
"5/4/20","24時","8484","667","257","234","23","29","381"
"5/5/20","24時","8551","673","233","210","23","30","410"
"5/6/20","24時","8713","676","209","185","24","30","437"
"5/7/20","24時","8873","679","193","169","24","32","454"
"5/8/20","24時","9082","680","185","162","23","32","463"
"5/9/20","24時","9328","688","168","144","24","34","486"
"5/10/20","24時","9416","693","159","135","24","34","500"
"5/11/20","24時","9540","694","148","128","20","34","512"
"5/12/20","24時","9765","694","138","117","21","35","521"
"5/13/20","24時","9973","697","121","103","18","37","539"
"5/14/20","24時","10147","698","113","94","19","37","548"
"5/15/20","24時","10318","698","101","82","19","38","559"
"5/16/20","24時","10456","699","96","79","17","38","565"
"5/17/20","24時","10522","699","90","73","17","38","571"
"5/18/20","24時","10623","699","80","65","15","38","581"
"5/19/20","24時","10788","699","67","54","13","38","594"
"5/20/20","24時","10950","699","60","48","12","38","601"
"5/21/20","24時","11076","699","56","44","12","38","605"
"5/22/20","24時","11191","699","54","43","11","40","605"
"5/23/20","24時","11274","699","50","39","11","40","609"
"5/24/20","24時","11310","699","46","36","10","40","613"
"5/25/20","24時","11392","699","44","34","10","40","615"
"5/26/20","24時","11512","699","41","35","6","40","618"
"5/27/20","24時","11626","699","37","32","5","40","622"
"5/28/20","24時","11714","699","33","28","5","41","625"
"5/29/20","24時","11804","699","31","26","5","42","626"
"5/30/20","24時","11875","699","31","26","5","42","626"
"5/31/20","24時","11905","699","27","22","5","42","630"
"6/1/20","24時","12025","699","25","21","4","42","632"
"6/2/20","24時","12167","699","21","17","4","42","636"
"6/3/20","24時","12315","699","16","12","4","42","641"
"6/4/20","24時","12450","699","10","6","4","42","647"
"6/5/20","24時","12569","699","5","1","4","42","652"
"6/6/20","24時","12642","699","5","1","4","42","652"
"6/7/20","24時","12677","699","5","1","4","42","652"
"6/8/20","24時","12830","699","4","1","3","43","652"
"6/9/20","24時","12980","699","4","1","3","43","652"
"6/10/20","24時","13105","699","3","0","3","43","653"
"6/11/20","24時","13241","699","3","3","0","43","653"
"6/12/20","24時","13301","699","3","3","0","43","653"
"6/13/20","24時","13355","699","3","3","0","43","653"
"6/14/20","24時","13377","699","3","3","0","43","653"
"6/15/20","24時","13441","699","3","3","0","43","653"
"6/16/20","24時","13526","699","3","3","0","43","653"
"6/17/20","24時","13665","699","3","3","0","43","653"
"6/18/20","24時","13745","699","3","3","0","43","653"
"6/19/20","24時","13886","700","4","4","0","43","653"
"6/20/20","24時","13915","700","4","4","0","43","653"
"6/21/20","24時","13930","702","6","6","0","43","653"
"6/22/20","24時","14018","702","6","6","0","43","653"
"6/23/20","24時","14176","703","7","7","0","43","653"
"6/24/20","24時","14347","704","8","8","0","43","653"
"6/25/20","24時","14483","704","7","7","0","43","654"
"6/26/20","24時","14637","705","8","8","0","43","654"
"6/27/20","24時","14671","705","8","8","0","43","654"
"6/28/20","24時","14695","705","8","8","0","43","654"
"6/29/20","24時","14857","705","8","8","0","45","652"
"6/30/20","24時","14947","706","6","6","0","45","655"
"7/1/20","24時","15056","708","7","7","0","45","656"
"7/2/20","24時","15205","709","8","8","0","45","656"
"7/3/20","24時","15362","709","8","8","0","45","656"
"7/4/20","24時","15461","710","9","9","0","45","656"
"7/5/20","24時","15593","712","11","11","0","45","656"
"7/6/20","24時","15792","716","13","13","0","45","658"
"7/7/20","24時","16089","717","13","13","0","45","659"
"7/8/20","24時","16313","720","15","15","0","45","660"
"7/9/20","24時","16552","722","15","15","0","45","662"
"7/10/20","24時","16730","726","19","19","0","45","662"
"7/11/20","24時","16817","731","24","24","0","45","662"
"7/12/20","24時","16846","737","30","30","0","45","663"
"7/13/20","24時","17192","738","25","25","0","45","669"
"7/14/20","24時","17478","747","30","30","0","45","673"
"7/15/20","24時","17829","759","41","41","0","45","674"
"7/16/20","24時","18310","776","51","51","0","45","681"
"7/17/20","24時","18644","800","66","66","0","45","689"
"7/18/20","24時","18933","813","71","71","0","45","697"
"7/19/20","24時","19089","834","86","86","0","45","703"
"7/20/20","24時","19396","841","91","91","0","45","705"
"7/21/20","24時","20016","853","102","102","0","45","706"
"7/22/20","24時","20675","883","113","113","0","45","725"
"7/23/20","24時","21298","918","128","127","1","45","745"
"7/24/20","24時","21956","941","133","132","1","45","763"
"7/25/20","24時","23180","965","124","123","1","45","796"
