"年","週","開始日","終了日","北海道","北海道（定点当たり）","青森県","青森県（定点当たり）","岩手県","岩手県（定点当たり）","宮城県","宮城県（定点当たり）","秋田県","秋田県（定点当たり）","山形県","山形県（定点当たり）","福島県","福島県（定点当たり）","茨城県","茨城県（定点当たり）","栃木県","栃木県（定点当たり）","群馬県","群馬県（定点当たり）","埼玉県","埼玉県（定点当たり）","千葉県","千葉県（定点当たり）","東京都","東京都（定点当たり）","神奈川県","神奈川県（定点当たり）","新潟県","新潟県（定点当たり）","富山県","富山県（定点当たり）","石川県","石川県（定点当たり）","福井県","福井県（定点当たり）","山梨県","山梨県（定点当たり）","長野県","長野県（定点当たり）","岐阜県","岐阜県（定点当たり）","静岡県","静岡県（定点当たり）","愛知県","愛知県（定点当たり）","三重県","三重県（定点当たり）","滋賀県","滋賀県（定点当たり）","京都府","京都府（定点当たり）","大阪府","大阪府（定点当たり）","兵庫県","兵庫県（定点当たり）","奈良県","奈良県（定点当たり）","和歌山県","和歌山県（定点当たり）","鳥取県","鳥取県（定点当たり）","島根県","島根県（定点当たり）","岡山県","岡山県（定点当たり）","広島県","広島県（定点当たり）","山口県","山口県（定点当たり）","徳島県","徳島県（定点当たり）","香川県","香川県（定点当たり）","愛媛県","愛媛県（定点当たり）","高知県","高知県（定点当たり）","福岡県","福岡県（定点当たり）","佐賀県","佐賀県（定点当たり）","長崎県","長崎県（定点当たり）","熊本県","熊本県（定点当たり）","大分県","大分県（定点当たり）","宮崎県","宮崎県（定点当たり）","鹿児島県","鹿児島県（定点当たり）","沖縄県","沖縄県（定点当たり）","総数","総数（定点当たり）","昨年同期（総数）","昨年同期（総数）（定点当たり）"
"2020","36","2020/8/31","2020/9/6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","0.01","-","-","-","-","-","-","-","-","-","-","1","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","0.02","3","0.00","3813","0.77"
"2020","37","2020/9/7","2020/9/13","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","0.01","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","0.01","-","-","1","0.01","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4","0.00","5738","1.17"
"2020","38","2020/9/14","2020/9/20","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","0.01","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","0.03","4","0.00","5716","1.16"
"2020","39","2020/9/21","2020/9/27","1","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","0.01","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","0.04","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","0.02","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","0.03","7","0.00","4543","0.92"
"2020","40","2020/9/28","2020/10/4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5","0.02","-","-","-","-","-","-","-","-","-","-","1","0.01","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7","0.00","4889","0.99"
"2020","41","2020/10/5","2020/10/11","2","0.01","-","-","1","0.02","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","0.00","1","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","0.01","-","-","2","0.01","-","-","-","-","1","0.01","3","0.01","1","0.01","-","-","-","-","-","-","-","-","2","0.02","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","0.01","1","0.02","17","0.00","4421","0.90"
"2020","42","2020/10/12","2020/10/18","-","-","-","-","-","-","1","0.01","-","-","-","-","1","0.01","1","0.01","-","-","-","-","-","-","-","-","1","0.00","1","0.00","1","0.01","-","-","-","-","-","-","1","0.02","1","0.01","1","0.01","1","0.01","1","0.01","1","0.01","-","-","-","-","2","0.01","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3","0.03","3","0.05","20","0.00","3550","0.72"
"2020","43","2020/10/19","2020/10/25","1","0.00","-","-","-","-","-","-","2","0.04","-","-","3","0.04","-","-","-","-","-","-","-","-","1","0.00","2","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","0.02","-","-","1","0.01","-","-","-","-","1","0.01","1","0.00","-","-","-","-","-","-","-","-","-","-","5","0.06","-","-","-","-","-","-","-","-","1","0.02","-","-","-","-","-","-","7","0.10","-","-","-","-","-","-","1","0.01","2","0.03","30","0.01","3953","0.80"
"2020","44","2020/10/26","2020/11/1","1","0.00","1","0.02","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","0.00","1","0.00","4","0.01","-","-","2","0.02","-","-","-","-","-","-","-","-","-","-","2","0.02","1","0.01","1","0.01","2","0.03","4","0.07","-","-","2","0.01","-","-","1","0.02","-","-","-","-","-","-","2","0.02","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4","0.06","-","-","-","-","-","-","-","-","3","0.05","32","0.01","4682","0.95"
"2020","45","2020/11/2","2020/11/8","1","0.00","1","0.02","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4","0.02","4","0.01","1","0.00","-","-","-","-","-","-","-","-","-","-","-","-","1","0.01","-","-","1","0.01","-","-","-","-","-","-","8","0.03","-","-","-","-","-","-","-","-","-","-","1","0.01","-","-","-","-","-","-","-","-","1","0.02","-","-","-","-","-","-","1","0.01","-","-","-","-","-","-","-","-","-","-","24","0.00","5084","1.03"
"2020","46","2020/11/9","2020/11/15","3","0.01","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","0.00","2","0.01","2","0.02","-","-","-","-","-","-","-","-","-","-","1","0.01","1","0.01","-","-","2","0.03","1","0.02","-","-","2","0.01","-","-","-","-","-","-","-","-","-","-","4","0.05","-","-","-","-","-","-","-","-","2","0.03","-","-","-","-","-","-","-","-","-","-","-","-","1","0.02","-","-","-","-","23","0.00","9107","1.84"
"2020","47","2020/11/16","2020/11/22","2","0.01","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","0.03","-","-","5","0.02","-","-","5","0.01","2","0.01","2","0.02","-","-","-","-","-","-","-","-","-","-","-","-","2","0.01","-","-","1","0.01","2","0.03","4","0.03","4","0.01","1","0.01","-","-","-","-","-","-","1","0.03","3","0.04","3","0.03","-","-","2","0.05","-","-","2","0.03","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","0.01","2","0.03","46","0.01","15390","3.11"
"2020","48","2020/11/23","2020/11/29","1","0.00","-","-","1","0.02","-","-","-","-","-","-","-","-","1","0.01","-","-","-","-","-","-","4","0.02","2","0.00","-","-","-","-","1","0.02","-","-","1","0.03","-","-","-","-","-","-","-","-","2","0.01","8","0.11","6","0.10","-","-","6","0.02","-","-","-","-","-","-","-","-","-","-","3","0.04","-","-","-","-","1","0.03","-","-","-","-","-","-","-","-","-","-","-","-","1","0.01","-","-","1","0.02","3","0.03","4","0.07","46","0.01","27393","5.52"
"2020","49","2020/11/30","2020/12/6","2","0.01","-","-","-","-","-","-","-","-","-","-","1","0.01","-","-","1","0.01","1","0.01","2","0.01","3","0.01","3","0.01","1","0.00","-","-","1","0.02","-","-","-","-","-","-","-","-","1","0.01","2","0.01","1","0.01","16","0.23","4","0.07","-","-","11","0.04","1","0.01","-","-","-","-","-","-","3","0.08","4","0.05","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","0.03","-","-","-","-","-","-","3","0.03","-","-","63","0.01","47200","9.52"
"2020","50","2020/12/7","2020/12/13","4","0.02","-","-","-","-","-","-","-","-","-","-","2","0.02","1","0.01","2","0.03","-","-","-","-","1","0.00","4","0.01","14","0.04","-","-","-","-","-","-","-","-","-","-","-","-","1","0.01","3","0.02","5","0.03","3","0.04","2","0.03","4","0.03","3","0.01","-","-","-","-","-","-","-","-","-","-","2","0.02","1","0.01","-","-","-","-","-","-","-","-","-","-","1","0.01","-","-","1","0.01","1","0.01","-","-","-","-","1","0.01","1","0.02","57","0.01","77425","15.62"
"2020","51","2020/12/14","2020/12/20","-","-","-","-","-","-","-","-","-","-","-","-","2","0.02","-","-","1","0.01","4","0.05","1","0.00","3","0.01","3","0.01","2","0.01","1","0.01","1","0.02","-","-","-","-","-","-","1","0.01","2","0.02","1","0.01","4","0.02","3","0.04","-","-","-","-","11","0.04","1","0.01","-","-","-","-","-","-","-","-","7","0.08","2","0.02","2","0.03","-","-","-","-","1","0.02","-","-","7","0.04","-","-","4","0.06","-","-","-","-","-","-","3","0.03","3","0.05","70","0.01","105221","21.22"
"2020","52","2020/12/21","2020/12/27","-","-","3","0.05","-","-","-","-","-","-","-","-","2","0.02","2","0.02","1","0.01","1","0.01","1","0.00","2","0.01","2","0.00","4","0.01","1","0.01","1","0.02","-","-","-","-","-","-","1","0.01","1","0.01","1","0.01","2","0.01","3","0.04","2","0.03","12","0.10","10","0.03","-","-","-","-","-","-","1","0.03","2","0.05","4","0.05","1","0.01","-","-","-","-","-","-","-","-","-","-","1","0.01","1","0.03","1","0.01","-","-","-","-","-","-","3","0.03","3","0.05","69","0.01","115002","23.24"
"2020","53","2020/12/28","2020/1/3","3","0.01","-","-","1","0.02","-","-","1","0.02","-","-","2","0.02","-","-","1","0.01","-","-","2","0.01","3","0.02","1","0.00","5","0.02","-","-","1","0.02","-","-","-","-","-","-","2","0.02","3","0.03","-","-","7","0.04","9","0.13","6","0.10","1","0.01","4","0.01","-","-","-","-","-","-","-","-","-","-","4","0.05","3","0.03","-","-","-","-","-","-","-","-","-","-","3","0.02","-","-","3","0.04","-","-","1","0.02","1","0.02","1","0.01","1","0.02","69","0.01","64553","13.93"
"2021","1","2021/1/4","2021/1/10","4","0.02","1","0.02","-","-","-","-","-","-","-","-","1","0.01","1","0.01","-","-","-","-","1","0.00","7","0.03","3","0.01","-","-","3","0.03","-","-","-","-","-","-","-","-","1","0.01","2","0.02","-","-","5","0.03","8","0.11","3","0.05","7","0.06","9","0.03","1","0.01","-","-","-","-","1","0.03","1","0.03","4","0.05","-","-","1","0.01","-","-","-","-","1","0.02","-","-","-","-","-","-","3","0.04","-","-","-","-","1","0.02","2","0.02","2","0.03","73","0.01","64553","13.93"
"2021","2","2021/1/11","2021/1/17","3","0.01","-","-","1","0.02","-","-","-","-","1","0.02","2","0.02","-","-","-","-","1","0.01","3","0.01","3","0.01","4","0.01","4","0.01","1","0.01","1","0.02","-","-","-","-","-","-","-","-","1","0.01","-","-","3","0.02","12","0.17","1","0.02","6","0.05","6","0.02","1","0.01","-","-","-","-","-","-","-","-","5","0.06","-","-","-","-","-","-","1","0.02","1","0.02","-","-","1","0.01","-","-","-","-","2","0.03","1","0.02","-","-","-","-","-","-","65","0.01","90811","18.33"
