name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections,ISO3155-2
Hokkaido,北海道,367633,11249,354555,2075,2,246,2300254,JP-01
Aomori,青森県,58172,1385,56683,104,0,0,252726,JP-02
Iwate,岩手県,36076,1734,34248,94,0,0,286137,JP-03
Miyagi,宮城県,89222,2087,86668,198,0,269,597164,JP-04
Akita,秋田県,31063,898,30095,70,0,0,62935,JP-05
Yamagata,山形県,29136,689,28353,94,0,0,196791,JP-06
Fukushima,福島県,64614,1139,63252,223,1,0,843716,JP-07
Ibaraki,茨城県,160766,1409,158918,439,0,0,1343469,JP-08
Tochigi,栃木県,92065,1300,90491,274,1,0,758254,JP-09
Gunma,群馬県,95704,1442,93941,321,2,0,655932,JP-10
Saitama,埼玉県,556218,5408,549177,1633,2,0,2874894,JP-11
Chiba,千葉県,453894,3616,447563,1780,1,935,2137268,JP-12
Tokyo,東京都,1557448,22907,1530011,4530,2,0,6985334,JP-13
Kanagawa,神奈川県,761871,6624,753035,2212,7,0,2180686,JP-14
Niigata,新潟県,73378,1333,71954,91,1,0,664557,JP-15
Toyama,富山県,38128,1405,36630,93,0,0,254008,JP-16
Ishikawa,石川県,57453,1566,55668,196,0,23,467158,JP-17
Fukui,福井県,36524,1025,35454,45,0,0,332212,JP-18
Yamanashi,山梨県,33298,630,32601,68,0,1,336886,JP-19
Nagano,長野県,75088,1346,73520,203,0,19,742089,JP-20
Gifu,岐阜県,104520,3156,100692,341,0,331,907825,JP-21
Shizuoka,静岡県,173706,3623,169449,416,2,218,1270933,JP-22
Aichi,愛知県,549943,10362,537503,2078,5,0,2805424,JP-23
Mie,三重県,83877,1558,84003,306,1,1990,528933,JP-24
Shiga,滋賀県,92221,1614,90388,219,0,0,654775,JP-25
Kyoto,京都府,206087,3387,201681,722,5,297,845234,JP-26
Osaka,大阪府,986953,15315,966548,5090,15,0,7201926,JP-27
Hyogo,兵庫県,430656,6186,422235,2236,3,1,1584652,JP-28
Nara,奈良県,93864,1566,91910,388,0,0,525255,JP-29
Wakayama,和歌山県,42881,570,41984,117,1,210,175276,JP-30
Tottori,鳥取県,15512,484,14808,20,0,200,407654,JP-31
Shimane,島根県,17350,462,16873,15,0,0,221138,JP-32
Okayama,岡山県,100796,3285,94797,248,2,2466,588609,JP-33
Hiroshima,広島県,161115,6359,154266,490,1,0,1925791,JP-34
Yamaguchi,山口県,46418,1740,44500,178,0,0,587797,JP-35
Tokushima,徳島県,22906,687,22139,85,0,5,218767,JP-36
Kagawa,香川県,49270,1049,48093,128,0,0,281510,JP-37
Ehime,愛媛県,41131,1473,39518,140,1,0,367030,JP-38
Kochi,高知県,28471,930,27428,113,1,0,298252,JP-39
Fukuoka,福岡県,433272,7775,417946,1264,3,6287,2729220,JP-40
Saga,佐賀県,53430,1023,49865,106,0,2436,283189,JP-41
Nagasaki,長崎県,61118,2748,58253,124,0,7,400499,JP-42
Kumamoto,熊本県,101453,3443,97715,295,3,0,286803,JP-43
Oita,大分県,55610,1232,54216,162,1,0,599918,JP-44
Miyazaki,宮崎県,55000,1937,52994,144,0,75,192593,JP-45
Kagoshima,鹿児島県,86349,2923,82819,202,0,405,424628,JP-46
Okinawa,沖縄県,226820,10845,215418,466,14,91,871198,JP-47
