"都道府県名","PCR検査陽性者","PCR検査実施人数","入院治療等を要する者 (人)","うち重症","退院又は療養解除となった者の数 (人)","死亡(累積) (人)","確認中(人)"
"北海道",28752,578371,3781,29,23506,919,546
"青森県",1895,37534,305,4,1563,27,0
"岩手県",1154,63890,186,3,929,39,0
"宮城県",8457,126945,399,13,7975,75,8
"秋田県",650,11973,158,0,483,9,0
"山形県",1659,51384,146,5,1476,37,0
"福島県",4114,205383,642,24,3343,129,0
"茨城県",8817,31217,511,15,8170,136,0
"栃木県",5731,225762,304,4,5353,74,0
"群馬県",7037,150259,753,16,6173,111,0
"埼玉県",40837,806877,2849,48,37230,758,0
"千葉県",35043,576723,1415,20,32978,650,0
"東京都",150071,2128798,7337,84,140796,1938,0
"神奈川県",56909,856384,2230,52,53832,847,0
"新潟県",2743,122383,394,3,2322,27,0
"富山県",1451,55310,142,5,1277,32,0
"石川県",3084,76895,605,16,2385,92,2
"福井県",972,54020,83,0,855,34,0
"山梨県",1364,36365,133,1,1214,19,2
"長野県",4228,158481,326,9,3884,72,54
"岐阜県",7171,207313,1004,11,6025,142,0
"静岡県",7130,317307,636,5,6365,129,0
"愛知県",38385,603931,4988,57,32737,660,0
"三重県",4310,104528,533,11,3788,95,106
"滋賀県",4361,112841,559,8,3734,68,0
"京都府",14076,231375,1457,29,12490,195,66
"大阪府",92794,1591395,20870,381,69147,1868,909
"兵庫県",36311,414476,4559,95,30934,818,0
"奈良県",7208,137375,850,24,6265,93,0
"和歌山県",2442,36563,225,44,2144,35,38
"鳥取県",407,66331,38,1,360,2,7
"島根県",401,21314,40,1,361,0,0
"岡山県",5614,108427,863,20,3492,49,1210
"広島県",7509,321772,823,16,6076,111,499
"山口県",2279,92132,448,6,1781,50,0
"徳島県",1542,49340,199,7,1289,54,0
"香川県",1712,67992,400,4,1294,23,5
"愛媛県",2587,70321,227,8,2296,64,0
"高知県",1139,8627,53,3,1066,20,0
"福岡県",28744,662287,5022,67,22845,380,497
"佐賀県",2127,43681,377,3,1685,15,50
"長崎県",2649,100626,546,13,2059,47,3
"熊本県",5024,70545,771,18,4169,84,0
"大分県",2666,125684,749,5,1886,31,0
"宮崎県",2734,35688,479,5,2221,25,9
"鹿児島県",2762,90336,469,2,2241,28,24
"沖縄県",13487,200489,1260,14,12093,140,6
