都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1339025,3964610,17360,3,717238,4553,599874
青森県,279299,415661,4154,0,151129,643,123373
岩手県,234495,716344,3159,0,103563,616,127157
宮城県,537090,1310711,21183,2,204624,955,310328
秋田県,200061,81563,8358,1,89825,595,101283
山形県,226738,373691,6521,0,90443,360,129414
福島県,404209,1156057,3568,0,180682,844,219115
茨城県,636556,1985898,19588,3,301424,1291,314253
栃木県,422102,1278454,5268,0,215803,1068,199963
群馬県,439869,1267817,7749,1,225131,1092,205897
埼玉県,1796502,5262375,17434,1,1160893,3951,614224
千葉県,1461460,3849699,15912,3,904076,3911,537561
東京都,4335707,12179571,47142,1,3093983,8051,1186531
神奈川県,2214253,7160287,2540,4,1450734,4294,756685
新潟県,456491,1330637,6353,0,223993,439,225706
富山県,236564,504378,3084,0,123822,313,109345
石川県,278270,763788,3841,0,155716,508,118205
福井県,199730,609074,1811,0,110918,196,86805
山梨県,190327,822767,1149,0,93672,412,95094
長野県,458517,1493765,1518,1,456943,868,812
岐阜県,541096,1852294,112,1,284881,1112,254991
静岡県,865697,2559376,8097,0,478956,1395,377249
愛知県,2106993,5835456,2557,1,2099584,4310,542
三重県,459866,1177987,10042,0,226621,1041,222162
滋賀県,373271,1383602,5233,0,225722,674,141642
京都府,676508,1583788,12815,15,459222,1654,202817
大阪府,2826021,12909466,14608,6,2032077,8467,770869
兵庫県,1465888,2465506,12814,2,986750,3859,462465
奈良県,345716,1025328,29826,2,195268,864,119758
和歌山県,238770,319456,32,1,129448,521,108769
鳥取県,141947,1158809,9159,0,44778,262,87748
島根県,168289,544639,527,1,167404,299,59
岡山県,490558,1247165,593,2,488643,848,474
広島県,800729,3352735,15819,1,409656,1359,373895
山口県,313929,1217831,2898,0,158495,748,151788
徳島県,166591,463912,1311,0,90741,420,74119
香川県,252341,572010,2572,1,138120,618,111031
愛媛県,316158,996883,3720,2,156705,693,155040
高知県,169184,494109,4981,0,94023,596,69584
福岡県,1584384,3918607,26432,3,1029285,3182,525485
佐賀県,260802,377021,12716,0,125171,492,122423
長崎県,336371,1168952,21281,1,177499,645,136946
熊本県,534018,540288,6773,2,320699,1303,205243
大分県,303117,1009928,2094,0,172076,772,128175
宮崎県,319910,238860,3752,0,189320,776,126062
鹿児島県,441664,944117,539,1,286186,884,154055
沖縄県,577440,1434470,761,1,494076,1010,81593
