"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","patientsdif","patientsratio"
"Hokkaido","北海道",239,80,148,11,13,0.452
"Aomori","青森県",14,11,3,0,0,0.111
"Iwate","岩手県",0,0,0,0,0,0
"Miyagi","宮城県",37,36,1,0,1,0.16
"Akita","秋田県",12,7,5,0,1,0.122
"Yamagata","山形県",27,27,0,0,0,0.248
"Fukushima","福島県",36,33,3,0,3,0.193
"Ibaraki","茨城県",82,72,7,3,1,0.285
"Tochigi","栃木県",31,26,5,0,0,0.159
"Gunma","群馬県",35,29,5,1,2,0.179
"Saitama","埼玉県",325,295,25,5,54,0.443
"Chiba","千葉県",375,336,37,2,33,0.6
"Tokyo","東京都",1717,1641,57,19,189,1.242
"Kanagawa","神奈川県",425,375,44,6,50,0.463
"Niigata","新潟県",41,17,24,0,2,0.183
"Toyama","富山県",23,23,0,0,7,0.219
"Ishikawa","石川県",92,87,5,0,20,0.805
"Fukui","福井県",76,68,6,2,4,0.982
"Yamanashi","山梨県",27,25,2,0,3,0.33
"Nagano","長野県",28,25,3,0,7,0.136
"Gifu","岐阜県",82,76,5,1,6,0.411
"Shizuoka","静岡県",34,31,3,0,18,0.093
"Aichi","愛知県",313,228,63,22,14,0.415
"Mie","三重県",15,10,5,0,0,0.084
"Shiga","滋賀県",34,31,3,0,8,0.241
"Kyoto","京都府",168,138,29,1,9,0.648
"Osaka","大阪府",697,570,121,6,108,0.791
"Hyogo","兵庫県",316,245,59,12,43,0.576
"Nara","奈良県",37,29,8,0,3,0.276
"Wakayama","和歌山県",33,17,15,1,1,0.353
"Tottori","鳥取県",1,1,0,0,1,0.018
"Shimane","島根県",2,2,0,0,1,0.029
"Okayama","岡山県",16,15,1,0,0,0.084
"Hiroshima","広島県",25,22,3,0,0,0.089
"Yamaguchi","山口県",17,14,3,0,0,0.124
"Tokushima","徳島県",3,2,1,0,0,0.041
"Kagawa","香川県",4,4,0,0,1,0.042
"Ehime","愛媛県",28,23,4,1,2,0.207
"Kochi","高知県",52,40,12,0,5,0.737
"Fukuoka","福岡県",224,217,7,0,37,0.439
"Saga","佐賀県",12,11,1,0,1,0.147
"Nagasaki","長崎県",14,12,2,0,0,0.104
"Kumamoto","熊本県",23,18,4,1,0,0.131
"Oita","大分県",42,32,10,0,1,0.367
"Miyazaki","宮崎県",16,13,3,0,0,0.148
"Kagoshima","鹿児島県",3,3,0,0,0,0.019
"Okinawa","沖縄県",49,46,3,0,7,0.338
