"name","name_jp","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"Hokkaido","北海道",193611,18949,172765,1860,5,37,1736577,"JP-01"
"Aomori","青森県",26842,3963,22804,75,0,0,176453,"JP-02"
"Iwate","岩手県",13940,2772,11103,65,1,0,197952,"JP-03"
"Miyagi","宮城県",48271,6046,41299,158,9,768,419568,"JP-04"
"Akita","秋田県",12126,1853,10232,41,0,0,46238,"JP-05"
"Yamagata","山形県",14237,2157,12005,75,1,0,160819,"JP-06"
"Fukushima","福島県",28811,3696,24926,189,4,0,634721,"JP-07"
"Ibaraki","茨城県",90164,9579,80248,337,15,0,44315,"JP-08"
"Tochigi","栃木県",52311,5957,46129,225,3,0,639410,"JP-09"
"Gunma","群馬県",59308,5453,53586,269,5,0,506486,"JP-10"
"Saitama","埼玉県",363110,30091,331774,1245,48,0,2300813,"JP-11"
"Chiba","千葉県",309180,23477,281229,1505,19,2969,1702435,"JP-12"
"Tokyo","東京都",1114227,131863,978427,3937,62,0,5688564,"JP-13"
"Kanagawa","神奈川県",521558,43186,476497,1875,78,0,2180686,"JP-14"
"Niigata","新潟県",33853,3067,30701,85,3,0,484623,"JP-15"
"Toyama","富山県",23005,5562,17373,70,1,0,197636,"JP-16"
"Ishikawa","石川県",29530,3420,25909,178,4,23,313641,"JP-17"
"Fukui","福井県",17149,2291,14817,41,1,0,239605,"JP-18"
"Yamanashi","山梨県",19074,1746,17282,58,1,12,207892,"JP-19"
"Nagano","長野県",35382,3398,31508,156,1,320,530239,"JP-20"
"Gifu","岐阜県",60222,4809,54584,294,5,535,685656,"JP-21"
"Shizuoka","静岡県",103513,11589,90112,365,5,1447,998670,"JP-22"
"Aichi","愛知県",362634,31393,329418,1823,32,0,2174937,"JP-23"
"Mie","三重県",47476,4445,44113,259,8,1341,395473,"JP-24"
"Shiga","滋賀県",58472,7208,51099,165,3,0,482669,"JP-25"
"Kyoto","京都府",139287,11835,125763,530,46,1159,684146,"JP-26"
"Osaka","大阪府",724813,67530,652934,4284,698,65,5869711,"JP-27"
"Hyogo","兵庫県",295435,26240,267219,1976,23,0,1286669,"JP-28"
"Nara","奈良県",66161,12780,53064,317,17,0,420243,"JP-29"
"Wakayama","和歌山県",25217,967,23987,106,4,157,126450,"JP-30"
"Tottori","鳥取県",7735,784,6847,10,0,94,276351,"JP-31"
"Shimane","島根県",7586,947,6631,8,0,0,122915,"JP-32"
"Okayama","岡山県",55241,4173,49083,214,5,1771,449702,"JP-33"
"Hiroshima","広島県",81804,8767,72614,423,6,0,1447855,"JP-34"
"Yamaguchi","山口県",24648,2851,21648,149,2,0,440054,"JP-35"
"Tokushima","徳島県",13665,1616,11973,78,3,2,166332,"JP-36"
"Kagawa","香川県",23386,3277,20022,87,7,0,209782,"JP-37"
"Ehime","愛媛県",20315,2442,17750,123,4,0,272744,"JP-38"
"Kochi","高知県",14302,1833,12378,91,2,0,191647,"JP-39"
"Fukuoka","福岡県",264828,30404,227368,1044,13,6012,2102426,"JP-40"
"Saga","佐賀県",27157,2897,21380,71,1,2809,200481,"JP-41"
"Nagasaki","長崎県",28850,3850,26150,113,2,1263,290431,"JP-42"
"Kumamoto","熊本県",56402,5862,50285,255,12,0,211858,"JP-43"
"Oita","大分県",27416,2327,24976,113,2,0,448182,"JP-44"
"Miyazaki","宮崎県",21255,2096,19122,106,0,69,139678,"JP-45"
"Kagoshima","鹿児島県",35757,2918,32301,143,1,395,280876,"JP-46"
"Okinawa","沖縄県",108733,5763,102533,430,13,7,620885,"JP-47"
