name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections,ISO3155-2
Hokkaido,北海道,745883,17794,717238,2584,3,8267,3094930,JP-01
Aomori,青森県,156673,4288,151129,293,1,963,415661,JP-02
Iwate,岩手県,108175,3229,103563,192,1,1191,456586,JP-03
Miyagi,宮城県,259015,21410,204624,393,3,32588,875994,JP-04
Akita,秋田県,100256,8599,89825,223,3,1609,74932,JP-05
Yamagata,山形県,105682,6628,90443,194,0,8417,285732,JP-06
Fukushima,福島県,186600,3568,180682,260,0,2090,1156057,JP-07
Ibaraki,茨城県,362790,20052,301424,679,3,40635,1654084,JP-08
Tochigi,栃木県,223815,5412,215803,490,2,2110,954715,JP-09
Gunma,群馬県,235863,8126,225131,465,2,2141,890537,JP-10
Saitama,埼玉県,1188562,17979,1160893,2368,12,7322,3940516,JP-11
Chiba,千葉県,945857,16512,904076,2559,4,22710,2877602,JP-12
Tokyo,東京都,3165034,49313,3093983,5810,14,15928,9362718,JP-13
Kanagawa,神奈川県,1484896,23103,1450734,2964,23,8095,4718336,JP-14
Niigata,新潟県,233099,6429,223993,157,1,2520,953284,JP-15
Toyama,富山県,128656,3201,123822,177,0,1456,363510,JP-16
Ishikawa,石川県,161442,3951,155716,281,1,1494,763788,JP-17
Fukui,福井県,113939,1915,110918,98,0,1008,455127,JP-18
Yamanashi,山梨県,95720,1226,93672,153,0,669,511528,JP-19
Nagano,長野県,207461,5754,200644,347,1,716,1027740,JP-20
Gifu,岐阜県,293151,4981,284881,587,0,2702,1294569,JP-21
Shizuoka,静岡県,491720,8311,478956,744,2,3709,1817415,JP-22
Aichi,愛知県,1359874,24014,1329294,2862,9,3704,4104468,JP-23
Mie,三重県,253017,10190,226621,525,3,15681,820741,JP-24
Shiga,滋賀県,233205,5361,225722,319,0,1803,959702,JP-25
Kyoto,京都府,476660,12958,459222,1055,18,3425,1204620,JP-26
Osaka,大阪府,2093377,45748,2032077,6420,26,9132,9694511,JP-27
Hyogo,兵庫県,1005555,13130,986750,2847,7,2828,2465506,JP-28
Nara,奈良県,226967,29894,195268,522,4,1283,737418,JP-29
Wakayama,和歌山県,132966,116,129448,249,1,3153,319456,JP-30
Tottori,鳥取県,62799,9230,44778,73,1,8718,713563,JP-31
Shimane,島根県,82317,2006,79992,94,0,225,359474,JP-32
Okayama,岡山県,274316,6379,259947,405,4,7585,851339,JP-33
Hiroshima,広島県,426958,16050,409656,752,2,500,2686976,JP-34
Yamaguchi,山口県,163463,2983,158495,387,2,1598,834465,JP-35
Tokushima,徳島県,92865,1358,90741,174,1,592,326119,JP-36
Kagawa,香川県,142199,2669,138120,291,3,1119,404350,JP-37
Ehime,愛媛県,161975,3776,156705,288,1,1206,627254,JP-38
Kochi,高知県,100064,5051,94023,294,3,696,494109,JP-39
Fukuoka,福岡県,1077766,27486,1029285,1942,6,19053,3918607,JP-40
Saga,佐賀県,157057,12816,125171,223,2,18847,377021,JP-41
Nagasaki,長崎県,211992,21660,177499,327,3,12506,753347,JP-42
Kumamoto,熊本県,330035,7040,320699,637,6,1659,540288,JP-43
Oita,大分県,175572,2199,172076,364,1,933,888535,JP-44
Miyazaki,宮崎県,195271,3860,189320,358,3,1733,238860,JP-45
Kagoshima,鹿児島県,298741,1355,286186,538,1,10662,742396,JP-46
Okinawa,沖縄県,499767,3065,494076,714,5,1912,1181266,JP-47
