"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"2020-03-18","1","0","1","0",,,,
"2020-03-19","1","0","1","0",,,,
"2020-03-20","1","0","1","0",,,,
"2020-03-21","1","0","1","0",,,,
"2020-03-22","1","0","1","0",,,,
"2020-03-23","1","0","1","0",,,,
"2020-03-24","1","0","1","0",,,,
"2020-03-25","1","0","1","0",,,,
"2020-03-26","1","0","1","0",,,,
"2020-03-27","3","2","1","0",,,,
"2020-03-28","4","2","2","0",,,,
"2020-03-29","4","2","2","0",,,,
"2020-03-30","4","2","2","0",,,,
"2020-03-31","6","4","2","0",,,,
"2020-04-01","6","4","2","0",,,,
"2020-04-02","7","5","2","0",,,,
"2020-04-03","9","7","2","0",,,,
"2020-04-04","10","8","2","0",,,,
"2020-04-05","11","9","2","0",,,,
"2020-04-06","11","9","2","0",,,,
"2020-04-07","11","9","2","0",,,,
"2020-04-08","11","9","2","0",,,,
"2020-04-09","11","9","2","0",,,,
"2020-04-10","12","7","5","0",,,,
"2020-04-11","13","8","5","0",,,,
"2020-04-12","15","10","5","0",,,,
"2020-04-13","15","10","5","0",,,,
"2020-04-14","16","11","5","0",,,,
"2020-04-15","16","11","5","0",,,,
"2020-04-16","16","11","5","0",,,,
"2020-04-17","16","11","5","0",,,,
"2020-04-18","16","11","5","0",,,,
"2020-04-19","16","11","5","0",,,,
"2020-04-20","16","11","5","0",,,,
"2020-04-21","16","11","5","0",,,,
"2020-04-22","16","11","5","0",,,,
"2020-04-23","16","9","7","0",,,,
"2020-04-24","16","9","7","0",,,,
"2020-04-25","16","9","7","0",,,,
"2020-04-26","16","9","7","0",,,,
"2020-04-27","16","9","7","0",,,,
"2020-04-28","16","9","7","0",,,,
"2020-04-29","16","9","7","0",,,,
"2020-04-30","16","9","7","0",,,,
"2020-05-01","16","3","13","0",,,,
"2020-05-02","16","3","13","0",,,,
"2020-05-03","16","3","13","0",,,,
"2020-05-04","16","3","13","0",,,,
"2020-05-05","16","3","13","0",,,,
"2020-05-06","16","3","13","0",,,,
"2020-05-07","16","3","13","0",,,,
"2020-05-08","16","16","0","不明","不明","16","861",
"2020-05-09","16","16","0","-","-","16","861",
"2020-05-10","16","16","0","-","-","16","861",
"2020-05-11","16","2","14","-","-","0","887",
"2020-05-12","16","1","15","0","0","0","898",
"2020-05-13","16","1","15","0","0","0","898",
"2020-05-14","16","1","15","0","0","0","899",
"2020-05-15","16","1","15","0","0","0","905",
"2020-05-16","16","1","15","0","0","0","905",
"2020-05-17","16","1","15","0","0","0","905",
"2020-05-18","16","1","15","0","0","0","910",
"2020-05-19","16","1","15","0","0","0","913",
"2020-05-20","16","0","16","0","0","0","914",
"2020-05-21","16","0","16","0","0","0","915",
"2020-05-22","16","0","16","0","0","0","920",
"2020-05-23","16","0","16","0","0","0","920",
"2020-05-24","16","0","16","0","0","0","920",
"2020-05-25","16","0","16","0","0","0","927",
"2020-05-26","16","0","16","0","0","0","928",
"2020-05-27","16","0","16","0","0","0","929",
"2020-05-28","16","0","16","0","0","0","931",
"2020-05-29","16","0","16","0","0","0","933",
"2020-05-30","16","0","16","0","0","0","933",
"2020-05-31","16","0","16","0","0","0","933",
"2020-06-01","16","0","16","0","0","0","933",
"2020-06-02","16","0","16","0","0","0","935",
"2020-06-03","16","0","16","0","0","0","940",
"2020-06-04","16","0","16","0","0","0","940",
"2020-06-05","16","0","16","0","0","0","942",
"2020-06-06","16","0","16","0","0","0","942",
"2020-06-07","16","0","16","0","0","0","942",
"2020-06-08","16","0","16","0","0","0","951",
"2020-06-09","16","0","16","0","0","0","952",
"2020-06-10","16","0","16","0","0","0","957",
"2020-06-11","16","0","16","0","0","0","961",
"2020-06-12","16","0","16","0","0","0","962",
"2020-06-13","16","0","16","0","0","0","962",
