"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"2020-03-18","1","0","1","0",,,,
"2020-03-19","1","0","1","0",,,,
"2020-03-20","2","1","1","0",,,,
"2020-03-21","2","1","1","0",,,,
"2020-03-22","3","2","1","0",,,,
"2020-03-23","3","2","1","0",,,,
"2020-03-24","3","2","1","0",,,,
"2020-03-25","3","2","1","0",,,,
"2020-03-26","4","3","1","0",,,,
"2020-03-27","4","3","1","0",,,,
"2020-03-28","4","3","1","0",,,,
"2020-03-29","6","5","1","0",,,,
"2020-03-30","6","5","1","0",,,,
"2020-03-31","6","5","1","0",,,,
"2020-04-01","6","5","1","0",,,,
"2020-04-02","6","5","1","0",,,,
"2020-04-03","8","7","1","0",,,,
"2020-04-04","13","12","1","0",,,,
"2020-04-05","16","15","1","0",,,,
"2020-04-06","16","15","1","0",,,,
"2020-04-07","19","18","1","0",,,,
"2020-04-08","23","22","1","0",,,,
"2020-04-09","25","22","3","0",,,,
"2020-04-10","25","22","3","0",,,,
"2020-04-11","31","28","3","0",,,,
"2020-04-12","56","53","3","0",,,,
"2020-04-13","57","54","3","0",,,,
"2020-04-14","66","63","3","0",,,,
"2020-04-15","67","64","3","0",,,,
"2020-04-16","118","115","3","0",,,,
"2020-04-17","124","116","8","0",,,,
"2020-04-18","129","118","11","0",,,,
"2020-04-19","132","121","11","0",,,,
"2020-04-20","137","125","12","0",,,,
"2020-04-21","138","126","12","0",,,,
"2020-04-22","139","126","13","0",,,,
"2020-04-23","142","127","14","1",,,,
"2020-04-24","142","127","14","1",,,,
"2020-04-25","143","128","14","1",,,,
"2020-04-26","145","129","15","1",,,,
"2020-04-27","145","128","16","1",,,,
"2020-04-28","149","128","20","1",,,,
"2020-04-29","153","132","20","1",,,,
"2020-04-30","155","124","29","2",,,,
"2020-05-01","156","125","29","2",,,,
"2020-05-02","161","130","29","2",,,,
"2020-05-03","162","125","35","2",,,,
"2020-05-04","162","125","35","2",,,,
"2020-05-05","162","123","37","2",,,,
"2020-05-06","162","123","37","2",,,,
"2020-05-07","162","122","38","2",,,,
"2020-05-08","165","102","61","2","不明","0","5746",
"2020-05-09","165","89","74","2","-","0","5746",
"2020-05-10","165","81","82","2","-","0","5746",
"2020-05-11","165","78","85","2","-","0","6002",
"2020-05-12","165","74","89","2","3","0","6051",
"2020-05-13","165","71","92","2","1","0","6181",
"2020-05-14","165","56","107","2","1","0","6250",
"2020-05-15","165","52","111","2","1","0","6320",
"2020-05-16","165","50","113","2","1","0","6320",
"2020-05-17","165","50","113","2","1","0","6320",
"2020-05-18","166","50","114","2","1","0","6457",
"2020-05-19","166","47","117","2","1","0","6513",
"2020-05-20","166","43","121","2","1","0","6599",
"2020-05-21","166","26","138","2","1","0","6656",
"2020-05-22","167","24","141","2","1","0","6696",
"2020-05-23","167","23","142","2","1","0","6696",
"2020-05-24","167","22","143","2","1","0","6696",
"2020-05-25","167","19","145","3","0","0","6779",
"2020-05-26","167","18","146","3","0","0","6794",
"2020-05-27","167","17","147","3","0","0","6841",
"2020-05-28","167","13","151","3","0","0","6885",
"2020-05-29","167","13","151","3","0","0","6907",
"2020-05-30","167","13","151","3","0","0","6907",
"2020-05-31","167","11","153","3","0","0","6907",
"2020-06-01","168","7","158","3","0","0","6979",
"2020-06-02","167","6","158","3","0","0","7011",
"2020-06-03","167","6","158","3","0","0","7060",
"2020-06-04","167","2","162","3","0","0","7104",
"2020-06-05","168","3","162","3","0","0","7136",
"2020-06-06","168","3","162","3","0","0","7136",
"2020-06-07","168","2","163","3","0","0","7136",
"2020-06-08","168","2","163","3","0","0","7264",
"2020-06-09","168","1","164","3","0","0","7297",
"2020-06-10","168","1","164","3","0","0","7328",
"2020-06-11","168","1","164","3","0","0","7360",
"2020-06-12","168","0","165","3","0","0","7393",
