"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"2020-03-18","69","66","0","3",,,,
"2020-03-19","69","64","1","4",,,,
"2020-03-20","76","71","1","4",,,,
"2020-03-21","81","75","2","4",,,,
"2020-03-22","83","76","2","6",,,,
"2020-03-23","85","78","2","6",,,,
"2020-03-24","87","77","5","6",,,,
"2020-03-25","87","77","5","6",,,,
"2020-03-26","87","77","5","6",,,,
"2020-03-27","90","80","5","5",,,,
"2020-03-28","125","99","18","8",,,,
"2020-03-29","132","104","18","10",,,,
"2020-03-30","136","108","18","10",,,,
"2020-03-31","147","118","18","11",,,,
"2020-04-01","161","132","18","11",,,,
"2020-04-02","167","138","18","11",,,,
"2020-04-03","172","110","51","11",,,,
"2020-04-04","182","119","52","11",,,,
"2020-04-05","195","132","52","11",,,,
"2020-04-06","201","136","53","12",,,,
"2020-04-07","216","151","53","12",,,,
"2020-04-08","216","151","53","12",,,,
"2020-04-09","273","203","58","12",,,,
"2020-04-10","316","245","59","12",,,,
"2020-04-11","358","286","59","13",,,,
"2020-04-12","375","303","59","13",,,,
"2020-04-13","384","311","59","14",,,,
"2020-04-14","403","327","61","15",,,,
"2020-04-15","423","347","61","15",,,,
"2020-04-16","453","373","63","17",,,,
"2020-04-17","480","400","63","17",,,,
"2020-04-18","502","420","65","17",,,,
"2020-04-19","513","431","65","17",,,,
"2020-04-20","524","442","65","17",,,,
"2020-04-21","546","464","65","17",,,,
"2020-04-22","563","481","65","17",,,,
"2020-04-23","581","497","67","17",,,,
"2020-04-24","605","520","68","17",,,,
"2020-04-25","619","530","72","17",,,,
"2020-04-26","627","533","77","17",,,,
"2020-04-27","629","527","85","17",,,,
"2020-04-28","636","539","80","17",,,,
"2020-04-29","642","544","81","17",,,,
"2020-04-30","645","547","81","17",,,,
"2020-05-01","650","549","83","18",,,,
"2020-05-02","654","550","86","18",,,,
"2020-05-03","667","559","90","18",,,,
"2020-05-04","667","559","90","18",,,,
"2020-05-05","673","559","96","18",,,,
"2020-05-06","676","558","99","19",,,,
"2020-05-07","679","560","100","19",,,,
"2020-05-08","681","195","454","32","24","1","8654",
"2020-05-09","688","193","463","32","23","8","8850",
"2020-05-10","688","168","486","34","24","0","9091",
"2020-05-11","693","159","500","34","24","0","9179",
"2020-05-12","694","148","512","34","20","0","9289",
"2020-05-13","694","138","521","35","21","0","9483",
"2020-05-14","697","121","539","37","18","0","9653",
"2020-05-15","698","113","548","37","19","0","9800",
"2020-05-16","698","101","559","38","19","0","9932",
"2020-05-17","699","96","565","38","17","0","10062",
"2020-05-18","700","91","571","38","17","0","10127",
"2020-05-19","699","80","581","38","15","0","10192",
"2020-05-20","699","67","594","38","13","0","10312",
"2020-05-21","699","60","601","38","12","0","10438",
"2020-05-22","699","56","605","38","12","0","10537",
"2020-05-23","699","54","605","40","11","0","10614",
"2020-05-24","699","50","609","40","11","0","10688",
"2020-05-25","699","46","613","40","10","0","10720",
"2020-05-26","699","44","615","40","10","0","10722",
"2020-05-27","699","41","618","40","6","0","10855",
"2020-05-28","699","37","622","40","5","0","10942",
"2020-05-29","699","33","625","41","5","0","11005",
"2020-05-30","699","31","626","42","5","0","11067",
"2020-05-31","699","31","626","42","5","0","11128",
"2020-06-01","699","27","630","42","5","0","11153",
"2020-06-02","699","25","632","42","4","0","11206",
"2020-06-03","699","21","636","42","4","0","11293",
"2020-06-04","699","16","641","42","4","0","11368",
"2020-06-05","699","10","647","42","4","0","11432",
"2020-06-06","699","5","652","42","4","0","11498",
"2020-06-07","699","5","652","42","4","0","11560",
"2020-06-08","699","5","652","42","4","0","11588",
"2020-06-09","699","4","652","43","3","0","11640",
"2020-06-10","699","4","652","43","3","0","11716",
"2020-06-11","699","3","653","43","3","0","11771",
"2020-06-12","699","3","653","43","0","0","11834",
"2020-06-13","699","3","653","43","0","0","11882",
"2020-06-14","699","3","653","43","0","0","11932",
"2020-06-15","699","3","653","43","0","0","11950",
"2020-06-16","699","3","653","43","0","0","11974",
"2020-06-17","699","3","653","43","0","0","12023",
"2020-06-18","699","3","653","43","0","0","13665",
"2020-06-19","699","3","653","43","0","0","13745",
"2020-06-20","700","4","653","43","0","0","13886",
"2020-06-21","700","4","653","43","0","0","13915",
"2020-06-22","702","6","653","43","0","0","13930",
"2020-06-23","702","6","653","43","0","0","14018",
"2020-06-24","703","7","653","43","0","0","14176",
"2020-06-25","704","8","653","43","0","0","14347",
"2020-06-26","704","7","654","43","0","0","14483",
"2020-06-27","705","8","654","43","0","0","14637",
"2020-06-28","705","8","654","43","0","0","14671",
"2020-06-29","705","8","654","43","0","0","14695",
"2020-06-30","705","8","652","45","0","0","14857",
"2020-07-01","706","6","655","45","0","0","14947",
"2020-07-02","708","7","656","45","0","0","15056",
"2020-07-03","709","8","656","45","0","0","15205",
"2020-07-04","709","8","656","45","0","0","15362",
"2020-07-05","710","9","656","45","0","0","15461",
"2020-07-06","712","11","656","45","0","0","15593",
"2020-07-07","716","13","658","45","0","0","15792",
"2020-07-08","717","13","659","45","0","0","16089",
"2020-07-09","720","15","660","45","0","0","16313",
"2020-07-10","722","15","662","45","0","0","16552",
"2020-07-11","726","19","662","45","0","0","16730",
"2020-07-12","731","24","662","45","0","0","16817",
"2020-07-13","738","30","663","45","0","0","16846",
"2020-07-14","739","25","669","45","0","0","17192",
"2020-07-15","748","30","673","45","0","0","17478",
"2020-07-16","760","41","674","45","0","0","17829",
"2020-07-17","777","51","681","45","0","0","18310",
"2020-07-18","801","66","690","45","0","0","18644",
"2020-07-19","813","71","697","45","0","0","18933",
"2020-07-20","834","86","703","45","0","0","19089",
"2020-07-21","841","91","705","45","0","0","19396",
"2020-07-22","853","102","706","45","0","0","20016",
"2020-07-23","883","113","725","45","0","0","20675",
"2020-07-24","918","128","745","45","1","0","21298",
"2020-07-25","941","133","763","45","1","0","21956",
"2020-07-26","965","124","796","45","1","0","23180",
"2020-07-27","1014","158","811","45","4","0","23551",
"2020-07-28","1026","170","811","45","4","0","24011",
"2020-07-29","1059","203","811","45","8","0","24520",
"2020-07-30","1105","204","856","45","6","0","25096",
"2020-07-31","1158","236","877","45","5","0","25952",
"2020-08-01","1220","263","912","45","4","0","26627",
"2020-08-02","1252","266","941","45","5","0","27277",
"2020-08-03","1312","312","955","45","4","0","27807",
"2020-08-04","1339","286","1008","45","7","0","28241",
"2020-08-05","1371","289","1037","45","7","0","28848",
"2020-08-06","1423","308","1069","46","8","0","29623",
"2020-08-07","1484","309","1128","47","8","0","30276",
"2020-08-08","1533","307","1179","47","10","0","30984",
"2020-08-09","1588","310","1231","47","9","0","31663",
"2020-08-10","1636","321","1268","47","10","0","32165",
"2020-08-11","1662","288","1327","47","9","0","32588",
"2020-08-12","1692","276","1369","47","13","0","33215",
"2020-08-13","1728","275","1406","47","14","0","33876",
"2020-08-14","1776","265","1464","47","14","0","34579",
"2020-08-15","1810","272","1490","48","14","0","35200",
"2020-08-16","1863","279","1536","48","14","0","35836",
"2020-08-17","1900","295","1557","48","14","0","36336",
