"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"2020-03-18","2","2","0","0",,,
"2020-03-19","3","3","0","0",,,
"2020-03-20","3","3","0","0",,,
"2020-03-21","3","3","0","0",,,
"2020-03-22","3","3","0","0",,,
"2020-03-23","5","5","0","0",,,
"2020-03-24","5","5","0","0",,,
"2020-03-25","9","9","0","0",,,
"2020-03-26","9","9","0","0",,,
"2020-03-27","9","9","0","0",,,
"2020-03-28","13","13","0","0",,,
"2020-03-29","16","16","0","0",,,
"2020-03-30","20","20","0","0",,,
"2020-03-31","24","24","0","0",,,
"2020-04-01","24","23","0","1",,,
"2020-04-02","26","24","0","2",,,
"2020-04-03","54","51","1","2",,,
"2020-04-04","59","56","1","2",,,
"2020-04-05","64","61","1","2",,,
"2020-04-06","71","68","1","2",,,
"2020-04-07","77","74","1","2",,,
"2020-04-08","77","71","4","2",,,
"2020-04-09","81","75","4","2",,,
"2020-04-10","82","72","7","3",,,
"2020-04-11","91","80","8","3",,,
"2020-04-12","109","97","9","3",,,
"2020-04-13","110","97","10","3",,,
"2020-04-14","116","103","10","3",,,
"2020-04-15","119","104","10","5",,,
"2020-04-16","123","108","10","5",,,
"2020-04-17","131","115","11","5",,,
"2020-04-18","135","116","14","5",,,
"2020-04-19","139","118","16","5",,,
"2020-04-20","143","121","16","6",,,
"2020-04-21","146","123","17","6",,,
"2020-04-22","151","127","18","6",,,
"2020-04-23","153","126","21","6",,,
"2020-04-24","157","127","24","6",,,
"2020-04-25","158","128","24","6",,,
"2020-04-26","161","131","24","6",,,
"2020-04-27","161","124","31","6",,,
"2020-04-28","162","125","31","6",,,
"2020-04-29","162","123","33","6",,,
"2020-04-30","163","121","35","7",,,
"2020-05-01","165","123","35","7",,,
"2020-05-02","165","120","38","7",,,
"2020-05-03","165","113","45","7",,,
"2020-05-04","167","98","61","8",,,
"2020-05-05","168","90","69","9",,,
"2020-05-06","168","88","71","9",,,
"2020-05-07","168","86","73","9",,,
"2020-05-08","168","81","78","9","3","10","3826"
"2020-05-09","168","81","78","9","3","10","3826"
"2020-05-10","168","81","78","9","3","10","3826"
"2020-05-11","168","67","92","9","2","15","3957"
"2020-05-12","168","66","93","9","2","17","4008"
"2020-05-13","168","65","94","9","2","18","4060"
"2020-05-14","168","61","98","9","2","17","4145"
"2020-05-15","168","54","105","9","2","16","4252"
"2020-05-16","168","48","111","9","1","18","4202"
"2020-05-17","168","29","130","9","1","0","4202"
"2020-05-18","168","26","133","9","1","0","4252"
"2020-05-19","168","26","133","9","1","0","4346"
"2020-05-20","168","22","137","9","1","0","4385"
"2020-05-21","168","20","139","9","1","0","4427"
"2020-05-22","168","17","142","9","0","0","4469"
"2020-05-23","168","14","145","9","0","0","4469"
"2020-05-24","168","14","145","9","0","0","4469"
"2020-05-25","168","14","145","9","0","0","4534"
"2020-05-26","168","13","145","10","0","2","4540"
"2020-05-27","168","11","147","10","0","0","4574"
"2020-05-28","168","9","149","10","0","0","4601"
"2020-05-29","168","7","151","10","0","0","4628"
"2020-05-30","168","7","151","10","0","0","4628"
"2020-05-31","168","7","151","10","0","0","4628"
"2020-06-01","168","6","152","10","0","0","4684"
"2020-06-02","168","5","153","10","0","0","4691"
"2020-06-03","168","5","153","10","0","0","4721"
"2020-06-04","168","3","155","10","0","0","4746"
"2020-06-05","168","3","155","10","0","0","4772"
"2020-06-06","168","3","155","10","0","0","4772"
"2020-06-07","168","3","155","10","0","0","4772"
"2020-06-08","168","3","155","10","0","0","4866"
"2020-06-09","168","3","155","10","0","0","4872"
"2020-06-10","168","3","155","10","0","0","4934"
"2020-06-11","168","3","155","10","0","0","4962"
"2020-06-12","168","3","155","10","0","0","5005"
"2020-06-13","168","3","155","10","0","0","5005"
"2020-06-14","168","3","155","10","0","0","5005"
"2020-06-15","168","3","155","10","0","0","5050"
"2020-06-16","168","3","155","10","0","0","5053"
"2020-06-17","168","3","155","10","0","0","5082"
"2020-06-18","168","3","155","10","0","0","5107"
"2020-06-19","168","3","155","10","0","0","5125"
"2020-06-20","170","5","155","10","0","0","5125"
"2020-06-21","170","5","155","10","0","0","5125"
"2020-06-22","170","5","155","10","0","0","5163"
"2020-06-23","170","5","155","10","0","0","5168"
"2020-06-24","170","5","155","10","0","0","5192"
"2020-06-25","170","5","155","10","0","0","5209"
"2020-06-26","172","6","156","10","0","0","5235"
"2020-06-27","172","5","157","10","0","0","5235"
"2020-06-28","173","6","157","10","0","0","5235"
"2020-06-29","174","5","159","10","0","0","5278"
"2020-06-30","174","5","159","10","0","0","5283"
"2020-07-01","174","5","159","10","0","0","5325"
"2020-07-02","176","7","159","10","0","0","5366"
"2020-07-03","182","12","160","10","0","0","5417"
"2020-07-04","183","13","160","10","0","0","5417"
"2020-07-05","183","13","160","10","0","0","5417"
"2020-07-06","186","16","160","10","0","0","5531"
"2020-07-07","187","14","163","10","1","0","5561"
"2020-07-08","188","15","163","10","1","0","5621"
"2020-07-09","189","14","165","10","1","0","5685"
"2020-07-10","196","19","167","10","1","0","5714"
"2020-07-11","196","19","167","10","1","0","5714"
"2020-07-12","199","20","169","10","1","0","5714"
"2020-07-13","202","21","171","10","1","0","5846"
"2020-07-14","204","22","172","10","1","0","5854"
"2020-07-15","209","22","177","10","1","0","5930"
"2020-07-16","211","20","181","10","1","0","6007"
"2020-07-17","215","19","186","10","2","0","6066"
"2020-07-18","220","20","190","10","2","0","6066"
"2020-07-19","225","22","193","10","2","0","6066"
"2020-07-20","226","22","194","10","3","0","6311"
"2020-07-21","230","23","197","10","2","0","6329"
"2020-07-22","235","26","199","10","2","0","6442"
"2020-07-23","237","26","201","10","1","0","6442"
"2020-07-24","239","28","201","10","1","0","6442"
"2020-07-25","239","25","204","10","1","0","6442"
"2020-07-26","242","26","206","10","1","0","6442"
"2020-07-27","244","23","211","10","1","0","6737"
"2020-07-28","254","33","211","10","1","0","6767"
"2020-07-29","266","45","211","10","1","0","6889"
"2020-07-30","268","47","211","10","1","0","6996"
"2020-07-31","280","54","216","10","1","0","7081"
"2020-08-01","294","61","223","10","1","0","7081"
"2020-08-02","322","79","233","10","0","0","7081"
"2020-08-03","327","82","235","10","0","0","7509"
"2020-08-04","334","84","240","10","1","0","7520"
"2020-08-05","344","91","243","10","1","0","7763"
"2020-08-06","356","102","244","10","1","0","8044"
"2020-08-07","368","105","253","10","1","0","8181"
"2020-08-08","380","103","267","10","1","0","8181"
"2020-08-09","397","100","287","10","1","0","8181"
"2020-08-10","403","106","287","10","1","0","8181"
"2020-08-11","406","109","287","10","1","0","8687"
"2020-08-12","416","101","305","10","1","0","8827"
"2020-08-13","431","91","330","10","2","0","9055"
"2020-08-14","443","92","341","10","2","0","9203"
"2020-08-15","450","95","345","10","2","0","9203"
"2020-08-16","452","86","356","10","2","0","9203"
"2020-08-17","456","83","363","10","2","0","9383"
"2020-08-18","463","81","372","10","1","0","9419"
"2020-08-19","476","78","387","11","0","0","9563"
"2020-08-20","479","72","396","11","0","0","9659"
"2020-08-21","490","77","402","11","1","0","9791"
"2020-08-22","498","79","408","11","1","0","9791"
"2020-08-23","503","75","417","11","2","0","9791"
"2020-08-24","507","75","421","11","2","0","10068"
"2020-08-25","512","72","428","12","2","0","10111"
"2020-08-26","524","74","438","12","2","0","10251"
"2020-08-27","532","76","444","12","3","0","10384"
"2020-08-28","538","75","450","13","2","0","10496"
"2020-08-29","542","73","456","13","2","0","10496"
"2020-08-30","544","66","465","13","2","0","10496"
"2020-08-31","545","65","467","13","2","0","10796"
"2020-09-01","549","62","474","13","2","0","10845"
"2020-09-02","555","60","481","14","3","0","10918"
"2020-09-03","559","60","485","14","3","0","10980"
"2020-09-04","567","59","494","14","3","0","11063"
"2020-09-05","573","60","499","14","3","0","11063"
"2020-09-06","583","66","503","14","3","0","11063"
"2020-09-07","583","61","508","14","3","0","11303"
"2020-09-08","588","56","518","14","3","0","11350"
"2020-09-09","589","52","523","14","3","0","11470"
"2020-09-10","593","49","530","14","3","0","11520"
"2020-09-11","606","58","534","14","3","0","11550"
"2020-09-12","609","56","538","15","3","0","11550"
"2020-09-13","612","59","538","15","4","0","11550"
"2020-09-14","614","54","544","16","4","0","11777"
"2020-09-15","616","50","550","16","5","0","11796"
"2020-09-16","618","49","553","16","5","0","11944"
"2020-09-17","621","42","563","16","5","0","11994"
"2020-09-18","622","38","568","16","5","0","12026"
"2020-09-19","623","35","572","16","5","0","12026"
"2020-09-20","624","35","573","16","5","0","12026"
"2020-09-21","627","38","573","16","5","0","12026"
"2020-09-22","629","33","579","17","5","0","12026"
"2020-09-23","630","30","583","17","5","0","12210"
"2020-09-24","631","29","585","17","5","0","12228"
"2020-09-25","632","25","590","17","4","0","12251"
"2020-09-26","637","29","591","17","4","0","12251"
"2020-09-27","638","30","591","17","4","0","12251"
"2020-09-28","649","34","598","17","4","0","12424"
"2020-09-29","652","34","601","17","4","0","12436"
"2020-09-30","657","37","603","17","4","0","12474"
"2020-10-01","659","36","606","17","4","0","12578"
"2020-10-02","668","44","606","18","4","0","12623"
"2020-10-03","671","45","609","17","4","0","12623"
"2020-10-04","676","46","613","17","4","0","12623"
"2020-10-05","677","44","616","17","4","0","12688"
"2020-10-06","681","47","617","17","4","0","12699"
"2020-10-07","693","49","627","17","5","0","12738"
"2020-10-08","698","53","628","17","5","0","12846"
"2020-10-09","700","50","633","17","5","0","12878"
"2020-10-10","706","53","636","17","5","0","12878"
"2020-10-11","709","53","639","17","5","0","12878"
"2020-10-12","710","49","644","17","5","0","12963"
"2020-10-13","710","45","648","17","5","0","13060"
"2020-10-14","715","39","658","18","4","0","13091"
"2020-10-15","719","37","664","18","4","0","13121"
"2020-10-16","723","32","673","18","4","0","13174"
"2020-10-17","725","31","676","18","3","0","13174"
"2020-10-18","728","30","680","18","2","0","13174"
"2020-10-19","728","29","681","18","2","0","13174"
"2020-10-20","730","30","682","18","2","0","13450"
"2020-10-21","731","29","684","18","2","0","13484"
"2020-10-22","735","30","687","18","2","0","13508"
"2020-10-23","737","28","691","18","2","0","13525"
"2020-10-24","739","27","694","18","2","0","13525"
"2020-10-25","741","27","696","18","2","0","13525"
"2020-10-26","743","23","702","18","2","0","13569"
"2020-10-27","744","17","709","18","1","0","13674"
"2020-10-28","750","21","711","18","1","0","13751"
"2020-10-29","757","25","714","18","1","0","13808"
"2020-10-30","764","29","717","18","1","0","13826"
"2020-10-31","768","31","719","18","0","0","13826"
"2020-11-01","770","32","720","18","0","0","13826"
"2020-11-02","773","34","721","18","0","0","13982"
"2020-11-03","775","35","722","18","0","0","13982"
"2020-11-04","779","38","723","18","0","0","14025"
"2020-11-05","789","44","727","18","1","0","14094"
