"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"2020-03-18","1","1","0","0",,,,
"2020-03-19","1","1","0","0",,,,
"2020-03-20","1","1","0","0",,,,
"2020-03-21","1","1","0","0",,,,
"2020-03-22","1","1","0","0",,,,
"2020-03-23","1","1","0","0",,,,
"2020-03-24","1","1","0","0",,,,
"2020-03-25","1","1","0","0",,,,
"2020-03-26","1","1","0","0",,,,
"2020-03-27","1","1","0","0",,,,
"2020-03-28","1","1","0","0",,,,
"2020-03-29","1","1","0","0",,,,
"2020-03-30","1","1","0","0",,,,
"2020-03-31","2","2","0","0",,,,
"2020-04-01","2","2","0","0",,,,
"2020-04-02","2","2","0","0",,,,
"2020-04-03","2","2","0","0",,,,
"2020-04-04","2","2","0","0",,,,
"2020-04-05","2","2","0","0",,,,
"2020-04-06","2","2","0","0",,,,
"2020-04-07","2","2","0","0",,,,
"2020-04-08","3","3","0","0",,,,
"2020-04-09","3","3","0","0",,,,
"2020-04-10","4","4","0","0",,,,
"2020-04-11","4","3","1","0",,,,
"2020-04-12","8","7","1","0",,,,
"2020-04-13","16","15","1","0",,,,
"2020-04-14","20","19","1","0",,,,
"2020-04-15","20","19","1","0",,,,
"2020-04-16","21","20","1","0",,,,
"2020-04-17","24","23","1","0",,,,
"2020-04-18","24","23","1","0",,,,
"2020-04-19","25","24","1","0",,,,
"2020-04-20","26","25","1","0",,,,
"2020-04-21","26","25","1","0",,,,
"2020-04-22","26","24","2","0",,,,
"2020-04-23","28","24","4","0",,,,
"2020-04-24","28","24","4","0",,,,
"2020-04-25","28","23","5","0",,,,
"2020-04-26","28","23","5","0",,,,
"2020-04-27","28","23","5","0",,,,
"2020-04-28","28","22","6","0",,,,
"2020-04-29","28","21","7","0",,,,
"2020-04-30","28","21","7","0",,,,
"2020-05-01","28","21","7","0",,,,
"2020-05-02","28","21","7","0",,,,
"2020-05-03","28","19","9","0",,,,
"2020-05-04","28","17","11","0",,,,
"2020-05-05","28","17","11","0",,,,
"2020-05-06","28","17","11","0",,,,
"2020-05-07","28","16","12","0",,,,
"2020-05-08","28","15","13","0","0","0","1787",
"2020-05-09","28","15","13","0","0","0","1820",
"2020-05-10","28","8","20","0","0","0","1841",
"2020-05-11","28","7","21","0","0","0","1852",
"2020-05-12","28","7","21","0","0","0","1875",
"2020-05-13","28","6","22","0","0","0","1894",
"2020-05-14","28","2","26","0","0","0","1907",
"2020-05-15","28","2","26","0","0","0","1935",
"2020-05-16","28","2","26","0","0","0","1962",
"2020-05-17","28","1","27","0","0","0","1983",
"2020-05-18","28","1","27","0","0","0","1988",
"2020-05-19","28","1","27","0","0","0","2013",
"2020-05-20","28","1","27","0","0","0","2023",
"2020-05-21","28","1","27","0","0","0","2046",
"2020-05-22","28","1","27","0","0","0","2065",
"2020-05-23","28","1","27","0","0","0","2086",
"2020-05-24","28","0","28","0","0","0","2094",
"2020-05-25","28","0","28","0","0","0","2099",
"2020-05-26","28","0","28","0","0","0","2112",
"2020-05-27","28","0","28","0","0","0","2131",
"2020-05-28","28","0","28","0","0","0","2155",
"2020-05-29","28","0","28","0","0","0","2169",
"2020-05-30","28","0","28","0","0","0","2178",
"2020-05-31","28","0","28","0","0","0","2187",
"2020-06-01","28","0","28","0","0","0","2192",
"2020-06-02","28","0","28","0","0","0","2202",
"2020-06-03","28","0","28","0","0","0","2225",
"2020-06-04","28","0","28","0","0","0","2245",
"2020-06-05","28","0","28","0","0","0","2256",
"2020-06-06","28","0","28","0","0","0","2274",
"2020-06-07","28","0","28","0","0","0","2283",
"2020-06-08","28","0","28","0","0","0","2288",
"2020-06-09","28","0","28","0","0","0","2312",
"2020-06-10","28","0","28","0","0","0","2344",
"2020-06-11","28","0","28","0","0","0","2362",
"2020-06-12","28","0","28","0","0","0","2365",
"2020-06-13","28","0","28","0","0","0","2375",
"2020-06-14","28","0","28","0","0","0","2380",
"2020-06-15","28","0","28","0","0","0","2380",
"2020-06-16","28","0","28","0","0","0","2386",
"2020-06-17","28","0","28","0","0","0","2421",
"2020-06-18","28","0","28","0","0","0","2460",
"2020-06-19","28","0","28","0","0","0","2467",
"2020-06-20","28","0","28","0","0","0","2511",
"2020-06-21","28","0","28","0","0","0","2513",
"2020-06-22","28","0","28","0","0","0","2513",
"2020-06-23","28","0","28","0","0","0","2522",
"2020-06-24","28","0","28","0","0","0","2570",
"2020-06-25","28","0","28","0","0","0","2583",
"2020-06-26","28","0","28","0","0","0","2593",
"2020-06-27","28","0","28","0","0","0","2636",
"2020-06-28","28","0","28","0","0","0","2646",
"2020-06-29","28","0","28","0","0","0","2649",
"2020-06-30","28","0","28","0","0","0","2698",
"2020-07-01","28","0","28","0","0","0","2754",
"2020-07-02","28","0","28","0","0","0","2754",
"2020-07-03","28","0","28","0","0","0","2776",
"2020-07-04","28","0","28","0","0","0","2792",
"2020-07-05","28","0","28","0","0","0","2822",
"2020-07-06","28","0","28","0","0","0","2822",
"2020-07-07","28","0","28","0","0","0","2842",
"2020-07-08","28","0","28","0","0","0","2895",
"2020-07-09","28","0","28","0","0","0","2919",
"2020-07-10","28","0","28","0","0","0","2952",
"2020-07-11","29","1","28","0","0","0","2975",
"2020-07-12","29","1","28","0","0","0","2975",
"2020-07-13","29","1","28","0","0","0","2991",
"2020-07-14","30","2","28","0","0","0","3045",
"2020-07-15","31","3","28","0","0","0","3229",
"2020-07-16","42","4","28","0","0","10","3287",
"2020-07-17","42","4","28","0","0","10","3287",
"2020-07-18","42","14","28","0","0","0","3418",
"2020-07-19","44","16","28","0","0","0","3607",
"2020-07-20","44","16","28","0","0","0","3836",
"2020-07-21","44","16","28","0","0","0","3921",
"2020-07-22","44","16","28","0","0","0","4149",
"2020-07-23","45","17","28","0","0","0","4184",
"2020-07-24","45","17","28","0","0","0","4184",
"2020-07-25","45","14","31","0","0","0","4213",
"2020-07-26","45","12","33","0","0","0","4243",
"2020-07-27","45","12","33","0","0","0","4354",
"2020-07-28","45","9","36","0","0","0","4484",
