"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"2020-03-18","5","4","1","0",,,,
"2020-03-19","6","5","1","0",,,,
"2020-03-20","6","5","1","0",,,,
"2020-03-21","6","5","1","0",,,,
"2020-03-22","6","4","2","0",,,,
"2020-03-23","6","4","2","0",,,,
"2020-03-24","6","4","2","0",,,,
"2020-03-25","6","4","2","0",,,,
"2020-03-26","6","4","2","0",,,,
"2020-03-27","6","4","2","0",,,,
"2020-03-28","9","7","2","0",,,,
"2020-03-29","9","7","2","0",,,,
"2020-03-30","11","9","2","0",,,,
"2020-03-31","11","9","2","0",,,,
"2020-04-01","11","9","2","0",,,,
"2020-04-02","12","10","2","0",,,,
"2020-04-03","12","8","4","0",,,,
"2020-04-04","12","8","4","0",,,,
"2020-04-05","13","9","4","0",,,,
"2020-04-06","13","9","4","0",,,,
"2020-04-07","13","9","4","0",,,,
"2020-04-08","13","8","5","0",,,,
"2020-04-09","15","10","5","0",,,,
"2020-04-10","15","10","5","0",,,,
"2020-04-11","17","12","5","0",,,,
"2020-04-12","17","8","9","0",,,,
"2020-04-13","17","6","11","0",,,,
"2020-04-14","19","8","11","0",,,,
"2020-04-15","20","9","11","0",,,,
"2020-04-16","26","14","11","1",,,,
"2020-04-17","32","20","11","1",,,,
"2020-04-18","35","23","11","1",,,,
"2020-04-19","36","24","11","1",,,,
"2020-04-20","39","27","11","1",,,,
"2020-04-21","41","29","11","1",,,,
"2020-04-22","43","31","11","1",,,,
"2020-04-23","43","31","11","1",,,,
"2020-04-24","45","33","11","1",,,,
"2020-04-25","45","28","16","1",,,,
"2020-04-26","45","28","16","1",,,,
"2020-04-27","45","28","16","1",,,,
"2020-04-28","45","28","16","1",,,,
"2020-04-29","45","25","19","1",,,,
"2020-04-30","45","25","19","1",,,,
"2020-05-01","45","25","19","1",,,,
"2020-05-02","45","25","19","1",,,,
"2020-05-03","45","25","19","1",,,,
"2020-05-04","45","25","19","1",,,,
"2020-05-05","45","24","20","1",,,,
"2020-05-06","45","15","29","1",,,,
"2020-05-07","45","15","29","1",,,,
"2020-05-08","45","14","30","1","0","0","2093",
"2020-05-09","45","12","32","1","0","0","2132",
"2020-05-10","45","11","33","1","0","0","2154",
"2020-05-11","45","10","34","1","0","0","2179",
"2020-05-12","45","10","34","1","0","0","2153",
"2020-05-13","45","10","34","1","0","0","2163",
"2020-05-14","45","8","36","1","0","0","2219",
"2020-05-15","45","7","37","1","0","0","2264",
"2020-05-16","45","7","37","1","0","0","2335",
"2020-05-17","45","6","38","1","0","0","2347",
"2020-05-18","45","5","39","1","0","0","2360",
"2020-05-19","45","5","39","1","0","0","2362",
"2020-05-20","45","5","39","1","0","0","2367",
"2020-05-21","45","5","39","1","0","0","2406",
"2020-05-22","45","5","39","1","0","0","2422",
"2020-05-23","45","5","39","1","0","0","2450",
"2020-05-24","45","4","40","1","0","0","2456",
"2020-05-25","45","4","40","1","0","0","2460",
"2020-05-26","45","3","41","1","0","0","2462",
"2020-05-27","45","3","41","1","0","0","2466",
"2020-05-28","45","3","41","1","0","0","2480",
"2020-05-29","45","3","41","1","0","0","2486",
"2020-05-30","45","3","41","1","0","0","2495",
"2020-05-31","45","0","44","1","0","0","2505",
"2020-06-01","45","0","44","1","0","0","2508",
"2020-06-02","45","0","44","1","0","0","2508",
"2020-06-03","45","0","44","1","0","0","2527",
"2020-06-04","45","0","44","1","0","0","2552",
"2020-06-05","45","0","44","1","0","0","2561",
"2020-06-06","45","0","44","1","0","0","2561",
"2020-06-07","45","0","44","1","0","0","2561",
"2020-06-08","45","0","44","1","0","0","2579",
"2020-06-09","45","0","44","1","0","0","2587",
"2020-06-10","45","0","44","1","0","0","2599",
"2020-06-11","45","0","44","1","0","0","2609",
"2020-06-12","45","0","44","1","0","0","2620",
"2020-06-13","45","0","44","1","0","0","2632",
"2020-06-14","45","0","44","1","0","0","2632",
"2020-06-15","45","0","44","1","0","0","2645",
"2020-06-16","45","0","44","1","0","0","2668",
"2020-06-17","45","0","44","1","0","0","2675",
"2020-06-18","45","0","44","1","0","0","2687",
"2020-06-19","46","1","44","1","0","0","2690",
"2020-06-20","46","1","44","1","0","0","2705",
"2020-06-21","46","1","44","1","0","0","2777",
"2020-06-22","46","1","44","1","0","0","2779",
"2020-06-23","46","1","44","1","0","0","2791",
"2020-06-24","46","1","44","1","0","0","2798",
"2020-06-25","46","1","44","1","0","0","2816",
"2020-06-26","46","1","44","1","0","0","2823",
"2020-06-27","46","1","44","1","0","0","2847",
"2020-06-28","46","1","44","1","0","0","2854",
"2020-06-29","46","1","44","1","0","0","2856",
"2020-06-30","46","0","45","1","0","0","2876",
"2020-07-01","46","0","45","1","0","0","2881",
