"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"2020-03-18","1","0","1","0",,,
"2020-03-19","3","2","1","0",,,
"2020-03-20","6","5","1","0",,,
"2020-03-21","11","10","1","0",,,
"2020-03-22","15","14","1","0",,,
"2020-03-23","15","14","1","0",,,
"2020-03-24","16","15","1","0",,,
"2020-03-25","16","15","1","0",,,
"2020-03-26","17","16","1","0",,,
"2020-03-27","17","16","1","0",,,
"2020-03-28","27","26","1","0",,,
"2020-03-29","28","27","1","0",,,
"2020-03-30","28","27","1","0",,,
"2020-03-31","29","28","1","0",,,
"2020-04-01","29","28","1","0",,,
"2020-04-02","30","29","1","0",,,
"2020-04-03","31","25","6","0",,,
"2020-04-04","31","25","6","0",,,
"2020-04-05","31","25","6","0",,,
"2020-04-06","32","24","8","0",,,
"2020-04-07","32","24","8","0",,,
"2020-04-08","41","33","8","0",,,
"2020-04-09","41","31","10","0",,,
"2020-04-10","42","32","10","0",,,
"2020-04-11","42","32","10","0",,,
"2020-04-12","42","32","10","0",,,
"2020-04-13","43","33","10","0",,,
"2020-04-14","43","30","13","0",,,
"2020-04-15","50","37","13","0",,,
"2020-04-16","50","32","17","1",,,
"2020-04-17","54","36","17","1",,,
"2020-04-18","54","36","17","1",,,
"2020-04-19","54","35","18","1",,,
"2020-04-20","55","35","19","1",,,
"2020-04-21","60","40","19","1",,,
"2020-04-22","60","40","19","1",,,
"2020-04-23","60","33","26","1",,,
"2020-04-24","60","33","26","1",,,
"2020-04-25","60","33","26","1",,,
"2020-04-26","60","33","26","1",,,
"2020-04-27","60","32","27","1",,,
"2020-04-28","60","32","27","1",,,
"2020-04-29","60","31","28","1",,,
"2020-04-30","60","29","30","1",,,
"2020-05-01","60","28","31","1",,,
"2020-05-02","60","28","31","1",,,
"2020-05-03","60","27","32","1",,,
"2020-05-04","60","27","32","1",,,
"2020-05-05","60","26","33","1",,,
"2020-05-06","60","26","33","1",,,
"2020-05-07","60","26","33","1",,,
"2020-05-08","60","8","51","1","不明","9","3382"
"2020-05-09","60","8","51","1","-","8","3415"
"2020-05-10","60","7","52","1","-","7","3482"
"2020-05-11","60","5","54","1","-","5","3499"
"2020-05-12","60","5","54","1","0","0","3540"
"2020-05-13","60","4","55","1","0","0","3590"
"2020-05-14","60","4","55","1","0","1","3590"
"2020-05-15","60","3","56","1","0","0","3644"
"2020-05-16","60","3","56","1","0","0","3668"
"2020-05-17","60","3","56","1","0","0","3677"
"2020-05-18","60","3","56","1","0","0","3692"
"2020-05-19","60","3","56","1","0","0","3728"
"2020-05-20","60","2","57","1","0","0","3761"
"2020-05-21","60","2","57","1","0","0","3776"
"2020-05-22","60","2","57","1","0","0","3801"
"2020-05-23","60","2","57","1","0","0","3828"
"2020-05-24","60","2","57","1","0","0","3836"
"2020-05-25","60","2","57","1","0","0","3847"
"2020-05-26","60","2","57","1","0","0","3877"
"2020-05-27","60","1","58","1","0","0","3908"
"2020-05-28","60","1","58","1","0","0","3927"
"2020-05-29","60","1","58","1","0","0","3963"
"2020-05-30","60","1","58","1","0","0","3980"
"2020-05-31","60","1","58","1","0","0","3988"
"2020-06-01","60","1","58","1","0","0","4003"
"2020-06-02","60","1","58","1","0","0","4050"
"2020-06-03","60","1","58","1","0","0","4081"
"2020-06-04","60","1","58","1","0","0","4127"
"2020-06-05","60","1","58","1","0","0","4169"
"2020-06-06","60","1","58","1","0","0","4202"
"2020-06-07","60","1","58","1","0","0","4217"
"2020-06-08","60","1","58","1","0","0","4231"
"2020-06-09","60","0","59","1","0","0","4278"
"2020-06-10","60","0","59","1","0","0","4309"
"2020-06-11","60","0","59","1","0","0","4342"
"2020-06-12","60","0","59","1","0","0","4364"
"2020-06-13","60","0","59","1","0","0","4400"
"2020-06-14","60","0","59","1","0","0","4409"
"2020-06-15","60","0","59","1","0","0","4421"
"2020-06-16","60","0","59","1","0","0","4462"
