"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections"
"2020-03-18","0","0","0","0",,,
"2020-03-19","0","0","0","0",,,
"2020-03-20","0","0","0","0",,,
"2020-03-21","0","0","0","0",,,
"2020-03-22","1","1","0","0",,,
"2020-03-23","1","1","0","0",,,
"2020-03-24","1","1","0","0",,,
"2020-03-25","1","1","0","0",,,
"2020-03-26","1","1","0","0",,,
"2020-03-27","2","2","0","0",,,
"2020-03-28","3","3","0","0",,,
"2020-03-29","3","3","0","0",,,
"2020-03-30","4","4","0","0",,,
"2020-03-31","4","4","0","0",,,
"2020-04-01","4","4","0","0",,,
"2020-04-02","7","7","0","0",,,
"2020-04-03","9","9","0","0",,,
"2020-04-04","10","10","0","0",,,
"2020-04-05","11","11","0","0",,,
"2020-04-06","11","11","0","0",,,
"2020-04-07","12","12","0","0",,,
"2020-04-08","15","15","0","0",,,
"2020-04-09","16","16","0","0",,,
"2020-04-10","16","15","1","0",,,
"2020-04-11","16","15","1","0",,,
"2020-04-12","16","15","1","0",,,
"2020-04-13","16","15","1","0",,,
"2020-04-14","16","15","1","0",,,
"2020-04-15","16","15","1","0",,,
"2020-04-16","18","17","1","0",,,
"2020-04-17","18","17","1","0",,,
"2020-04-18","18","15","3","0",,,
"2020-04-19","19","16","3","0",,,
"2020-04-20","19","15","4","0",,,
"2020-04-21","19","15","4","0",,,
"2020-04-22","19","15","4","0",,,
"2020-04-23","19","14","5","0",,,
"2020-04-24","20","15","5","0",,,
"2020-04-25","21","16","5","0",,,
"2020-04-26","22","17","5","0",,,
"2020-04-27","22","17","5","0",,,
"2020-04-28","22","17","5","0",,,
"2020-04-29","23","18","5","0",,,
"2020-04-30","23","13","10","0",,,
"2020-05-01","23","13","10","0",,,
"2020-05-02","23","13","10","0",,,
"2020-05-03","23","13","10","0",,,
"2020-05-04","23","13","10","0",,,
"2020-05-05","23","13","10","0",,,
"2020-05-06","23","13","10","0",,,
"2020-05-07","23","12","11","0",,,
"2020-05-08","23","8","15","不明","不明","0","1321"
"2020-05-09","24","9","15","-","-","1","1344"
"2020-05-10","24","9","15","-","-","1","1372"
"2020-05-11","24","6","18","-","-","0","1377"
"2020-05-12","25","7","18","-","-","1","1397"
"2020-05-13","25","4","21","-","-","0","1434"
"2020-05-14","25","4","21","-","-","0","1466"
"2020-05-15","25","2","23","-","-","0","1483"
"2020-05-16","25","2","23","-","-","0","1536"
"2020-05-17","25","2","23","-","-","0","1555"
"2020-05-18","25","2","23","-","-","0","1560"
"2020-05-19","25","2","23","-","-","0","1570"
"2020-05-20","25","1","24","-","-","0","1589"
"2020-05-21","25","0","25","-","-","0","1607"
"2020-05-22","25","0","25","-","-","0","1621"
"2020-05-23","25","0","25","-","-","0","1643"
"2020-05-24","25","0","25","-","-","0","1646"
"2020-05-25","25","0","25","-","-","0","1646"
"2020-05-26","25","0","25","-","-","0","1655"
"2020-05-27","25","0","25","-","-","0","1664"
"2020-05-28","25","0","25","-","-","0","1677"
"2020-05-29","25","0","25","-","-","0","1689"
"2020-05-30","25","0","25","-","-","0","1698"
"2020-05-31","25","0","25","-","-","0","1705"
"2020-06-01","25","0","25","-","-","0","1709"
"2020-06-02","25","0","25","-","-","0","1716"
"2020-06-03","25","0","25","-","-","0","1731"
"2020-06-04","25","0","25","-","-","0","1738"
"2020-06-05","25","0","25","-","-","0","1747"
"2020-06-06","25","0","25","-","-","0","1757"
"2020-06-07","25","0","25","-","-","0","1771"
"2020-06-08","25","0","25","-","-","0","1774"
"2020-06-09","25","0","25","-","-","0","1780"
"2020-06-10","25","0","25","-","-","0","1790"
"2020-06-11","25","0","25","-","-","0","1800"
"2020-06-12","25","0","25","-","-","0","1809"
"2020-06-13","25","0","25","-","-","0","1817"
"2020-06-14","25","0","25","-","-","0","1827"
"2020-06-15","25","0","25","-","-","0","1833"
"2020-06-16","25","0","25","-","-","0","1836"
"2020-06-17","25","0","25","-","-","0","1849"
"2020-06-18","25","0","25","-","-","0","1853"
"2020-06-19","25","0","25","-","-","0","1860"
"2020-06-20","25","0","25","-","-","0","1863"
"2020-06-21","25","0","25","-","-","0","1863"
"2020-06-22","25","0","25","-","-","0","1865"
"2020-06-23","25","0","25","-","-","0","1870"
"2020-06-24","26","1","25","-","-","0","1882"
"2020-06-25","26","1","25","-","-","0","1891"
"2020-06-26","26","1","25","-","-","0","1900"
"2020-06-27","26","1","25","-","-","0","1906"
"2020-06-28","26","1","25","-","-","0","1920"
"2020-06-29","26","1","25","-","-","0","1926"
"2020-06-30","26","1","25","-","-","0","1935"
"2020-07-01","26","1","25","-","-","0","1943"
"2020-07-02","28","3","25","-","-","0","1954"
"2020-07-03","28","2","26","-","-","0","1964"
"2020-07-04","28","2","26","-","-","0","1976"
"2020-07-05","28","2","26","-","-","0","1983"
"2020-07-06","28","2","26","-","-","0","1988"
"2020-07-07","28","2","26","-","-","0","1999"
"2020-07-08","28","2","26","-","-","0","2014"
"2020-07-09","28","2","26","-","-","0","2026"
"2020-07-10","28","2","26","-","-","0","2031"
"2020-07-11","28","2","26","-","-","0","2031"
"2020-07-12","28","2","26","-","-","0","2038"
"2020-07-13","28","2","26","-","-","0","2046"
"2020-07-14","28","2","26","-","-","0","2056"
"2020-07-15","30","0","28","-","-","2","2066"
"2020-07-16","32","3","28","-","-","1","2094"
"2020-07-17","34","4","28","-","-","2","2140"
"2020-07-18","36","8","28","-","-","0","2286"
"2020-07-19","41","9","28","-","-","4","2341"
"2020-07-20","43","10","30","-","-","3","2369"
"2020-07-21","44","13","31","-","-","0","2398"
"2020-07-22","44","13","31","-","-","0","2459"
"2020-07-23","45","12","32","-","-","1","2507"
"2020-07-24","49","16","32","-","-","1","2539"
"2020-07-25","59","19","32","-","-","8","2579"
"2020-07-26","61","28","32","-","-","1","2618"
"2020-07-27","64","28","33","-","-","3","2673"
"2020-07-28","66","33","33","-","-","0","2708"
"2020-07-29","71","28","39","-","-","4","2765"
"2020-07-30","76","30","41","-","-","5","2839"
"2020-07-31","79","32","42","-","-","5","2974"
"2020-08-01","86","34","50","-","-","2","3046"
"2020-08-02","88","36","50","-","-","2","3093"
"2020-08-03","91","37","50","-","-","4","3122"
"2020-08-04","94","39","53","-","-","2","3164"
"2020-08-05","101","29","67","-","-","5","3226"
"2020-08-06","103","28","69","-","-","6","3270"
"2020-08-07","107","30","71","-","-","6","3328"
"2020-08-08","110","30","76","-","-","4","3466"
"2020-08-09","111","27","81","-","-","3","3518"
"2020-08-10","113","27","84","-","-","2","3533"
"2020-08-11","115","27","84","-","-","4","3549"
"2020-08-12","117","27","84","-","-","6","3607"
"2020-08-13","119","27","84","-","-","8","3607"
"2020-08-14","123","20","90","-","-","13","3738"
"2020-08-15","125","20","90","-","-","15","3786"
"2020-08-16","126","20","90","-","-","16","3821"
"2020-08-17","126","20","90","-","-","16","3836"
"2020-08-18","128","20","90","-","-","18","3847"
"2020-08-19","129","20","90","-","-","19","3873"
"2020-08-20","131","16","110","-","-","5","3897"
"2020-08-21","133","16","110","-","-","7","3950"
"2020-08-22","135","16","110","-","-","9","5880"
"2020-08-23","138","16","110","-","-","12","5880"
"2020-08-24","141","16","110","-","-","15","5880"
"2020-08-25","142","16","110","-","-","16","5880"
"2020-08-26","142","16","110","-","-","16","5880"
"2020-08-27","143","14","128","-","-","1","5880"
"2020-08-28","145","14","128","-","-","3","5880"
"2020-08-29","145","14","128","-","-","3","5880"
"2020-08-30","145","14","128","-","-","3","5880"
"2020-08-31","145","14","128","-","-","3","5880"
"2020-09-01","145","14","128","-","-","3","5880"
"2020-09-02","145","14","128","-","-","3","5880"
"2020-09-03","146","4","141","-","-","1","7049"
"2020-09-04","146","4","141","-","-","1","7049"
"2020-09-05","146","4","141","-","-","1","7049"
"2020-09-06","146","4","141","-","-","1","7049"
"2020-09-07","146","4","141","-","-","1","7049"
"2020-09-08","146","4","141","-","-","1","7049"
"2020-09-09","146","4","141","-","-","1","7049"
"2020-09-10","146","1","145","-","-","0","7511"
"2020-09-11","146","1","145","-","-","0","7511"
"2020-09-12","146","1","145","-","-","0","7511"
"2020-09-13","146","1","145","-","-","0","7511"
"2020-09-14","147","1","145","-","-","1","7511"
"2020-09-15","147","1","145","-","-","1","7511"
"2020-09-16","147","1","145","-","-","1","7511"
"2020-09-17","147","1","146","-","-","0","7861"
"2020-09-18","148","1","146","-","-","1","7861"
"2020-09-19","148","1","146","-","-","1","7861"
"2020-09-20","148","1","146","-","-","1","7861"
"2020-09-21","148","1","146","-","-","1","7861"
"2020-09-22","148","1","146","-","-","1","7861"
"2020-09-23","148","1","146","-","-","1","7861"
"2020-09-24","149","1","147","-","-","1","7861"
"2020-09-25","150","1","147","-","-","2","8110"
"2020-09-26","152","1","147","-","-","4","8110"
"2020-09-27","153","1","147","-","-","5","8110"
"2020-09-28","154","1","147","-","-","6","8110"
"2020-09-29","154","1","147","-","-","6","8110"
"2020-09-30","157","1","147","-","-","9","8110"
"2020-10-01","157","8","149","-","-","0","8110"
"2020-10-02","157","8","149","-","-","0","8110"
"2020-10-03","158","8","149","-","-","1","8110"
"2020-10-04","158","8","149","-","-","1","8110"
"2020-10-05","161","8","149","-","-","4","8654"
"2020-10-06","161","8","149","-","-","4","8654"
"2020-10-07","161","8","149","-","-","4","8654"
"2020-10-08","162","8","152","-","-","2","8654"
"2020-10-09","163","8","152","1","3","2","8654"
"2020-10-10","163","8","152","1","3","2","8654"
"2020-10-11","163","8","152","1","3","2","8654"
"2020-10-12","163","8","152","1","3","2","8654"
"2020-10-13","164","8","152","1","3","3","8654"
"2020-10-14","168","8","152","1","3","7","8654"
"2020-10-15","168","12","155","1","2","0","8654"
"2020-10-16","170","12","155","1","2","2","8654"
"2020-10-17","172","12","155","1","2","4","8654"
"2020-10-18","173","12","155","1","2","5","8654"
"2020-10-19","173","12","155","1","2","5","8654"
"2020-10-20","174","12","155","1","2","6","8654"
"2020-10-21","185","12","155","1","2","17","8654"
"2020-10-22","188","22","162","1","1","3","8654"
"2020-10-23","194","22","162","1","1","9","10217"
"2020-10-24","194","22","162","1","1","9","10217"
"2020-10-25","203","22","162","1","1","18","10217"
"2020-10-26","206","23","161","1","1","21","10217"
"2020-10-27","215","23","161","1","1","30","10217"
"2020-10-28","230","23","161","1","1","45","10217"
"2020-10-29","261","54","172","4","0","31","10217"
"2020-10-30","273","54","172","4","0","43","11198"
"2020-10-31","286","54","172","4","0","56","11198"
"2020-11-01","291","54","172","4","0","61","11198"
"2020-11-02","291","54","172","4","0","61","11198"
"2020-11-03","303","54","172","4","0","73","11198"
"2020-11-04","309","54","172","4","0","79","11198"
"2020-11-05","315","118","185","6","2","6","11198"
"2020-11-06","323","118","185","6","2","14","11198"
"2020-11-07","332","118","185","6","2","23","11198"
"2020-11-08","338","118","185","6","2","29","11198"
"2020-11-09","340","118","185","6","2","31","11198"
"2020-11-10","341","118","185","6","2","32","11198"
"2020-11-11","348","118","185","6","2","39","14762"
"2020-11-12","354","79","259","10","1","6","14762"
"2020-11-13","367","79","259","10","1","19","14762"
"2020-11-14","379","79","259","10","1","31","14762"
"2020-11-15","396","79","259","10","1","48","14762"
"2020-11-16","399","80","258","10","1","51","14762"
"2020-11-17","406","80","258","10","1","58","14762"
"2020-11-18","430","80","258","10","1","82","14762"
"2020-11-19","445","109","310","11","3","15","17220"
"2020-11-20","458","109","310","11","3","28","17220"
"2020-11-21","485","109","310","11","3","55","17220"
"2020-11-22","498","109","310","11","3","68","17220"
"2020-11-23","508","109","310","11","3","78","17220"
"2020-11-24","515","109","310","11","3","85","17220"
"2020-11-25","530","109","310","11","3","100","17220"
"2020-11-26","544","156","363","11","3","14","17220"
"2020-11-27","568","156","363","11","3","38","19205"
"2020-11-28","583","156","363","11","3","53","19205"
"2020-11-29","592","156","363","11","3","62","19205"
"2020-11-30","599","156","363","11","3","69","19205"
"2020-12-01","609","156","363","11","3","79","19205"
"2020-12-02","619","156","363","11","3","89","19205"
"2020-12-03","629","140","468","11","5","10","20802"
"2020-12-04","634","140","468","11","5","15","20802"
"2020-12-05","645","140","468","11","5","26","20802"
"2020-12-06","657","140","468","11","5","38","20802"
"2020-12-07","666","140","468","11","5","47","20802"
"2020-12-08","678","140","468","11","5","59","20802"
"2020-12-09","689","140","468","11","5","70","20802"
"2020-12-10","702","116","562","11","3","13","20802"
"2020-12-11","702","116","562","11","3","13","24136"
"2020-12-12","702","116","562","11","3","13","24136"
"2020-12-13","702","116","562","11","3","13","24136"
"2020-12-14","702","116","562","11","3","13","24136"
"2020-12-15","702","116","562","11","3","13","24136"
"2020-12-16","858","116","562","11","3","169","24136"
"2020-12-17","885","116","562","11","3","196","27231"
"2020-12-18","911","204","642","12","3","53","27231"
"2020-12-19","971","204","642","12","3","113","27231"
"2020-12-20","1082","204","642","12","3","224","27231"
"2020-12-21","1111","204","642","12","3","253","27231"
"2020-12-22","1124","204","642","12","3","266","27231"
