"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"2020-03-18","32","28","4","0",,,,
"2020-03-19","36","32","4","0",,,,
"2020-03-20","38","32","6","0",,,,
"2020-03-21","41","34","7","0",,,,
"2020-03-22","45","34","10","1",,,,
"2020-03-23","46","34","11","1",,,,
"2020-03-24","53","41","11","1",,,,
"2020-03-25","53","40","12","1",,,,
"2020-03-26","60","46","13","1",,,,
"2020-03-27","66","51","13","2",,,,
"2020-03-28","78","60","15","3",,,,
"2020-03-29","83","65","15","3",,,,
"2020-03-30","84","66","15","3",,,,
"2020-03-31","98","80","15","3",,,,
"2020-04-01","101","77","20","4",,,,
"2020-04-02","113","88","21","4",,,,
"2020-04-03","131","104","23","4",,,,
"2020-04-04","153","126","23","4",,,,
"2020-04-05","174","147","23","4",,,,
"2020-04-06","195","168","23","4",,,,
"2020-04-07","209","182","23","4",,,,
"2020-04-08","242","215","23","4",,,,
"2020-04-09","271","241","25","5",,,,
"2020-04-10","325","295","25","5",,,,
"2020-04-11","345","315","25","5",,,,
"2020-04-12","386","355","26","5",,,,
"2020-04-13","414","383","26","5",,,,
"2020-04-14","433","399","27","7",,,,
"2020-04-15","479","444","28","7",,,,
"2020-04-16","535","494","32","9",,,,
"2020-04-17","575","534","32","9",,,,
"2020-04-18","610","569","32","9",,,,
"2020-04-19","642","601","32","9",,,,
"2020-04-20","662","621","32","9",,,,
"2020-04-21","681","639","32","10",,,,
"2020-04-22","714","670","34","10",,,,
"2020-04-23","753","705","34","14",,,,
"2020-04-24","767","718","34","15",,,,
"2020-04-25","786","737","34","15",,,,
"2020-04-26","806","754","36","16",,,,
"2020-04-27","823","765","42","16",,,,
"2020-04-28","828","771","42","15",,,,
"2020-04-29","843","779","49","15",,,,
"2020-04-30","851","785","49","17",,,,
"2020-05-01","857","788","52","17",,,,
"2020-05-02","878","809","52","17",,,,
"2020-05-03","888","809","54","25",,,,
"2020-05-04","894","814","54","26",,,,
"2020-05-05","901","814","60","27",,,,
"2020-05-06","909","820","62","27",,,,
"2020-05-07","922","821","73","28",,,,
"2020-05-08","946","391","514","41","10","0","11394",
"2020-05-09","962","396","525","41","10","0","11661",
"2020-05-10","967","377","548","42","11","0","11917",
"2020-05-11","969","311","616","42","9","0","12884",
"2020-05-12","970","285","642","43","9","0","13327",
"2020-05-13","973","255","674","44","9","0","14266",
"2020-05-14","977","241","691","45","8","0","14908",
"2020-05-15","979","204","730","45","8","0","15348",
"2020-05-16","984","196","742","46","8","0","15430",
"2020-05-17","988","192","750","46","8","0","15507",
"2020-05-18","991","182","763","46","8","0","16277",
"2020-05-19","991","143","802","46","6","0","16890",
"2020-05-20","996","138","812","46","4","0","17335",
"2020-05-21","997","120","831","46","5","0","17759",
"2020-05-22","998","110","842","46","6","0","18101",
"2020-05-23","999","105","848","46","6","0","18160",
"2020-05-24","999","101","852","46","6","0","18197",
"2020-05-25","999","87","865","47","5","0","18686",
"2020-05-26","1000","83","870","47","6","0","19092",
"2020-05-27","1000","78","875","47","6","0","19289",
"2020-05-28","1002","73","882","47","6","0","20156",
"2020-05-29","1004","68","888","48","6","0","20623",
"2020-05-30","1003","65","890","48","5","0","20686",
"2020-05-31","1003","67","888","48","5","0","20735",
"2020-06-01","1003","59","896","48","5","0","20933",
"2020-06-02","1003","50","905","48","4","0","21810",
"2020-06-03","1005","47","909","49","4","0","22228",
"2020-06-04","1005","43","912","50","4","0","22634",
"2020-06-05","1006","37","918","51","4","0","23184",
"2020-06-06","1007","36","920","51","4","0","23212",
"2020-06-07","1007","36","920","51","4","0","23291",
"2020-06-08","1007","36","920","51","4","0","23877",
"2020-06-09","1008","29","928","51","5","0","24572",
"2020-06-10","1014","34","929","51","5","0","25132",
"2020-06-11","1017","30","936","51","4","0","25662",
"2020-06-12","1019","27","941","51","4","0","26579",
"2020-06-13","1019","25","943","51","4","0","26614",
"2020-06-14","1021","27","943","51","4","0","26670",
"2020-06-15","1021","22","947","52","4","0","27215",
"2020-06-16","1022","20","950","52","4","0","28059",
"2020-06-17","1023","20","951","52","3","0","28344",
"2020-06-18","1025","22","951","52","3","0","29050",
"2020-06-19","1027","21","941","65","3","0","29886",
"2020-06-20","1031","25","941","65","3","0","29928",
"2020-06-21","1038","32","941","65","3","0","29958",
"2020-06-22","1042","36","941","65","3","0","30832",
"2020-06-23","1054","47","942","65","3","0","31321",
"2020-06-24","1063","52","946","65","4","0","32115",
"2020-06-25","1074","62","947","65","4","0","32451",
"2020-06-26","1090","75","950","65","4","0","33065",
"2020-06-27","1101","86","950","65","4","0","33141",
"2020-06-28","1109","93","951","65","4","0","33238",
"2020-06-29","1122","103","954","65","3","0","33985",
"2020-06-30","1132","109","958","65","3","0","34582",
