"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"2020-03-18","0","0","0","0",,,,
"2020-03-19","0","0","0","0",,,,
"2020-03-20","0","0","0","0",,,,
"2020-03-21","0","0","0","0",,,,
"2020-03-22","0","0","0","0",,,,
"2020-03-23","0","0","0","0",,,,
"2020-03-24","0","0","0","0",,,,
"2020-03-25","0","0","0","0",,,,
"2020-03-26","0","0","0","0",,,,
"2020-03-27","0","0","0","0",,,,
"2020-03-28","0","0","0","0",,,,
"2020-03-29","0","0","0","0",,,,
"2020-03-30","0","0","0","0",,,,
"2020-03-31","0","0","0","0",,,,
"2020-04-01","0","0","0","0",,,,
"2020-04-02","0","0","0","0",,,,
"2020-04-03","0","0","0","0",,,,
"2020-04-04","0","0","0","0",,,,
"2020-04-05","0","0","0","0",,,,
"2020-04-06","0","0","0","0",,,,
"2020-04-07","0","0","0","0",,,,
"2020-04-08","0","0","0","0",,,,
"2020-04-09","1","1","0","0",,,,
"2020-04-10","2","2","0","0",,,,
"2020-04-11","6","6","0","0",,,,
"2020-04-12","7","7","0","0",,,,
"2020-04-13","8","8","0","0",,,,
"2020-04-14","10","10","0","0",,,,
"2020-04-15","13","13","0","0",,,,
"2020-04-16","14","14","0","0",,,,
"2020-04-17","15","15","0","0",,,,
"2020-04-18","15","15","0","0",,,,
"2020-04-19","16","16","0","0",,,,
"2020-04-20","16","16","0","0",,,,
"2020-04-21","16","16","0","0",,,,
"2020-04-22","16","16","0","0",,,,
"2020-04-23","16","14","2","0",,,,
"2020-04-24","16","14","2","0",,,,
"2020-04-25","16","14","2","0",,,,
"2020-04-26","22","20","2","0",,,,
"2020-04-27","22","20","2","0",,,,
"2020-04-28","23","21","2","0",,,,
"2020-04-29","23","20","3","0",,,,
"2020-04-30","23","16","7","0",,,,
"2020-05-01","23","16","7","0",,,,
"2020-05-02","23","16","7","0",,,,
"2020-05-03","24","17","7","0",,,,
"2020-05-04","24","17","7","0",,,,
"2020-05-05","24","15","9","0",,,,
"2020-05-06","24","15","9","0",,,,
"2020-05-07","24","14","10","0",,,,
"2020-05-08","24","14","10","不明","不明","14","888",
"2020-05-09","24","13","11","-","-","13","896",
"2020-05-10","24","13","11","-","-","13","904",
"2020-05-11","24","12","12","-","-","12","911",
"2020-05-12","24","12","12","0","1","0","926",
"2020-05-13","24","10","14","0","1","0","944",
"2020-05-14","24","9","15","0","1","0","957",
"2020-05-15","24","8","16","0","1","0","967",
"2020-05-16","24","8","16","0","1","0","979",
"2020-05-17","24","8","16","0","1","0","993",
"2020-05-18","24","8","16","0","1","0","1003",
"2020-05-19","24","8","16","0","1","0","1044",
"2020-05-20","24","8","16","0","1","0","1052",
"2020-05-21","24","5","19","0","1","0","1069",
"2020-05-22","24","4","20","0","1","0","1078",
"2020-05-23","24","4","20","0","1","0","1082",
"2020-05-24","24","4","20","0","1","0","1083",
"2020-05-25","24","4","20","0","1","0","1084",
"2020-05-26","24","4","20","0","1","0","1088",
"2020-05-27","24","4","20","0","1","0","1098",
"2020-05-28","24","2","22","0","1","0","1099",
"2020-05-29","24","1","22","0","0","1","1107",
"2020-05-30","24","1","22","0","0","1","1121",
"2020-05-31","24","1","22","0","0","1","1125",
"2020-06-01","24","2","22","0","1","0","1128",
"2020-06-02","24","2","22","0","1","0","1132",
"2020-06-03","24","1","23","0","1","0","1138",
"2020-06-04","24","1","23","0","1","0","1142",
"2020-06-05","24","1","23","0","1","0","1153",
"2020-06-06","24","1","23","0","1","0","1159",
"2020-06-07","24","1","23","0","1","0","1166",
"2020-06-08","24","1","23","0","1","0","1167",
"2020-06-09","24","1","23","0","1","0","1169",
"2020-06-10","24","1","23","0","1","0","1176",
"2020-06-11","24","1","23","0","1","0","1182",
"2020-06-12","24","1","23","0","1","0","1190",
"2020-06-13","24","1","23","0","1","0","1199",
"2020-06-14","24","1","23","0","1","0","1200",
"2020-06-15","24","1","23","0","1","0","1202",
"2020-06-16","24","1","23","0","1","0","1202",
"2020-06-17","24","1","23","0","1","0","1206",
"2020-06-18","24","1","23","0","1","0","1208",
"2020-06-19","24","1","23","0","1","0","1208",
"2020-06-20","24","1","23","0","1","0","1210",
"2020-06-21","24","1","23","0","1","0","1211",
"2020-06-22","24","1","23","0","1","0","1212",
"2020-06-23","24","1","23","0","1","0","1219",
"2020-06-24","24","1","23","0","0","0","1225",
"2020-06-25","24","1","23","0","0","0","1228",
"2020-06-26","24","1","23","0","0","0","1232",
"2020-06-27","24","1","23","0","0","0","1238",
"2020-06-28","24","1","23","0","0","0","1239",
"2020-06-29","24","0","23","0","0","1","1240",
"2020-06-30","24","0","24","0","0","0","1245",
"2020-07-01","24","0","24","0","0","0","1247",
"2020-07-02","24","0","24","0","0","0","1249",
"2020-07-03","24","0","24","0","0","0","1254",
"2020-07-04","24","0","24","0","0","0","1256",
"2020-07-05","24","0","24","0","0","0","1257",
"2020-07-06","24","0","24","0","0","0","1260",
"2020-07-07","24","0","24","0","0","0","1263",
"2020-07-08","24","0","24","0","0","0","1267",
"2020-07-09","24","0","24","0","0","0","1278",
"2020-07-10","24","0","24","0","0","0","1281",
"2020-07-11","24","0","24","0","0","0","1284",
"2020-07-12","24","0","24","0","0","0","1285",
"2020-07-13","24","0","24","0","0","0","1286",
"2020-07-14","24","0","24","0","0","0","1291",
"2020-07-15","25","0","25","0","0","0","1299",
"2020-07-16","25","1","24","0","0","0","1405",
"2020-07-17","25","1","24","0","0","0","1536",
"2020-07-18","25","1","24","0","0","0","1848",
"2020-07-19","25","1","24","0","0","0","1992",
"2020-07-20","25","1","24","0","0","0","1997",
"2020-07-21","25","1","24","0","0","0","2010",
"2020-07-22","26","1","24","0","0","1","2033",
"2020-07-23","26","1","24","0","0","1","2046",
"2020-07-24","26","1","24","0","0","1","2065",
"2020-07-25","28","1","26","0","0","1","2181",
"2020-07-26","28","1","25","0","0","2","2253",
"2020-07-27","28","3","25","0","0","0","2340",
"2020-07-28","29","4","26","0","0","1","2710",
"2020-07-29","29","4","25","0","0","0","2782",
"2020-07-30","29","4","25","0","0","0","2866",
"2020-07-31","29","4","25","0","0","0","2916",
"2020-08-01","29","4","26","0","0","1","2940",
"2020-08-02","29","4","27","0","0","2","2955",
"2020-08-03","29","2","27","0","0","0","2973",
"2020-08-04","29","2","27","0","0","0","2987",
"2020-08-05","29","1","28","0","0","0","3014",
"2020-08-06","29","1","29","0","0","1","3027",
"2020-08-07","29","0","29","0","0","0","3045",
"2020-08-08","29","0","29","0","0","0","3060",
"2020-08-09","31","0","31","0","0","0","3071",
"2020-08-10","123","0","121","0","0","2","3225",
"2020-08-11","126","94","32","0","0","0","3416",
"2020-08-12","130","94","33","0","0","3","3577",
"2020-08-13","132","103","29","0","0","0","3686",
"2020-08-14","132","103","29","0","0","0","3795",
"2020-08-15","132","103","29","0","0","0","4161",
"2020-08-16","132","103","29","0","0","0","4191",
"2020-08-17","132","103","29","0","0","0","4211",
"2020-08-18","133","85","48","0","0","0","4257",
"2020-08-19","133","82","51","0","0","0","4359",
"2020-08-20","134","82","61","0","0","9","4446",
"2020-08-21","134","68","66","0","0","0","4500",
"2020-08-22","134","68","67","0","0","1","4538",
"2020-08-23","134","68","71","0","0","5","4598",
"2020-08-24","135","62","73","0","0","0","4622",
"2020-08-25","136","60","76","0","0","0","4653",
"2020-08-26","137","60","77","0","0","0","4681",
"2020-08-27","137","57","132","0","0","52","4764",
"2020-08-28","137","4","133","0","0","0","4804",
"2020-08-29","137","4","133","0","0","0","4834",
"2020-08-30","137","4","133","0","0","0","4851",
"2020-08-31","137","4","133","0","0","0","4869",
"2020-09-01","137","4","133","0","0","0","4890",
"2020-09-02","137","2","135","0","0","0","4911",
"2020-09-03","137","1","136","0","0","0","4936",
"2020-09-04","137","1","136","0","0","0","4949",
"2020-09-05","137","1","137","0","0","1","4973",
"2020-09-06","137","1","137","0","0","1","4988",
"2020-09-07","137","0","137","0","0","0","5010",
"2020-09-08","137","0","137","0","0","0","5027",
"2020-09-09","137","0","137","0","0","0","5032",
"2020-09-10","137","0","137","0","0","0","5145",
"2020-09-11","137","0","137","0","0","0","5172",
"2020-09-12","137","0","137","0","0","0","5186",
"2020-09-13","137","0","137","0","0","0","5200",
"2020-09-14","137","0","137","0","0","0","5215",
"2020-09-15","137","0","137","0","0","0","5236",
"2020-09-16","137","0","137","0","0","0","5246",
"2020-09-17","137","0","137","0","0","0","5270",
"2020-09-18","137","0","137","0","0","0","5281",
"2020-09-19","137","0","137","0","0","0","5298",
"2020-09-20","137","0","137","0","0","0","5302",
"2020-09-21","137","0","137","0","0","0","5309",
"2020-09-22","137","0","137","0","0","0","5313",
"2020-09-23","137","0","137","0","0","0","5320",
"2020-09-24","138","0","137","0","0","1","5334",
"2020-09-25","140","2","138","0","0","0","5366",
"2020-09-26","140","2","137","0","0","1","5541",
"2020-09-27","140","2","137","0","0","1","5597",
"2020-09-28","140","3","137","0","0","0","5652",
"2020-09-29","140","3","137","0","0","0","5734",
"2020-09-30","140","3","137","0","0","0","5767",
"2020-10-01","140","1","139","0","0","0","5792",
"2020-10-02","140","1","139","0","0","0","5808",
"2020-10-03","140","1","140","0","0","1","5820",
"2020-10-04","140","1","140","0","0","1","5820",
"2020-10-05","140","0","140","0","0","0","5829",
"2020-10-06","140","0","140","0","0","0","5858",
"2020-10-07","140","0","140","0","0","0","5875",
"2020-10-08","140","0","140","0","0","0","5896",
"2020-10-09","140","0","140","0","0","0","5907",
"2020-10-10","140","0","140","0","0","0","5925",
"2020-10-11","140","0","140","0","0","0","5930",
"2020-10-12","140","0","140","0","0","0","5932",
"2020-10-13","140","0","140","0","0","0","5943",
"2020-10-14","140","0","140","0","0","0","5962",
"2020-10-15","140","0","140","0","0","0","5980",
"2020-10-16","140","0","140","0","0","0","6000",
"2020-10-17","140","0","140","0","0","0","6017",
"2020-10-18","140","0","140","0","0","0","6023",
"2020-10-19","140","0","140","0","0","0","6033",
"2020-10-20","140","0","140","0","0","0","6049",
"2020-10-21","140","0","140","0","0","0","6066",
"2020-10-22","140","0","140","0","0","0","6075",
"2020-10-23","140","0","140","0","0","0","6085",
"2020-10-24","140","0","140","0","0","0","6122",
"2020-10-25","140","0","140","0","0","0","6123",
"2020-10-26","141","1","141","0","0","1","6127",
"2020-10-27","141","1","140","0","0","0","6154",
"2020-10-28","141","1","140","0","0","0","6189",
"2020-10-29","141","1","140","0","0","0","6212",
"2020-10-30","141","1","140","0","0","0","6245",
"2020-10-31","141","1","141","0","0","1","6271",
"2020-11-01","141","1","141","0","0","1","6281",
"2020-11-02","141","0","141","0","0","0","6281",
"2020-11-03","141","0","141","0","0","0","6281",
"2020-11-04","141","0","141","0","0","0","6281",
"2020-11-05","141","0","141","0","0","0","6281",
"2020-11-06","141","0","141","0","0","0","6281",
"2020-11-07","141","0","141","0","0","0","6281",
"2020-11-08","141","0","141","0","0","0","6281",
"2020-11-09","141","0","141","0","0","0","6281",
"2020-11-10","141","0","141","0","0","0","6281",
"2020-11-11","141","0","141","0","0","0","6281",
"2020-11-12","141","0","141","0","0","0","6354",
"2020-11-13","141","0","141","0","0","0","6354",
"2020-11-14","141","0","141","0","0","0","6354",
"2020-11-15","141","0","141","0","0","0","6354",
"2020-11-16","141","0","141","0","0","0","6354",
"2020-11-17","142","1","141","0","0","0","6354",
"2020-11-18","142","1","141","0","0","0","6354",
"2020-11-19","142","1","141","0","0","0","6498",
"2020-11-20","142","1","141","0","0","0","6498",
"2020-11-21","142","1","141","0","0","0","6498",
"2020-11-22","142","1","141","0","0","0","6498",
"2020-11-23","142","1","141","0","0","0","6498",
"2020-11-24","142","1","141","0","0","0","6498",
"2020-11-25","143","2","141","0","0","0","6498",
"2020-11-26","144","4","140","0","0","0","6772",
"2020-11-27","145","5","140","0","0","0","6772",
"2020-11-28","146","5","141","0","0","0","6772",
"2020-11-29","146","6","140","0","0","0","6772",
"2020-11-30","147","6","141","0","0","0","6772",
"2020-12-01","148","5","143","0","1","0","6772",
"2020-12-02","148","5","143","0","1","0","6772",
"2020-12-03","152","4","148","0","1","0","7158",
"2020-12-04","152","7","145","0","1","0","7158",
"2020-12-05","153","7","146","0","1","0","7158",
"2020-12-06","155","9","146","0","1","0","7158",
"2020-12-07","158","9","149","0","1","0","7158",
"2020-12-08","158","12","146","0","0","0","7158",
"2020-12-09","158","11","147","0","0","0","7158",
"2020-12-10","159","11","148","0","0","0","7158",
"2020-12-11","165","11","154","0","1","0","7659",
"2020-12-12","165","14","151","0","1","0","7659",
"2020-12-13","166","14","152","0","1","0","7659",
"2020-12-14","168","14","154","0","1","0","7659",
"2020-12-15","168","13","155","0","1","0","7659",
"2020-12-16","170","14","156","0","1","0","7659",
"2020-12-17","174","16","158","0","1","0","7659",
"2020-12-18","178","15","163","0","1","0","8556",
"2020-12-19","179","18","161","0","1","0","8556",
"2020-12-20","181","18","163","0","1","0","8556",
"2020-12-21","181","19","162","0","1","0","8556",
"2020-12-22","181","17","164","0","1","0","8556",
"2020-12-23","186","14","172","0","1","0","8556",
"2020-12-24","189","19","170","0","1","0","8556",
"2020-12-25","190","19","171","0","1","0","9344",
"2020-12-26","194","18","176","0","1","0","9344",
"2020-12-27","202","27","175","0","1","0","9344",
"2020-12-28","205","30","175","0","2","0","9344",
"2020-12-29","208","31","177","0","2","0","9344",
"2020-12-30","208","31","177","0","2","0","9344",
"2020-12-31","207","29","178","0","2","0","9344",
"2021-01-01","209","28","181","0","2","0","9344",
"2021-01-02","213","31","182","0","2","0","9344",
"2021-01-03","214","27","187","0","2","0","9344",
"2021-01-04","214","25","189","0","1","0","9344",
"2021-01-05","215","22","193","0","1","0","9344","JP-32"
"2021-01-06","216","20","196","0","1","0","9344","JP-32"
"2021-01-07","218","16","202","0","1","0","9344","JP-32"
"2021-01-08","221","16","205","0","1","0","9344","JP-32"
"2021-01-09","224","20","204","0","1","0","9344","JP-32"
"2021-01-10","227","20","207","0","1","0","9344","JP-32"
"2021-01-11","227","21","206","0","1","0","9344","JP-32"
"2021-01-12","227","20","207","0","1","0","10183","JP-32"
"2021-01-13","228","19","209","0","1","0","10183","JP-32"
"2021-01-14","230","16","214","0","0","0","10183","JP-32"
"2021-01-15","233","20","213","0","0","0","10183","JP-32"
"2021-01-16","234","15","219","0","0","0","10183","JP-32"
"2021-01-17","235","14","221","0","0","0","10183","JP-32"
"2021-01-18","235","16","219","0","0","0","10827","JP-32"
"2021-01-19","237","14","223","0","0","0","10827","JP-32"
"2021-01-20","239","15","224","0","0","0","10827","JP-32"
"2021-01-21","242","15","227","0","0","0","11764","JP-32"
"2021-01-22","242","14","228","0","0","0","11764","JP-32"
"2021-01-23","242","12","230","0","0","0","11764","JP-32"
"2021-01-26","245","8","237","0","0","0","11764","JP-32"
"2021-01-27","250","11","239","0","0","0","11764","JP-32"
"2021-01-28","254","13","241","0","0","0","11764","JP-32"
"2021-01-29","264","16","248","0","0","0","12166","JP-32"
"2021-01-30","265","25","240","0","0","0","12166","JP-32"
"2021-01-31","268","27","241","0","0","0","12166","JP-32"
"2021-02-01","269","24","245","0","0","0","12166","JP-32"
"2021-02-02","271","23","248","0","0","0","12166","JP-32"
"2021-02-03","273","22","251","0","0","0","12166","JP-32"
"2021-02-04","273","22","251","0","0","0","12166","JP-32"
"2021-02-05","274","22","252","0","0","0","13515","JP-32"
"2021-02-06","276","22","254","0","0","0","13515","JP-32"
"2021-02-07","276","22","254","0","0","0","13515","JP-32"
"2021-02-08","276","20","256","0","0","0","13515","JP-32"
"2021-02-09","278","12","266","0","0","0","13515","JP-32"
"2021-02-10","278","11","267","0","1","0","13515","JP-32"
"2021-02-11","280","10","270","0","1","0","13515","JP-32"
"2021-02-12","280","9","271","0","1","0","13515","JP-32"
"2021-02-13","280","9","271","0","1","0","13515","JP-32"
"2021-02-14","280","9","271","0","1","0","13515","JP-32"
"2021-02-15","280","7","273","0","1","0","13515","JP-32"
"2021-02-16","280","6","274","0","1","0","14340","JP-32"
"2021-02-17","280","6","274","0","1","0","14340","JP-32"
"2021-02-18","280","4","276","0","0","0","14340","JP-32"
"2021-02-19","281","4","277","0","0","0","14340","JP-32"
"2021-02-20","281","4","277","0","0","0","14340","JP-32"
"2021-02-21","281","4","277","0","0","0","14340","JP-32"
"2021-02-22","281","3","278","0","0","0","15115","JP-32"
"2021-02-23","282","3","279","0","0","0","15115","JP-32"
"2021-02-24","284","6","278","0","0","0","15115","JP-32"
"2021-02-25","284","6","278","0","0","0","15115","JP-32"
"2021-02-26","284","6","278","0","0","0","15625","JP-32"
"2021-02-27","284","6","278","0","0","0","15625","JP-32"
"2021-02-28","284","5","279","0","0","0","15625","JP-32"
"2021-03-01","284","5","279","0","0","0","15625","JP-32"
"2021-03-02","284","5","279","0","0","0","15625","JP-32"
"2021-03-03","284","4","280","0","0","0","15625","JP-32"
"2021-03-04","284","3","281","0","0","0","16183","JP-32"
"2021-03-05","284","3","281","0","0","0","16183","JP-32"
"2021-03-06","284","1","283","0","0","0","16183","JP-32"
"2021-03-07","284","1","283","0","0","0","16183","JP-32"
"2021-03-08","284","1","283","0","0","0","16183","JP-32"
"2021-03-09","284","1","283","0","0","0","16183","JP-32"
"2021-03-10","284","1","283","0","0","0","16183","JP-32"
"2021-03-11","284","0","284","0","0","0","16183","JP-32"
"2021-03-12","284","0","284","0","0","0","16686","JP-32"
"2021-03-13","284","0","284","0","0","0","16686","JP-32"
"2021-03-14","285","0","285","0","0","0","16686","JP-32"
"2021-03-15","285","1","284","0","0","0","16686","JP-32"
"2021-03-16","285","1","284","0","0","0","16686","JP-32"
"2021-03-17","285","1","284","0","0","0","16686","JP-32"
"2021-03-18","285","1","284","0","0","0","17152","JP-32"
"2021-03-19","285","1","284","0","0","0","17152","JP-32"
"2021-03-20","285","0","285","0","0","0","17152","JP-32"
"2021-03-21","285","0","285","0","0","0","17152","JP-32"
"2021-03-22","285","0","285","0","0","0","17152","JP-32"
"2021-03-23","285","0","285","0","0","0","17152","JP-32"
"2021-03-24","285","0","285","0","0","0","17152","JP-32"
"2021-03-25","285","0","285","0","0","0","17590","JP-32"
"2021-03-26","286","1","285","0","0","0","17590","JP-32"
"2021-03-27","286","1","285","0","0","0","17590","JP-32"
"2021-03-28","286","1","285","0","0","0","17590","JP-32"
"2021-03-29","286","1","285","0","0","0","17590","JP-32"
"2021-03-30","286","1","285","0","0","0","17590","JP-32"
"2021-03-31","287","1","286","0","0","0","17590","JP-32"
"2021-04-01","288","3","285","0","0","0","18022","JP-32"
"2021-04-02","288","4","284","0","0","0","18022","JP-32"
"2021-04-03","288","4","284","0","0","0","18022","JP-32"
"2021-04-04","288","4","284","0","0","0","18022","JP-32"
"2021-04-05","288","4","284","0","0","0","18022","JP-32"
"2021-04-06","288","4","284","0","0","0","18022","JP-32"
"2021-04-07","289","3","286","0","0","0","18022","JP-32"
"2021-04-08","291","6","285","0","0","0","18477","JP-32"
"2021-04-09","291","6","285","0","0","0","18477","JP-32"
"2021-04-10","291","5","286","0","0","0","18477","JP-32"
"2021-04-11","291","5","286","0","0","0","18477","JP-32"
"2021-04-12","292","6","286","0","0","0","18477","JP-32"
"2021-04-13","293","7","286","0","0","0","18477","JP-32"
"2021-04-14","294","7","287","0","0","0","18477","JP-32"
"2021-04-15","295","7","288","0","0","0","18895","JP-32"
"2021-04-16","296","9","287","0","0","0","18895","JP-32"
"2021-04-17","297","8","289","0","0","0","18895","JP-32"
"2021-04-18","297","9","288","0","0","0","18895","JP-32"
"2021-04-19","297","9","288","0","0","0","18895","JP-32"
"2021-04-20","298","6","292","0","0","0","18895","JP-32"
"2021-04-21","310","9","301","0","0","0","18895","JP-32"
"2021-04-22","320","19","301","0","0","0","19437","JP-32"
"2021-04-23","324","28","296","0","0","0","19437","JP-32"
"2021-04-24","329","33","296","0","0","0","19437","JP-32"
"2021-04-25","332","37","295","0","0","0","19437","JP-32"
"2021-04-26","335","38","297","0","0","0","19437","JP-32"
"2021-04-27","338","41","297","0","1","0","19437","JP-32"
"2021-04-28","343","41","302","0","1","0","19437","JP-32"
"2021-04-29","347","41","306","0","1","0","19437","JP-32"
"2021-04-30","347","42","305","0","1","0","19437","JP-32"
"2021-05-01","353","36","317","0","1","0","19437","JP-32"
"2021-05-02","356","42","314","0","1","0","19437","JP-32"
"2021-05-03","357","37","320","0","1","0","19437","JP-32"
"2021-05-04","362","34","328","0","1","0","19437","JP-32"
"2021-05-05","365","36","329","0","1","0","19437","JP-32"
"2021-05-06","366","31","335","0","1","0","21314","JP-32"
"2021-05-07","368","29","339","0","1","0","21314","JP-32"
"2021-05-08","373","30","343","0","1","0","21314","JP-32"
"2021-05-09","375","36","339","0","1","0","21314","JP-32"
"2021-05-10","379","29","350","0","1","0","21314","JP-32"
"2021-05-11","385","30","355","0","1","0","21314","JP-32"
"2021-05-12","394","35","359","0","1","0","21314","JP-32"
"2021-05-13","401","40","361","0","1","0","21314","JP-32"
"2021-05-14","414","43","371","0","1","0","21314","JP-32"
"2021-05-15","424","55","369","0","1","0","21314","JP-32"
"2021-05-16","433","59","374","0","1","0","21314","JP-32"
"2021-05-17","437","64","373","0","2","0","22393","JP-32"
"2021-05-18","457","64","393","0","2","0","22393","JP-32"
"2021-05-19","469","78","391","0","3","0","22393","JP-32"
"2021-05-20","482","85","397","0","3","0","24335","JP-32"
"2021-05-21","489","90","399","0","3","0","24335","JP-32"
"2021-05-22","492","95","397","0","3","0","24335","JP-32"
"2021-05-23","498","94","404","0","3","0","24335","JP-32"
"2021-05-24","504","99","405","0","4","0","24335","JP-32"
"2021-05-25","512","103","409","0","4","0","24335","JP-32"
"2021-05-26","520","96","424","0","4","0","24335","JP-32"
"2021-05-27","526","97","429","0","4","0","26359","JP-32"
"2021-05-28","529","95","434","0","4","0","26359","JP-32"
"2021-05-29","535","90","445","0","4","0","26359","JP-32"
"2021-05-30","540","83","457","0","4","0","26359","JP-32"
"2021-05-31","540","77","463","0","4","0","26359","JP-32"
"2021-06-01","542","73","469","0","4","0","26359","JP-32"
"2021-06-02","543","64","479","0","3","0","26359","JP-32"
"2021-06-03","543","61","482","0","3","0","27832","JP-32"
"2021-06-04","545","53","492","0","3","0","27832","JP-32"
"2021-06-05","545","47","498","0","3","0","27832","JP-32"
"2021-06-06","545","44","501","0","3","0","27832","JP-32"
"2021-06-07","547","39","508","0","3","0","27832","JP-32"
"2021-06-08","547","35","512","0","3","0","27832","JP-32"
"2021-06-09","548","27","521","0","2","0","27832","JP-32"
"2021-06-10","548","25","523","0","2","0","27832","JP-32"
"2021-06-11","548","17","531","0","2","0","28600","JP-32"
"2021-06-12","549","16","533","0","2","0","28600","JP-32"
"2021-06-13","550","17","533","0","2","0","28600","JP-32"
"2021-06-15","551","14","537","0","2","0","28600","JP-32"
"2021-06-16","551","12","539","1","1","1","28600","JP-32"
"2021-06-17","551","10","541","1","1","1","29236","JP-32"
"2021-06-18","551","9","541","1","1","0","29236","JP-32"
"2021-06-19","551","9","541","1","1","0","29236","JP-32"
"2021-06-20","551","8","542","1","1","0","29236","JP-32"
"2021-06-21","551","7","543","1","1","0","29236","JP-32"
"2021-06-22","551","4","546","1","1","0","29236","JP-32"
"2021-06-23","551","4","546","1","1","0","29236","JP-32"
"2021-06-24","551","3","547","1","1","0","29812","JP-32"
"2021-06-25","551","3","547","1","1","0","29812","JP-32"
"2021-06-26","552","2","549","1","1","0","29812","JP-32"
"2021-06-27","552","3","548","1","1","0","29812","JP-32"
"2021-06-28","552","3","548","1","1","0","29812","JP-32"
"2021-06-29","553","3","549","1","1","0","29812","JP-32"
