"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"2020-03-18","3","1","2","0",,,,
"2020-03-19","3","1","2","0",,,,
"2020-03-20","3","2","1","0",,,,
"2020-03-21","4","3","1","0",,,,
"2020-03-22","4","2","2","0",,,,
"2020-03-23","4","2","2","0",,,,
"2020-03-24","6","4","2","0",,,,
"2020-03-25","6","4","2","0",,,,
"2020-03-26","10","8","2","0",,,,
"2020-03-27","11","9","2","0",,,,
"2020-03-28","11","9","2","0",,,,
"2020-03-29","12","10","2","0",,,,
"2020-03-30","12","10","2","0",,,,
"2020-03-31","14","12","2","0",,,,
"2020-04-01","14","12","2","0",,,,
"2020-04-02","14","12","2","0",,,,
"2020-04-03","14","11","3","0",,,,
"2020-04-04","14","11","3","0",,,,
"2020-04-05","14","11","3","0",,,,
"2020-04-06","14","11","3","0",,,,
"2020-04-07","15","12","3","0",,,,
"2020-04-08","21","16","5","0",,,,
"2020-04-09","31","26","5","0",,,,
"2020-04-10","31","26","5","0",,,,
"2020-04-11","32","27","5","0",,,,
"2020-04-12","35","30","5","0",,,,
"2020-04-13","36","29","7","0",,,,
"2020-04-14","38","31","7","0",,,,
"2020-04-15","39","32","7","0",,,,
"2020-04-16","42","34","8","0",,,,
"2020-04-17","44","36","8","0",,,,
"2020-04-18","44","36","8","0",,,,
"2020-04-19","46","38","8","0",,,,
"2020-04-20","49","41","8","0",,,,
"2020-04-21","51","43","8","0",,,,
"2020-04-22","52","44","8","0",,,,
"2020-04-23","53","45","8","0",,,,
"2020-04-24","53","40","13","0",,,,
"2020-04-25","52","39","13","0",,,,
"2020-04-26","52","39","13","0",,,,
"2020-04-27","54","41","13","0",,,,
"2020-04-28","54","41","13","0",,,,
"2020-04-29","54","41","13","0",,,,
"2020-04-30","54","38","16","0",,,,
"2020-05-01","54","38","16","0",,,,
"2020-05-02","54","38","16","0",,,,
"2020-05-03","54","38","16","0",,,,
"2020-05-04","54","32","22","0",,,,
"2020-05-05","54","29","25","0",,,,
"2020-05-06","54","29","25","0",,,,
"2020-05-07","54","29","25","0",,,,
"2020-05-08","54","29","25","不明","不明","29","2287",
"2020-05-09","54","29","25","-","-","29","2287",
"2020-05-10","56","24","32","-","-","24","2497",
"2020-05-11","56","24","32","-","-","24","2535",
"2020-05-12","56","24","32","0","5","6","2535",
"2020-05-13","57","19","38","0","5","1","2642",
"2020-05-14","57","18","39","0","5","0","2642",
"2020-05-15","58","18","40","0","5","0","2795",
"2020-05-16","60","20","40","0","5","2","2844",
"2020-05-17","60","20","40","0","5","2","2888",
"2020-05-18","60","20","40","0","5","1","2915",
"2020-05-19","61","17","44","0","5","2","2952",
"2020-05-20","62","16","46","0","5","1","3024",
"2020-05-21","64","18","46","0","5","3","3087",
"2020-05-22","64","18","46","0","5","3","3336",
"2020-05-23","64","17","47","0","5","2","3414",
"2020-05-24","64","17","47","0","5","2","3433",
"2020-05-25","65","18","47","0","4","1","3465",
"2020-05-26","65","18","47","0","4","0","3549",
"2020-05-27","65","17","48","0","2","0","3617",
"2020-05-28","65","17","48","0","2","0","3674",
"2020-05-29","65","16","49","0","2","0","3784",
"2020-05-30","65","16","49","0","2","0","3843",
"2020-05-31","65","16","49","0","2","0","3871",
"2020-06-01","65","12","53","0","2","0","3909",
"2020-06-02","66","14","53","0","1","0","3973",
"2020-06-03","66","14","53","0","0","0","4105",
"2020-06-04","66","10","57","0","0","0","4438",
"2020-06-05","66","9","58","0","0","0","4567",
"2020-06-06","66","9","60","0","0","0","4700",
"2020-06-07","66","9","60","0","0","0","4840",
"2020-06-08","66","6","61","0","0","0","4886",
"2020-06-09","66","4","62","0","0","0","5034",
"2020-06-10","66","4","62","0","0","0","5141",
"2020-06-11","66","3","63","0","0","0","5264",
"2020-06-12","66","1","64","0","0","0","5375",
"2020-06-13","66","1","65","0","0","0","5463",
"2020-06-14","66","1","65","0","0","0","5501",
"2020-06-15","66","1","65","0","0","0","5520",
"2020-06-16","66","1","65","0","0","0","5523",
"2020-06-17","66","1","65","0","0","0","5832",
"2020-06-18","66","1","65","0","0","0","5889",
"2020-06-19","66","1","65","0","0","0","6007",
"2020-06-20","66","1","65","0","0","0","6095",
"2020-06-21","66","1","65","0","0","0","6231",
"2020-06-22","66","1","65","0","0","0","6241",
"2020-06-23","66","1","65","0","0","0","6255",
"2020-06-24","66","1","65","0","0","0","6407",
"2020-06-25","66","1","65","0","0","0","6574",
"2020-06-26","66","0","65","0","0","0","6699",
"2020-06-27","69","0","65","0","0","0","6699",
"2020-06-28","69","0","65","0","0","0","6954",
"2020-06-29","76","10","65","0","0","1","7018",
"2020-06-30","76","12","65","0","0","-1","7113",
"2020-07-01","79","14","66","0","0","1","7288",
"2020-07-02","82","16","66","0","0","0","7456",
"2020-07-03","84","18","66","0","0","0","7707",
"2020-07-04","86","18","86","0","0","18","7829",
"2020-07-05","87","18","86","0","0","17","7948",
"2020-07-06","87","21","67","0","0","1","8065",
"2020-07-07","87","19","67","0","0","1","8201",
"2020-07-08","88","14","72","0","0","2","8464",
"2020-07-09","90","11","74","0","0","5","8652",
"2020-07-10","90","11","82","0","0","3","8866",
"2020-07-11","93","11","82","0","0","0","9109",
"2020-07-12","93","11","82","0","0","0","9229",
"2020-07-13","95","19","82","0","0","6","9301",
"2020-07-14","98","19","83","0","0","4","9645",
"2020-07-15","103","19","86","0","0","2","9645",
"2020-07-16","107","27","87","0","0","7","10106",
"2020-07-17","112","30","87","0","0","5","10326",
"2020-07-18","118","30","90","0","0","2","10552",
"2020-07-19","124","30","90","0","0","4","10851",
"2020-07-20","133","46","90","0","0","3","10936",
"2020-07-21","136","47","91","0","0","2","11119",
"2020-07-22","139","46","95","0","0","2","11552",
"2020-07-23","147","46","97","0","0","4","11837",
"2020-07-24","147","46","97","0","0","4","11980",
"2020-07-25","151","46","97","0","0","8","12024",
"2020-07-26","159","46","99","0","0","14","12070",
"2020-07-27","163","53","100","0","0","10","12241",
"2020-07-28","167","47","112","0","0","8","12568",
"2020-07-29","169","47","119","0","0","3","12860",
"2020-07-30","185","50","127","0","0","8","13181",
"2020-07-31","195","47","139","0","0","9","13517",
"2020-08-01","195","47","142","0","0","6","13589",
"2020-08-02","195","47","142","0","0","6","13811",
"2020-08-03","202","50","146","0","0","6","14138",
"2020-08-04","202","51","147","0","0","4","14485",
"2020-08-05","207","43","148","0","0","16","14660",
"2020-08-06","224","50","161","0","0","13","15040",
"2020-08-07","230","49","168","0","2","13","15411",
"2020-08-08","243","49","177","0","2","17","15967",
"2020-08-09","246","49","178","0","2","19","16441",
"2020-08-10","249","49","179","0","2","21","16745",
"2020-08-11","249","45","180","0","3","24","16771",
"2020-08-12","261","45","187","0","3","29","16961",
"2020-08-13","265","47","203","1","3","14","17376",
"2020-08-14","269","42","210","1","4","16","17730",
"2020-08-15","269","42","213","1","4","13","18168",
"2020-08-16","276","42","214","1","4","19","18305",
"2020-08-17","277","43","221","1","2","12","18653",
"2020-08-18","282","39","230","1","2","12","18751",
"2020-08-19","284","39","242","1","2","2","18959",
"2020-08-20","284","32","251","1","2","0","19413",
"2020-08-21","286","32","252","1","2","1","19611",
"2020-08-22","288","32","255","1","2","0","19922",
"2020-08-23","289","32","255","1","2","1","20152",
"2020-08-24","289","32","259","1","2","3","20335",
"2020-08-25","289","25","264","1","4","1","20367",
"2020-08-26","294","20","270","1","4","3","20806",
"2020-08-27","295","21","273","1","4","0","21315",
"2020-08-28","302","24","273","1","3","4","21581",
"2020-08-29","303","24","276","1","3","2","21784",
"2020-08-30","303","24","277","1","3","1","22112",
"2020-08-31","303","29","277","1","3","4","22163",
"2020-09-01","306","23","284","1","3","2","22354",
"2020-09-02","307","25","287","1","3","6","22687",
"2020-09-03","307","22","288","1","3","4","23048",
"2020-09-04","309","20","290","1","3","2","23568",
"2020-09-05","309","20","292","1","3","4","23646",
"2020-09-06","310","20","292","1","3","3","23670",
"2020-09-07","314","18","296","1","3","1","24277",
"2020-09-08","316","18","299","1","1","2","24434",
"2020-09-09","319","19","299","1","1","0","24584",
"2020-09-10","323","21","300","1","1","1","25197",
"2020-09-11","328","19","302","1","2","6","25401",
"2020-09-12","338","19","302","1","2","16","25518",
"2020-09-13","338","19","302","1","2","16","25806",
"2020-09-14","359","36","304","1","2","18","25830",
"2020-09-15","368","47","304","1","2","16","25993",
"2020-09-16","369","63","304","1","2","1","26252",
"2020-09-17","375","59","311","1","1","4","26582",
"2020-09-18","376","61","313","1","1","1","27064",
"2020-09-19","385","61","314","1","1","9","27549",
"2020-09-20","387","61","314","1","1","11","27769",
"2020-09-21","400","61","315","1","1","23","27909",
"2020-09-22","402","61","316","1","1","24","27987",
"2020-09-23","408","80","326","1","1","1","28406",
"2020-09-24","411","66","333","1","1","11","28699",
"2020-09-25","426","68","346","1","1","11","29076",
"2020-09-26","427","68","355","1","1","3","29463",
"2020-09-27","427","68","359","1","1","1","29540",
"2020-09-28","427","57","370","1","1","1","29943",
"2020-09-29","428","48","379","1","1","0","30149",
"2020-09-30","431","47","382","1","1","1","30351",
"2020-10-01","432","47","383","1","0","1","30456",
"2020-10-02","433","38","394","1","0","0","30880",
"2020-10-03","435","38","396","1","0","0","31515",
"2020-10-04","437","38","396","1","0","2","31518",
"2020-10-05","438","33","406","1","0","2","32269",
"2020-10-06","442","29","409","1","0","3","32382",
"2020-10-07","443","25","418","1","0","1","32634",
"2020-10-08","443","24","419","1","0","1","32855",
"2020-10-09","443","23","421","1","0","2","33095",
"2020-10-10","445","23","422","1","0","1","33337",
"2020-10-11","445","23","424","1","0","3","33448",
"2020-10-12","444","18","428","1","0","3","33493",
"2020-10-13","444","15","430","1","0","2","33555",
"2020-10-14","452","15","431","1","0","5","33701",
"2020-10-15","453","17","435","1","0","0","34014",
"2020-10-16","458","19","437","1","0","1","34074",
"2020-10-17","463","19","439","1","0","4","34330",
"2020-10-18","465","19","439","1","0","6","34469",
"2020-10-19","466","25","440","1","0","0","34491",
"2020-10-20","471","29","442","1","0","1","34579",
"2020-10-21","473","31","442","1","0","1","34761",
"2020-10-22","473","31","442","1","0","1","34937",
"2020-10-23","476","32","444","1","0","1","35101",
"2020-10-24","476","30","446","1","0","1","35132",
"2020-10-25","477","27","450","1","0","1","35148",
"2020-10-26","477","24","453","1","0","1","35163",
"2020-10-27","480","26","454","1","0","1","41603",
"2020-10-28","482","21","461","1","0","1","41671",
"2020-10-29","484","23","461","1","0","1","41786",
"2020-10-30","487","23","464","1","0","1","41890",
"2020-10-31","489","25","464","1","0","1","42067",
"2020-11-01","489","25","464","1","0","1","42150",
"2020-11-02","490","24","466","1","0","1","42416",
"2020-11-03","492","26","466","1","0","1","43764",
"2020-11-04","493","24","469","1","1","1","44009",
"2020-11-05","494","24","470","1","1","1","44211",
"2020-11-06","496","25","471","1","1","1","45618",
"2020-11-07","498","25","473","1","3","1","45708",
"2020-11-08","498","24","474","1","3","1","45794",
"2020-11-09","499","18","481","1","3","1","45819",
"2020-11-10","503","19","484","1","4","1","46544",
"2020-11-11","505","21","484","1","4","1","47064",
"2020-11-12","507","20","487","1","4","1","47167",
"2020-11-13","509","19","490","1","4","1","47905",
"2020-11-14","513","23","490","1","4","1","47989",
"2020-11-15","516","26","490","1","4","1","48508",
"2020-11-16","517","26","491","2","4","2","48552",
"2020-11-17","523","30","493","2","4","2","48723",
"2020-11-18","527","34","493","2","4","2","48922",
"2020-11-19","542","46","496","2","4","2","49054",
"2020-11-20","550","52","498","2","4","2","49184",
"2020-11-21","558","59","499","2","5","2","51487",
"2020-11-22","572","72","500","2","5","2","51105",
"2020-11-23","573","73","500","2","6","2","51197",
"2020-11-24","584","80","504","2","6","2","51535",
