"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"2020-03-18","0","0","0","0",,,,
"2020-03-19","0","0","0","0",,,,
"2020-03-20","0","0","0","0",,,,
"2020-03-21","0","0","0","0",,,,
"2020-03-22","0","0","0","0",,,,
"2020-03-23","0","0","0","0",,,,
"2020-03-24","0","0","0","0",,,,
"2020-03-25","0","0","0","0",,,,
"2020-03-26","0","0","0","0",,,,
"2020-03-27","0","0","0","0",,,,
"2020-03-28","1","0","1","0",,,,
"2020-03-29","1","0","1","0",,,,
"2020-03-30","1","0","1","0",,,,
"2020-03-31","3","2","1","0",,,,
"2020-04-01","3","2","1","0",,,,
"2020-04-02","3","2","1","0",,,,
"2020-04-03","3","2","1","0",,,,
"2020-04-04","3","2","1","0",,,,
"2020-04-05","3","2","1","0",,,,
"2020-04-06","3","2","1","0",,,,
"2020-04-07","3","2","1","0",,,,
"2020-04-08","3","2","1","0",,,,
"2020-04-09","3","2","1","0",,,,
"2020-04-10","3","2","1","0",,,,
"2020-04-11","3","0","3","0",,,,
"2020-04-12","3","0","3","0",,,,
"2020-04-13","3","0","3","0",,,,
"2020-04-14","3","0","3","0",,,,
"2020-04-15","3","0","3","0",,,,
"2020-04-16","3","0","3","0",,,,
"2020-04-17","3","0","3","0",,,,
"2020-04-18","3","0","3","0",,,,
"2020-04-19","3","0","3","0",,,,
"2020-04-20","3","0","3","0",,,,
"2020-04-21","5","2","3","0",,,,
"2020-04-22","5","2","3","0",,,,
"2020-04-23","5","2","3","0",,,,
"2020-04-24","5","2","3","0",,,,
"2020-04-25","5","2","3","0",,,,
"2020-04-26","5","2","3","0",,,,
"2020-04-27","5","2","3","0",,,,
"2020-04-28","5","2","3","0",,,,
"2020-04-29","5","2","3","0",,,,
"2020-04-30","5","2","3","0",,,,
"2020-05-01","5","2","3","0",,,,
"2020-05-02","5","1","3","1",,,,
"2020-05-03","5","1","3","1",,,,
"2020-05-04","5","1","3","1",,,,
"2020-05-05","5","1","3","1",,,,
"2020-05-06","5","1","3","1",,,,
"2020-05-07","5","1","3","1",,,,
"2020-05-08","5","2","3","不明","不明","2","569",
"2020-05-09","5","2","3","-","-","2","582",
"2020-05-10","5","1","3","1","-","1","597",
"2020-05-11","5","1","3","1","-","1","611",
"2020-05-12","5","0","4","1","0","0","635",
"2020-05-13","5","0","4","1","0","0","635",
"2020-05-14","5","0","4","1","0","0","635",
"2020-05-15","5","0","4","1","0","0","663",
"2020-05-16","5","0","4","1","0","0","663",
"2020-05-17","5","0","4","1","0","0","669",
"2020-05-18","5","0","4","1","0","0","673",
"2020-05-19","5","0","4","1","0","0","675",
"2020-05-20","5","0","4","1","0","0","684",
"2020-05-21","5","0","4","1","0","0","692",
"2020-05-22","5","0","4","1","0","0","699",
"2020-05-23","5","0","4","1","0","0","703",
"2020-05-24","5","0","4","1","0","0","708",
"2020-05-25","5","0","4","1","0","0","708",
"2020-05-26","5","0","4","1","0","0","711",
"2020-05-27","5","0","4","1","0","0","719",
"2020-05-28","5","0","4","1","0","0","726",
"2020-05-29","5","0","4","1","0","0","734",
"2020-05-30","5","0","4","1","0","0","739",
"2020-05-31","5","0","4","1","0","0","741",
"2020-06-01","5","0","4","1","0","0","744",
"2020-06-02","5","0","4","1","0","0","745",
"2020-06-03","5","0","4","1","0","0","752",
"2020-06-04","5","0","4","1","0","0","761",
"2020-06-05","5","0","4","1","0","0","768",
"2020-06-06","5","0","4","1","0","0","773",
"2020-06-07","5","0","4","1","0","0","778",
"2020-06-08","5","0","4","1","0","0","782",
"2020-06-09","5","0","4","1","0","0","784",
"2020-06-10","5","0","4","1","0","0","789",
"2020-06-11","5","0","4","1","0","0","798",
"2020-06-12","5","0","4","1","0","0","806",
"2020-06-13","5","0","4","1","0","0","812",
"2020-06-14","5","0","4","1","0","0","819",
"2020-06-15","5","0","4","1","0","0","824",
"2020-06-16","5","0","4","1","0","0","827",
"2020-06-17","5","0","4","1","0","0","829",
"2020-06-18","5","0","4","1","0","0","834",
"2020-06-19","5","0","4","1","0","0","838",
"2020-06-20","5","0","4","1","0","0","844",
"2020-06-21","5","0","4","1","0","0","845",
"2020-06-22","5","0","4","1","0","0","845",
"2020-06-23","5","0","4","1","0","0","848",
"2020-06-24","5","0","4","1","0","0","851",
"2020-06-25","5","0","4","1","0","0","854",
"2020-06-26","6","0","4","1","0","1","858",
"2020-06-27","6","0","4","1","0","1","869",
"2020-06-28","6","0","4","1","0","1","890",
"2020-06-29","6","0","4","1","0","1","900",
"2020-06-30","6","1","4","1","0","0","908",
"2020-07-01","6","1","4","1","0","0","925",
"2020-07-02","6","1","4","1","0","0","935",
"2020-07-03","6","1","4","1","0","0","943",
"2020-07-04","6","1","4","1","0","0","953",
"2020-07-05","6","1","4","1","0","0","955",
"2020-07-06","6","1","4","1","0","0","960",
"2020-07-07","9","4","4","1","0","0","973",
"2020-07-08","9","4","4","1","0","0","1018",
"2020-07-09","9","4","4","1","0","0","1053",
"2020-07-10","10","4","4","1","0","1","1104",
"2020-07-11","10","4","4","1","0","1","1144",
"2020-07-12","10","4","4","1","0","1","1183",
"2020-07-13","10","5","4","1","0","0","1200",
"2020-07-14","10","5","4","1","0","0","1227",
"2020-07-15","10","5","4","1","0","0","1268",
"2020-07-16","10","5","4","1","0","0","1293",
"2020-07-17","10","5","4","1","0","0","1314",
"2020-07-18","10","5","4","1","0","0","1347",
"2020-07-19","10","5","4","1","0","0","1415",
"2020-07-20","10","5","4","1","0","0","1430",
"2020-07-21","10","5","4","1","0","0","1440",
"2020-07-22","10","5","4","1","0","0","1470",
"2020-07-23","10","5","4","1","0","0","1487",
"2020-07-24","10","5","6","1","0","2","1510",
"2020-07-25","12","5","6","1","0","0","1518",
"2020-07-26","12","5","6","1","0","0","1524",
"2020-07-27","16","6","6","1","0","3","1557",
"2020-07-28","16","6","8","1","0","1","1579",
"2020-07-29","18","6","8","1","0","3","1621",
"2020-07-30","23","6","8","1","0","8","1663",
"2020-07-31","25","13","8","1","0","3","1788",
"2020-08-01","26","13","8","1","0","4","1882",
"2020-08-02","28","13","8","1","0","6","1968",
"2020-08-03","28","16","8","1","0","3","2056",
"2020-08-04","30","16","9","1","0","4","2116",
"2020-08-05","43","17","10","1","0","15","2300",
"2020-08-06","53","29","10","1","0","13","2364",
"2020-08-07","55","40","10","1","0","4","2584",
"2020-08-08","57","40","10","1","0","6","2770",
"2020-08-09","58","40","10","1","0","7","2848",
"2020-08-10","60","40","12","1","0","7","2919",
"2020-08-11","61","38","13","1","0","9","3201",
"2020-08-12","62","38","17","1","0","6","3053",
"2020-08-13","70","40","17","1","0","12","3218",
"2020-08-14","81","43","17","1","0","20","3419",
"2020-08-15","86","43","27","1","0","15","3554",
"2020-08-16","90","43","31","1","0","15","3755",
"2020-08-17","91","48","38","1","0","4","3936",
"2020-08-18","95","47","40","1","0","7","4049",
"2020-08-19","96","51","41","1","1","3","4262",
"2020-08-20","97","49","42","1","1","5","4506",
"2020-08-21","104","57","42","1","1","4","4644",
"2020-08-22","104","57","42","1","1","4","4796",
"2020-08-23","106","57","43","1","1","5","4857",
"2020-08-24","109","57","43","1","1","8","4923",
"2020-08-25","111","60","43","1","1","7","4993",
"2020-08-26","119","61","44","2","0","12","5107",
"2020-08-27","124","66","46","4","0","8","5214",
"2020-08-28","127","70","47","4","2","6","5426",
"2020-08-29","128","70","47","4","2","7","5644",
"2020-08-30","128","70","51","4","2","3","5778",
"2020-08-31","130","61","61","4","2","4","5898",
"2020-09-01","133","62","62","4","3","5","5935",
"2020-09-02","137","61","67","4","2","5","6023",
"2020-09-03","141","63","70","4","2","4","6107",
"2020-09-04","145","63","73","4","2","5","6190",
"2020-09-05","145","63","77","4","2","1","6291",
"2020-09-06","145","63","78","4","2","0","6367",
"2020-09-07","145","58","80","5","3","2","6371",
"2020-09-08","146","57","81","6","3","2","6389",
"2020-09-09","146","52","83","6","3","5","6460",
"2020-09-10","146","47","88","6","3","5","6513",
"2020-09-11","146","46","89","8","3","3","6549",
"2020-09-12","147","46","91","8","3","2","6595",
"2020-09-13","147","46","91","8","3","2","6619",
"2020-09-14","147","40","96","8","1","3","6636",
"2020-09-15","147","39","97","8","1","3","6662",
"2020-09-16","147","33","102","9","1","3","6690",
"2020-09-17","147","30","105","9","1","3","6707",
"2020-09-18","147","28","107","9","0","3","6723",
"2020-09-19","147","28","107","9","0","3","6744",
"2020-09-20","147","28","107","9","0","3","6765",
"2020-09-21","147","28","112","9","0","2","6778",
"2020-09-22","147","28","112","9","0","2","6786",
"2020-09-23","147","22","113","9","0","3","6794",
"2020-09-24","147","21","114","9","0","3","6806",
"2020-09-25","147","17","118","9","0","3","6835",
"2020-09-26","147","17","118","9","0","3","6849",
"2020-09-27","147","17","118","9","0","3","6862",
"2020-09-28","147","12","123","9","0","3","6875",
"2020-09-29","147","9","126","9","0","3","6884",
"2020-09-30","148","9","126","9","0","4","6908",
"2020-10-01","148","8","128","9","0","3","6921",
"2020-10-02","148","7","129","9","0","3","6944",
"2020-10-03","148","7","129","9","0","3","6961",
"2020-10-04","149","7","131","9","0","2","6980",
"2020-10-05","149","6","131","9","0","3","7008",
"2020-10-06","149","6","131","9","0","3","7018",
"2020-10-07","149","5","131","9","0","4","7041",
"2020-10-08","149","3","131","9","0","6","7054",
"2020-10-09","149","0","131","9","0","9","7069",
"2020-10-10","149","0","131","9","0","9","7085",
"2020-10-11","149","0","131","9","0","9","7085",
"2020-10-12","149","0","131","9","0","9","7096",
"2020-10-13","149","0","131","9","0","9","7104",
"2020-10-14","149","0","140","9","0","0","7122",
"2020-10-15","149","0","140","9","0","0","7130",
"2020-10-16","149","0","140","9","0","0","7143",
"2020-10-17","158","0","140","9","0","9","7162",
"2020-10-18","158","0","140","9","0","9","7188",
"2020-10-19","159","9","140","9","0","1","7230",
"2020-10-20","162","10","140","9","0","3","7267",
"2020-10-21","163","14","140","9","0","0","7304",
"2020-10-22","164","14","140","9","0","1","7324",
"2020-10-23","164","15","140","9","0","0","7364",
"2020-10-24","164","15","141","9","0","1","7390",
"2020-10-25","164","15","144","9","0","4","7410",
"2020-10-26","164","7","148","9","0","0","7416",
"2020-10-27","164","5","150","9","0","0","7421",
"2020-10-28","164","5","150","9","0","0","7432",
"2020-10-29","164","4","151","9","0","0","7448",
"2020-10-30","164","0","155","9","0","0","7462",
"2020-10-31","164","0","155","9","0","0","7477",
"2020-11-01","164","0","155","9","0","0","7485",
"2020-11-02","164","0","155","9","0","0","7495",
"2020-11-03","164","0","155","9","0","0","7500",
"2020-11-04","164","0","155","9","0","0","7520",
"2020-11-05","164","0","155","9","0","0","7525",
"2020-11-06","167","0","155","9","0","3","7536",
"2020-11-07","167","0","155","9","0","3","7566",
"2020-11-08","167","0","155","9","0","3","7583",
"2020-11-09","168","4","155","9","0","0","7592",
"2020-11-10","170","6","155","9","0","0","7603",
"2020-11-11","170","7","155","9","0","1","7618",
"2020-11-12","170","6","156","9","0","1","7635",
"2020-11-13","170","7","156","9","0","2","7642",
"2020-11-14","171","7","156","9","0","1","7654",
"2020-11-15","171","7","158","9","0","3","7659",
"2020-11-16","171","5","158","9","1","1","7665",
"2020-11-17","173","8","158","9","2","2","7669",
"2020-11-18","174","7","159","9","2","1","7682",
"2020-11-19","175","8","160","9","2","2","7697",
"2020-11-20","176","8","161","9","2","2","7712",
"2020-11-21","178","8","161","9","2","0","7724",
"2020-11-22","179","8","161","9","2","1","7742",
"2020-11-23","179","8","161","9","2","1","7750",
"2020-11-24","179","11","161","9","2","2","7753",
"2020-11-25","179","11","161","9","2","2","7755",
"2020-11-26","180","10","162","9","2","1","7770",
"2020-11-27","181","11","162","9","1","1","7779",
"2020-11-28","181","11","163","9","1","2","7809",
"2020-11-29","181","11","164","9","1","3","7822",
"2020-11-30","181","9","164","9","1","1","7826",
"2020-12-01","181","7","165","9","1","0","7830",
"2020-12-02","181","6","166","9","1","0","7839",
"2020-12-03","182","6","167","9","1","0","7848",
"2020-12-04","184","6","168","9","1","1","7871",
"2020-12-05","185","6","170","9","1","0","7906",
"2020-12-06","185","6","170","9","1","0","7925",
"2020-12-07","185","6","170","9","1","0","7934",
"2020-12-08","186","6","170","9","1","1","13518",
"2020-12-09","187","6","172","9","1","0","13592",
"2020-12-10","187","5","173","9","0","0","13733",
"2020-12-11","187","6","173","9","0","1","13790",
"2020-12-12","187","6","173","9","0","1","13839",
"2020-12-13","187","6","174","9","0","2","13844",
"2020-12-14","187","4","174","9","0","0","13881",
"2020-12-15","187","3","175","9","0","0","13978",
"2020-12-16","188","3","176","9","0","0","14029",
"2020-12-17","188","3","176","9","0","0","14101",
"2020-12-18","188","3","176","9","0","0","14157",
"2020-12-19","189","3","178","9","0","1","14249",
"2020-12-20","191","3","178","9","0","1","14274",
"2020-12-21","192","4","178","9","0","1","14337",
"2020-12-22","192","5","178","9","0","0","14398",
"2020-12-23","194","5","179","9","0","1","14474",
"2020-12-24","194","6","179","9","0","0","14581",
"2020-12-25","195","7","179","9","0","0","14665",
"2020-12-26","195","7","179","9","0","0","14889",
"2020-12-27","195","7","179","9","0","0","14949",
"2020-12-28","195","7","179","9","0","0","15074",
"2020-12-29","195","7","179","9","0","0","15180",
"2020-12-30","196","5","182","9","0","0","15283",
"2020-12-31","198","6","183","9","0","0","15335",
"2021-01-01","199","7","183","9","0","0","15356",
"2021-01-02","199","7","183","9","0","0","15372",
"2021-01-03","199","6","184","9","0","0","15373",
"2021-01-04","201","8","184","9","0","0","15440",
"2021-01-05","206","12","185","9","0","0","15659","JP-36"
"2021-01-06","216","22","185","9","0","0","15862","JP-36"
"2021-01-07","216","20","187","9","0","0","16022","JP-36"
"2021-01-08","221","24","188","9","0","0","16230","JP-36"
"2021-01-09","226","29","188","9","0","0","16387","JP-36"
"2021-01-10","229","32","188","9","0","0","16533","JP-36"
"2021-01-11","230","33","188","9","0","0","16599","JP-36"
"2021-01-12","265","67","189","9","0","0","16695","JP-36"
"2021-01-13","268","69","190","9","0","0","16967","JP-36"
"2021-01-14","272","71","192","9","0","0","17284","JP-36"
"2021-01-15","284","78","197","9","0","0","17481","JP-36"
"2021-01-16","287","71","207","9","0","0","17793","JP-36"
"2021-01-17","291","73","209","9","0","0","17876","JP-36"
"2021-01-18","297","76","211","10","0","0","17920","JP-36"
"2021-01-19","304","80","214","10","0","0","18100","JP-36"
"2021-01-20","311","81","220","10","0","0","18561","JP-36"
"2021-01-21","337","103","223","11","0","0","18851","JP-36"
"2021-01-22","350","108","231","11","0","0","19453","JP-36"
"2021-01-23","359","114","233","12","0","0","19831","JP-36"
"2021-01-26","371","106","252","13","1","0","20493","JP-36"
"2021-01-27","375","99","263","13","1","0","20824","JP-36"
"2021-01-28","381","89","279","13","3","0","21093","JP-36"
"2021-01-29","383","78","291","14","2","0","21315","JP-36"
"2021-01-30","384","68","302","14","2","0","21315","JP-36"
"2021-01-31","385","61","310","14","2","0","21821","JP-36"
"2021-02-01","386","53","319","14","2","0","21920","JP-36"
"2021-02-02","389","50","325","14","2","0","22129","JP-36"
"2021-02-03","389","43","331","15","3","0","22374","JP-36"
"2021-02-04","392","40","337","15","3","0","22592","JP-36"
"2021-02-05","392","35","342","15","3","0","22726","JP-36"
"2021-02-06","394","32","347","15","3","0","22854","JP-36"
"2021-02-07","395","31","349","15","3","0","22854","JP-36"
"2021-02-08","395","30","350","15","2","0","22979","JP-36"
"2021-02-09","397","28","354","15","3","0","23174","JP-36"
"2021-02-10","402","30","357","15","3","0","23298","JP-36"
"2021-02-11","419","30","362","15","3","12","23562","JP-36"
"2021-02-12","423","45","363","15","3","0","23570","JP-36"
"2021-02-13","424","45","364","15","3","0","23878","JP-36"
"2021-02-14","426","44","367","15","3","0","23983","JP-36"
"2021-02-15","430","47","368","15","2","0","24165","JP-36"
"2021-02-16","434","48","371","15","1","0","24327","JP-36"
"2021-02-17","439","50","373","16","1","0","24491","JP-36"
"2021-02-18","444","54","374","16","1","0","24873","JP-36"
"2021-02-19","446","53","377","16","1","0","25280","JP-36"
"2021-02-20","447","44","387","16","1","0","25402","JP-36"
"2021-02-21","447","40","391","16","1","0","25402","JP-36"
"2021-02-22","447","40","391","16","1","0","25617","JP-36"
"2021-02-23","447","40","395","16","1","4","25617","JP-36"
"2021-02-24","448","35","397","16","1","0","25819","JP-36"
"2021-02-25","449","33","400","16","2","0","25972","JP-36"
"2021-02-26","450","32","402","16","2","0","26160","JP-36"
"2021-02-27","450","27","407","16","2","0","26373","JP-36"
"2021-02-28","452","28","408","16","2","0","26408","JP-36"
"2021-03-01","452","25","411","16","2","0","26509","JP-36"
"2021-03-02","452","23","413","16","2","0","26727","JP-36"
"2021-03-03","453","23","414","16","2","0","26945","JP-36"
"2021-03-04","457","26","415","16","2","0","27063","JP-36"
"2021-03-05","460","29","415","16","2","0","27351","JP-36"
"2021-03-06","461","26","419","16","2","0","27444","JP-36"
"2021-03-07","461","26","420","16","2","1","27513","JP-36"
"2021-03-08","461","25","420","16","2","0","27582","JP-36"
"2021-03-09","461","21","423","17","2","0","27790","JP-36"
"2021-03-10","461","20","424","17","2","0","27954","JP-36"
"2021-03-11","462","20","425","17","2","0","28102","JP-36"
"2021-03-12","464","20","426","18","1","0","28233","JP-36"
"2021-03-13","464","18","428","18","1","0","28299","JP-36"
"2021-03-14","464","16","430","18","1","0","28360","JP-36"
"2021-03-15","464","16","430","18","1","0","28417","JP-36"
"2021-03-16","464","15","431","18","1","0","28549","JP-36"
"2021-03-17","464","15","431","18","1","0","28768","JP-36"
"2021-03-18","466","16","432","18","1","0","29052","JP-36"
"2021-03-19","466","14","434","18","2","0","29151","JP-36"
"2021-03-20","466","13","435","18","2","0","29225","JP-36"
"2021-03-21","468","14","436","18","2","0","29265","JP-36"
"2021-03-22","471","14","436","18","2","3","29325","JP-36"
"2021-03-23","473","18","437","18","2","0","29529","JP-36"
"2021-03-24","479","23","438","18","1","0","29763","JP-36"
"2021-03-25","498","40","440","18","1","0","30114","JP-36"
"2021-03-26","504","40","442","18","2","4","30814","JP-36"
"2021-03-27","514","54","442","18","2","0","31287","JP-36"
"2021-03-28","517","56","443","18","2","0","31485","JP-36"
"2021-03-29","526","65","443","18","2","0","31645","JP-36"
"2021-03-30","527","64","445","18","2","0","31763","JP-36"
"2021-03-31","535","71","446","18","2","0","32160","JP-36"
"2021-04-01","546","80","448","18","2","0","32428","JP-36"
"2021-04-02","562","96","448","18","2","0","32640","JP-36"
"2021-04-03","572","105","449","18","2","0","33175","JP-36"
"2021-04-04","586","114","453","19","2","0","33268","JP-36"
"2021-04-05","593","123","451","19","2","0","33508","JP-36"
"2021-04-06","605","129","457","19","3","0","33567","JP-36"
"2021-04-07","624","140","464","20","4","0","33830","JP-36"
"2021-04-08","639","144","474","21","3","0","33954","JP-36"
"2021-04-09","656","152","482","22","3","0","34075","JP-36"
"2021-04-10","677","166","489","22","3","0","34297","JP-36"
"2021-04-11","693","164","507","22","3","0","34409","JP-36"
"2021-04-12","713","169","522","22","3","0","34498","JP-36"
"2021-04-13","736","183","529","24","3","0","34611","JP-36"
"2021-04-14","761","193","544","24","3","0","36076","JP-36"
"2021-04-15","791","211","555","25","4","0","36251","JP-36"
"2021-04-16","821","211","568","25","6","17","36414","JP-36"
"2021-04-17","865","257","583","25","6","0","36645","JP-36"
"2021-04-18","903","281","596","26","6","0","37102","JP-36"
"2021-04-19","939","305","607","27","6","0","37102","JP-36"
"2021-04-20","964","315","621","28","7","0","38873","JP-36"
"2021-04-21","1000","334","638","28","7","0","39353","JP-36"
"2021-04-22","1034","346","659","29","7","0","39798","JP-36"
"2021-04-23","1068","352","685","31","7","0","40362","JP-36"
"2021-04-24","1115","371","712","32","7","0","40789","JP-36"
"2021-04-25","1159","378","746","35","7","0","41222","JP-36"
"2021-04-26","1188","386","765","37","6","0","41480","JP-36"
"2021-04-27","1203","361","804","38","7","0","42106","JP-36"
"2021-04-28","1224","344","841","39","7","0","42608","JP-36"
"2021-04-29","1270","346","882","42","7","0","43108","JP-36"
"2021-04-30","1295","344","908","43","6","0","43401","JP-36"
"2021-05-01","1319","334","942","43","6","0","43883","JP-36"
"2021-05-02","1339","330","965","44","6","0","44163","JP-36"
"2021-05-03","1399","355","997","47","6","0","44562","JP-36"
"2021-05-04","1410","325","1038","47","6","0","44788","JP-36"
"2021-05-05","1421","304","1070","47","6","0","45131","JP-36"
"2021-05-06","1430","278","1105","47","11","0","45522","JP-36"
"2021-05-07","1442","269","1125","48","11","0","45717","JP-36"
"2021-05-08","1463","253","1160","50","11","0","47009","JP-36"
"2021-05-09","1479","236","1192","51","11","0","47260","JP-36"
"2021-05-10","1493","237","1205","51","11","0","47560","JP-36"
"2021-05-11","1506","227","1227","52","8","0","48215","JP-36"
"2021-05-12","1526","210","1264","52","7","0","48606","JP-36"
"2021-05-13","1542","199","1289","54","7","0","49340","JP-36"
"2021-05-14","1549","187","1308","54","6","0","49860","JP-36"
"2021-05-15","1558","180","1323","55","6","0","50212","JP-36"
"2021-05-16","1571","179","1336","56","6","0","50344","JP-36"
"2021-05-17","1585","181","1348","56","5","0","50608","JP-36"
"2021-05-18","1590","170","1362","58","3","0","51158","JP-36"
"2021-05-19","1595","142","1395","58","3","0","51730","JP-36"
"2021-05-20","1599","130","1411","58","3","0","52098","JP-36"
"2021-05-21","1606","129","1418","59","3","0","55352","JP-36"
"2021-05-22","1613","129","1424","60","3","0","55790","JP-36"
"2021-05-23","1618","115","1442","61","3","0","56063","JP-36"
"2021-05-24","1623","115","1447","61","1","0","56399","JP-36"
"2021-05-25","1624","102","1461","61","2","0","56924","JP-36"
"2021-05-26","1625","78","1486","61","2","0","57201","JP-36"
"2021-05-27","1627","72","1494","61","3","0","57573","JP-36"
"2021-05-28","1628","65","1502","61","3","0","57978","JP-36"
"2021-05-29","1630","59","1510","61","3","0","58191","JP-36"
"2021-05-30","1631","59","1511","61","3","0","58231","JP-36"
"2021-05-31","1631","52","1518","61","3","0","58313","JP-36"
"2021-06-01","1631","48","1522","61","2","0","58691","JP-36"
"2021-06-02","1632","37","1534","61","2","0","59068","JP-36"
"2021-06-03","1632","31","1539","62","1","0","59289","JP-36"
"2021-06-04","1633","28","1543","62","1","0","59551","JP-36"
"2021-06-05","1636","22","1551","63","1","0","59762","JP-36"
"2021-06-06","1636","21","1552","63","1","0","59919","JP-36"
"2021-06-07","1636","21","1552","63","0","0","59985","JP-36"
"2021-06-08","1636","20","1553","63","0","0","60389","JP-36"
"2021-06-09","1636","19","1554","63","0","0","60637","JP-36"
"2021-06-10","1636","15","1558","63","0","0","60870","JP-36"
"2021-06-11","1639","18","1558","63","0","0","61078","JP-36"
"2021-06-12","1641","17","1561","63","0","0","61260","JP-36"
"2021-06-13","1646","22","1561","63","0","0","61381","JP-36"
"2021-06-15","1647","20","1564","63","0","0","61986","JP-36"
"2021-06-16","1650","20","1567","63","0","0","62307","JP-36"
"2021-06-17","1650","20","1567","63","0","0","62522","JP-36"
"2021-06-18","1650","19","1568","63","0","0","62712","JP-36"
"2021-06-19","1650","18","1569","63","0","0","62949","JP-36"
"2021-06-20","1650","17","1570","63","0","0","63004","JP-36"
"2021-06-21","1652","18","1571","63","0","0","63111","JP-36"
"2021-06-22","1653","19","1571","63","0","0","63404","JP-36"
"2021-06-23","1653","12","1578","63","0","0","63662","JP-36"
"2021-06-24","1654","13","1578","63","0","0","63852","JP-36"
"2021-06-25","1654","11","1580","63","0","0","64046","JP-36"
"2021-06-26","1655","12","1580","63","0","0","64277","JP-36"
"2021-06-27","1655","10","1582","63","0","0","64295","JP-36"
