"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"2020-03-18","13","4","8","1",,,,
"2020-03-19","14","5","8","1",,,,
"2020-03-20","15","6","8","1",,,,
"2020-03-21","15","5","9","1",,,,
"2020-03-22","15","5","9","1",,,,
"2020-03-23","15","5","9","1",,,,
"2020-03-24","15","5","9","1",,,,
"2020-03-25","15","5","9","1",,,,
"2020-03-26","15","4","10","1",,,,
"2020-03-27","15","4","10","1",,,,
"2020-03-28","17","3","13","1",,,,
"2020-03-29","17","3","13","1",,,,
"2020-03-30","17","3","13","1",,,,
"2020-03-31","17","3","13","1",,,,
"2020-04-01","18","4","13","1",,,,
"2020-04-02","20","5","14","1",,,,
"2020-04-03","21","5","15","1",,,,
"2020-04-04","21","5","15","1",,,,
"2020-04-05","25","9","15","1",,,,
"2020-04-06","27","11","15","1",,,,
"2020-04-07","28","12","15","1",,,,
"2020-04-08","29","13","15","1",,,,
"2020-04-09","32","16","15","1",,,,
"2020-04-10","33","17","15","1",,,,
"2020-04-11","33","15","17","1",,,,
"2020-04-12","34","16","17","1",,,,
"2020-04-13","34","16","17","1",,,,
"2020-04-14","35","17","17","1",,,,
"2020-04-15","37","17","19","1",,,,
"2020-04-16","38","18","19","1",,,,
"2020-04-17","39","19","19","1",,,,
"2020-04-18","40","20","19","1",,,,
"2020-04-19","46","25","20","1",,,,
"2020-04-20","46","25","20","1",,,,
"2020-04-21","47","24","22","1",,,,
"2020-04-22","49","26","22","1",,,,
"2020-04-23","50","26","23","1",,,,
"2020-04-24","52","28","23","1",,,,
"2020-04-25","57","32","24","1",,,,
"2020-04-26","58","30","27","1",,,,
"2020-04-27","59","31","27","1",,,,
"2020-04-28","60","31","27","2",,,,
"2020-04-29","60","30","28","2",,,,
"2020-04-30","62","32","28","2",,,,
"2020-05-01","62","32","28","2",,,,
"2020-05-02","62","29","31","2",,,,
"2020-05-03","62","25","35","2",,,,
"2020-05-04","62","25","35","2",,,,
"2020-05-05","62","22","38","2",,,,
"2020-05-06","62","17","43","2",,,,
"2020-05-07","62","16","44","2",,,,
"2020-05-08","62","14","46","2","不明","0","3310",
"2020-05-09","62","12","48","2","-","0","3339",
"2020-05-10","62","12","48","2","-","0","3364",
"2020-05-11","62","9","50","3","-","0","3369",
