"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"2020-03-18","1","1","0","0",,,,
"2020-03-19","1","1","0","0",,,,
"2020-03-20","1","1","0","0",,,,
"2020-03-21","1","1","0","0",,,,
"2020-03-22","2","2","0","0",,,,
"2020-03-23","2","2","0","0",,,,
"2020-03-24","2","2","0","0",,,,
"2020-03-25","3","3","0","0",,,,
"2020-03-26","4","4","0","0",,,,
"2020-03-27","4","4","0","0",,,,
"2020-03-28","6","4","2","0",,,,
"2020-03-29","6","4","2","0",,,,
"2020-03-30","6","4","2","0",,,,
"2020-03-31","6","3","3","0",,,,
"2020-04-01","6","3","3","0",,,,
"2020-04-02","6","3","3","0",,,,
"2020-04-03","7","4","3","0",,,,
"2020-04-04","7","4","3","0",,,,
"2020-04-05","8","5","3","0",,,,
"2020-04-06","12","9","3","0",,,,
"2020-04-07","13","10","3","0",,,,
"2020-04-08","17","14","3","0",,,,
"2020-04-09","17","14","3","0",,,,
"2020-04-10","17","14","3","0",,,,
"2020-04-11","19","16","3","0",,,,
"2020-04-12","23","20","3","0",,,,
"2020-04-13","24","19","5","0",,,,
"2020-04-14","25","20","5","0",,,,
"2020-04-15","28","23","5","0",,,,
"2020-04-16","29","24","5","0",,,,
"2020-04-17","30","25","5","0",,,,
"2020-04-18","30","25","5","0",,,,
"2020-04-19","30","19","11","0",,,,
"2020-04-20","30","15","15","0",,,,
"2020-04-21","31","16","15","0",,,,
"2020-04-22","31","16","15","0",,,,
"2020-04-23","31","16","15","0",,,,
"2020-04-24","31","15","16","0",,,,
"2020-04-25","31","13","18","0",,,,
"2020-04-26","31","13","18","0",,,,
"2020-04-27","32","14","18","0",,,,
"2020-04-28","32","9","23","0",,,,
"2020-04-29","32","8","24","0",,,,
"2020-04-30","32","8","24","0",,,,
"2020-05-01","34","10","24","0",,,,
"2020-05-02","34","10","24","0",,,,
"2020-05-03","35","11","24","0",,,,
"2020-05-04","36","12","24","0",,,,
"2020-05-05","37","13","24","0",,,,
"2020-05-06","37","13","24","0",,,,
"2020-05-07","37","13","24","0",,,,
"2020-05-08","37","4","33","不明","不明","0","1498",
"2020-05-09","37","4","33","-","-","0","1521",
"2020-05-10","37","4","33","-","-","0","1528",
"2020-05-11","37","4","33","-","-","0","1528",
"2020-05-12","37","4","33","-","-","0","1557",
"2020-05-13","37","4","33","0","1","0","1557",
"2020-05-14","37","4","33","0","1","0","1585",
"2020-05-15","37","4","33","0","1","0","1598",
"2020-05-16","37","4","33","0","1","0","1598",
"2020-05-17","37","4","33","0","1","0","1598",
"2020-05-18","37","3","34","0","1","0","1621",
"2020-05-19","37","3","34","0","1","0","1628",
"2020-05-20","37","3","34","0","1","0","1640",
"2020-05-21","37","3","34","0","1","0","1647",
"2020-05-22","37","3","34","0","1","0","1653",
"2020-05-23","37","3","34","0","1","0","1656",
"2020-05-24","37","3","34","0","1","0","1656",
"2020-05-25","37","2","35","0","1","0","1657",
"2020-05-26","37","2","35","0","1","0","1667",
"2020-05-27","37","2","35","0","1","0","1669",
"2020-05-28","37","2","35","0","1","0","1674",
"2020-05-29","37","2","35","0","1","0","1679",
"2020-05-30","37","2","35","0","1","0","1696",
"2020-05-31","37","2","35","0","1","0","1701",
"2020-06-01","37","2","35","0","1","0","1758",
"2020-06-02","37","1","36","0","1","0","1771",
"2020-06-03","37","1","36","0","1","0","1782",
"2020-06-04","37","1","36","0","1","0","1794",
"2020-06-05","37","1","36","0","1","0","1818",
"2020-06-06","37","1","36","0","1","0","1837",
"2020-06-07","37","1","36","0","1","0","1845",
"2020-06-08","37","1","36","0","1","0","1858",
"2020-06-09","37","1","36","0","1","0","1873",
"2020-06-10","37","1","36","0","1","0","1886",
"2020-06-11","37","1","36","0","1","0","1898",
"2020-06-12","37","1","36","0","1","0","1914",
"2020-06-13","37","1","36","0","1","0","1921",
"2020-06-14","37","1","36","0","1","0","1929",
"2020-06-15","37","1","36","0","1","0","1938",
"2020-06-16","37","1","36","0","1","0","1965",
"2020-06-17","37","1","36","0","1","0","1992",
"2020-06-18","37","1","36","0","1","0","2021",
"2020-06-19","37","1","36","0","1","0","2045",
"2020-06-20","37","1","36","0","1","0","2051",
"2020-06-21","37","1","36","0","1","0","2055",
"2020-06-22","37","0","37","0","1","0","2088",
"2020-06-23","37","0","37","0","0","0","2129",
"2020-06-24","37","0","37","0","0","0","2160",
"2020-06-25","37","0","37","0","0","0","2187",
"2020-06-26","37","0","37","0","0","0","2202",
"2020-06-27","37","0","37","0","0","0","2240",
"2020-06-28","37","0","37","0","0","0","2243",
"2020-06-29","37","0","37","0","0","0","2267",
"2020-06-30","37","0","37","0","0","0","2306",
"2020-07-01","37","0","37","0","0","0","2342",
"2020-07-02","37","0","37","0","0","0","2372",
"2020-07-03","37","0","37","0","0","0","2425",
"2020-07-04","37","0","37","0","0","0","2435",
"2020-07-05","37","0","37","0","0","0","2450",
"2020-07-06","37","0","37","0","0","0","2485",
"2020-07-07","37","0","37","0","0","0","2533",
"2020-07-08","37","0","37","0","0","0","2542",
"2020-07-09","37","0","37","0","0","0","2592",
"2020-07-10","37","0","37","0","0","0","2616",
"2020-07-11","37","0","37","0","0","0","2659",
"2020-07-12","37","0","37","0","0","0","2662",
"2020-07-13","37","0","37","0","0","0","2675",
"2020-07-14","37","0","37","0","0","0","2739",
"2020-07-15","37","0","37","0","0","0","2788",
"2020-07-16","38","1","37","0","0","0","2828",
"2020-07-17","41","4","37","0","0","0","2913",
"2020-07-18","42","5","37","0","0","0","3133",
"2020-07-19","42","5","37","0","0","0","3230",
"2020-07-20","42","5","37","0","0","0","3260",
"2020-07-21","42","5","37","0","0","0","3319",
"2020-07-22","43","5","37","0","0","1","3375",
"2020-07-23","47","10","37","0","0","0","3440",
"2020-07-24","47","10","37","0","0","0","3511",
"2020-07-25","47","10","37","0","0","0","3552",
"2020-07-26","49","10","39","0","0","0","3563",
"2020-07-27","50","11","39","0","0","0","3588",
"2020-07-28","51","12","39","0","0","0","3736",
