"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者受入確保病床","入院患者受入確保想定病床数","うち重症者数","重症患者受入確保病床数","重症患者受入確保想定病床数","宿泊療養者数","宿泊施設受入可能室数","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","153","97","700","1767","3","100","182","50","810","6","0","0","2020-08-12T00:00","https://www.mhlw.go.jp/content/10900000/000659470.pdf"
"02","青森県","2","2","158","225","0","29","30","0","30","0","0","0","2020-08-12T00:00","https://www.mhlw.go.jp/content/10900000/000659470.pdf"
"03","岩手県","6","6","205","350","0","25","45","0","225","0","0","0","2020-08-12T00:00","https://www.mhlw.go.jp/content/10900000/000659470.pdf"
"04","宮城県","19","14","388","450","1","57","65","5","100","0","0","0","2020-08-12T00:00","https://www.mhlw.go.jp/content/10900000/000659470.pdf"
"05","秋田県","19","15","231","235","0","25","27","4","16","0","0","0","2020-08-12T00:00","https://www.mhlw.go.jp/content/10900000/000659470.pdf"
"06","山形県","1","1","215","215","0","25","26","0","188","0","0","0","2020-08-12T00:00","https://www.mhlw.go.jp/content/10900000/000659470.pdf"
"07","福島県","11","11","229","350","0","15","50","0","100","0","0","0","2020-08-12T00:00","https://www.mhlw.go.jp/content/10900000/000659470.pdf"
"08","茨城県","94","59","171","500","1","33","70","7","34","28","0","0","2020-08-12T00:00","https://www.mhlw.go.jp/content/10900000/000659470.pdf"
"09","栃木県","59","57","311","311","3","41","41","0","111","2","0","0","2020-08-12T00:00","https://www.mhlw.go.jp/content/10900000/000659470.pdf"
"10","群馬県","55","53","302","330","0","23","50","2","150","0","0","0","2020-08-12T00:00","https://www.mhlw.go.jp/content/10900000/000659470.pdf"
"11","埼玉県","575","357","683","1400","7","96","200","56","1225","126","0","36","2020-08-12T00:00","https://www.mhlw.go.jp/content/10900000/000659470.pdf"
"12","千葉県","614","325","1147","1200","5","101","180","103","710","158","0","28","2020-08-12T00:00","https://www.mhlw.go.jp/content/10900000/000659470.pdf"
"13","東京都","3696","1725","3300","4000","22","400","500","417","2148","663","3","888","2020-08-12T00:00","https://www.mhlw.go.jp/content/10900000/000659470.pdf"
