"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","207","121","１／３","1811","7%","1811","1","１／３","182","1%","182","86","１／２","1170","7%","1170","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"02","青森県","2","2","１／４","187","1%","225","0","１／４","31","0%","30","0","１／４","130","0%","100","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"03","岩手県","2","2","１／３","374","1%","350","0","１／３","59","0%","45","0","１／３","381","0%","300","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"04","宮城県","46","34","３／４","345","10%","450","1","３／４","43","2%","65","12","３／４","300","4%","300","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"05","秋田県","5","2","２／４","222","1%","235","0","２／４","22","0%","27","3","２／４","58","5%","69","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"06","山形県","3","3","２／４","216","1%","215","0","２／４","26","0%","26","0","２／４","188","0%","188","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"07","福島県","70","68","２／４","469","14%","350","3","２／４","42","7%","50","2","２／４","160","1%","160","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"08","茨城県","39","31","１／３","546","6%","500","4","１／３","72","6%","70","1","３／４","324","0%","324","7","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"09","栃木県","22","22","２／４","313","7%","313","0","２／４","41","0%","41","0","２／４","284","0%","250","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"10","群馬県","38","34","２／３","305","11%","330","4","２／３","23","17%","50","4","２／３","1300","0%","1300","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"11","埼玉県","380","202","３／４","1206","17%","1400","10","２／４","128","8%","200","110","１／３","1225","9%","1450","37","0","31","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"12","千葉県","325","178","３／４","1147","16%","1200","12","３／４","101","12%","180","66","３／４","710","9%","1400","64","0","17","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"13","東京都","2014","1146","３／４","4000","29%","4000","135","２／４","500","27%","500","308","３／４","1910","16%","3000","390","1","169","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"14","神奈川県","508","257","１／３","1939","13%","1939","23","１／３","200","12%","200","121","１／２","811","15%","1000","130","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
"15","新潟県","6","6","１／３","456","1%","456","0","１／３","112","0%","112","0","１／３","176","0%","176","0","0","0","2021-10-14","https://www.mhlw.go.jp/content/10900000/000694892.pdf"
