"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","2092","715","２／３","1809","40%","1809","22","２／３","162","14%","162","541","２／２","2055","26%","2055","820","16","0","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"02","青森県","284","76","３／４","201","38%","225","3","３／４","31","10%","30","29","３／４","210","14%","100","125","19","35","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"03","岩手県","174","129","２／３","393","33%","350","1","２／３","60","2%","45","45","２／３","381","12%","300","0","0","0","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"04","宮城県","402","124","５／５","347","36%","450","9","５／５","42","21%","65","161","５／５","900","18%","900","74","19","24","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"05","秋田県","115","38","３／４","229","17%","235","0","３／４","24","0%","27","57","３／４","163","35%","69","0","10","10","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"06","山形県","182","97","４／４","222","44%","215","4","４／４","26","15%","26","30","４／４","134","22%","134","28","1","26","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"07","福島県","452","268","４／４","469","57%","350","13","４／４","49","27%","50","87","４／４","204","43%","160","54","0","43","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"08","茨城県","480","199","３／３","600","33%","600","19","３／３","70","27%","70","108","４／６","580","19%","580","173","0","0","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"09","栃木県","252","139","３／４","409","34%","409","4","３／４","46","9%","46","51","３／４","638","8%","638","41","21","0","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"10","群馬県","585","188","３／３","422","45%","330","5","２／３","74","7%","50","282","２／３","1300","22%","1300","0","0","115","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"11","埼玉県","2391","683","４／４","1543","44%","1543","41","４／４","159","26%","200","353","３／３","1436","25%","1450","1170","0","185","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"12","千葉県","1381","408","４／４","1361","30%","1200","19","４／４","92","21%","180","294","４／４","968","30%","1400","620","0","59","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"13","東京都","6911","2203","４／４","5594","39%","6044","457","４／４","1207","38%","500","1465","４／４","2970","49%","3000","2092","59","1092","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"14","神奈川県","1966","504","３／４","1790","28%","1790","51","３／４","199","26%","199","368","２／２","1657","22%","1000","1087","7","0","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"15","新潟県","358","215","２／３","555","39%","555","1","２／３","112","1%","112","47","２／３","222","21%","222","96","0","0","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"16","富山県","144","81","３／４","500","16%","500","7","３／４","36","19%","36","44","３／４","305","14%","100","4","15","0","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"17","石川県","368","296","２／２","368","80%","254","10","２／２","35","29%","35","62","２／２","340","18%","340","0","10","0","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"18","福井県","103","103","４／４","255","40%","255","1","４／４","24","4%","24","0","１／４","75","0%","75","0","0","0","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"19","山梨県","122","79","３／４","285","28%","250","1","３／４","24","4%","24","43","３／４","449","10%","100","0","0","0","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"20","長野県","309","192","３／４","434","44%","434","4","３／４","49","8%","49","78","３／４","715","11%","375","36","0","3","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"21","岐阜県","544","335","３／３","739","45%","739","5","３／３","59","8%","59","138","３／３","627","22%","627","0","0","71","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"22","静岡県","327","98","４／４","525","19%","450","3","４／４","40","8%","67","134","４／４","592","23%","450","95","0","0","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"23","愛知県","3540","674","４／４","1215","55%","839","34","４／４","126","27%","121","300","４／４","1300","23%","1300","2347","0","219","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"24","三重県","652","242","３／３","392","62%","392","13","３／３","53","25%","53","37","３／３","100","37%","100","373","0","0","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"25","滋賀県","472","216","３／３","359","60%","350","15","３／３","50","30%","62","180","３／３","400","45%","400","71","0","5","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"26","京都府","1578","317","３／３","469","68%","453","37","３／３","86","43%","86","252","３／３","826","31%","826","1009","0","0","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"27","大阪府","20528","2051","４／４","2466","83%","2466","483","４／４","601","80%","221","1790","３／３","3475","52%","3475","13423","0","3264","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"28","兵庫県","4979","736","６／６","935","79%","1200","84","６／６","118","71%","130","429","６／６","1165","37%","1500","1532","0","2282","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"29","奈良県","961","283","３／３","395","72%","395","27","３／３","32","84%","32","226","３／３","406","56%","406","0","0","452","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"30","和歌山県","273","273","４／４","400","68%","400","4","４／４","40","10%","40","0","４／４","137","0%","137","0","0","0","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
