"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","5531","1028","1028","３／３","1981","1981","52%","19%","39","39","３／３","145","145","27%","379","２／２","2395","2395","16%","1943","170","2181","105","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"02","青森県","131","75","75","２／４","247","261","29%","57%","4","4","２／４","31","31","13%","23","４／４","310","310","7%","20","1","13","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"03","岩手県","93","59","59","２／３","250","350","17%","63%","0","0","２／３","30","45","0%","26","２／３","85","381","7%","0","0","8","8","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"04","宮城県","163","64","63","５／５","351","358","18%","39%","8","8","５／５","45","45","18%","70","５／５","1000","1000","7%","22","0","7","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"05","秋田県","18","18","18","４／６","132","230","8%","100%","1","1","４／６","12","22","5%","0","４／６","300","300","0%","0","0","0","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"06","山形県","70","54","54","４／４","237","237","23%","77%","4","4","４／４","26","26","15%","4","４／４","134","134","3%","12","0","0","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"07","福島県","148","129","125","４／４","496","496","25%","87%","6","5","４／４","45","49","10%","7","４／４","277","277","3%","1","0","11","8","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"08","茨城県","290","137","137","３／４","500","600","23%","47%","9","9","３／４","60","70","13%","64","４／６","300","630","10%","89","0","0","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"09","栃木県","240","136","136","２／３","371","448","30%","57%","9","9","２／３","27","46","20%","52","２／３","557","638","8%","32","0","20","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"10","群馬県","198","126","126","３／４","408","459","27%","64%","13","13","３／４","29","76","17%","53","３／４","971","1300","4%","0","0","19","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"11","埼玉県","1188","493","493","４／４","1646","1646","30%","41%","40","40","４／４","163","163","25%","238","３／４","887","1986","12%","252","0","205","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"12","千葉県","918","345","345","２／３","1266","1266","27%","38%","21","21","２／３","101","101","21%","233","２／３","1012","1012","23%","212","0","128","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"13","東京都","3739","1626","1592","４／４","5594","6044","26%","43%","424","424","４／４","1207","1207","35%","767","４／４","2830","2830","27%","835","0","511","45","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"14","神奈川県","1863","542","542","３／４","1498","1790","30%","29%","60","60","３／４","164","199","30%","342","１／１","1423","1657","21%","949","5","30","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"15","新潟県","175","119","119","２／３","555","555","21%","68%","5","5","２／３","112","112","4%","18","２／３","300","300","6%","35","0","3","3","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"16","富山県","105","80","80","３／４","438","500","16%","76%","8","8","３／４","36","36","22%","23","３／４","250","250","9%","2","0","0","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"17","石川県","186","125","125","３／３","435","435","29%","67%","5","5","３／３","39","39","13%","39","３／３","560","560","7%","21","7","1","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"18","福井県","21","21","21","１／４","95","304","7%","100%","0","0","１／４","7","24","0%","0","１／４","70","146","0%","0","0","0","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"19","山梨県","186","86","86","３／４","210","305","28%","46%","1","1","３／４","24","24","4%","58","３／４","449","449","13%","42","42","0","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"20","長野県","150","108","108","２／３","342","490","22%","72%","3","3","２／３","34","42","7%","33","２／３","375","523","6%","9","0","0","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"21","岐阜県","534","377","377","３／３","783","783","48%","71%","21","21","３／３","59","59","36%","125","３／３","721","957","13%","0","0","32","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"22","静岡県","421","141","135","４／５","574","589","23%","33%","6","6","４／５","49","50","12%","79","４／５","476","726","11%","171","7","30","1","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"23","愛知県","3343","878","853","４／４","1515","1515","56%","26%","92","92","４／４","146","146","63%","304","４／４","1109","1300","23%","1986","97","175","5","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
