"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院者数（臨時）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者受入確保病床（臨時）","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","うち重症者数（臨時確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","うち重症患者受入確保病床数（臨時）","重症患者病床使用率","宿泊療養者数","うち宿泊療養者数（臨時）","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","うち宿泊施設受入可能室数（臨時）","宿泊療養施設居室使用率","臨時施設療養者数","臨時施設フェーズ","臨時施設即応定員数","臨時施設確保定員数","臨時施設確保定員使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","14575","575","474","0","２／３","1809","2297","0","21%","4%","4","4","0","２／３","97","120","0","3%","135","0","２／３","2085","2215","0","6%","0","２／３","56","56","0%","13536","0","329","0","2022-10-05","https://www.mhlw.go.jp/content/10900000/000999182.xlsx"
"02","青森県","1994","129","119","0","３／５","457","469","0","25%","6%","0","0","0","１／５","31","31","0","0%","44","0","３／５","660","660","0","7%","0","－","0","0","－","1821","0","0","0","2022-10-05","https://www.mhlw.go.jp/content/10900000/000999182.xlsx"
"03","岩手県","2100","84","84","0","１／２","204","325","0","26%","4%","1","1","0","１／２","32","34","0","3%","12","0","１／２","100","280","0","4%","0","－","0","0","－","2004","0","0","0","2022-10-05","https://www.mhlw.go.jp/content/10900000/000999182.xlsx"
"04","宮城県","5061","178","111","0","Ⅰ／Ⅰ","597","597","0","19%","4%","4","4","0","Ⅰ／Ⅰ","55","55","0","7%","214","0","Ⅰ／Ⅰ","2090","2090","0","10%","0","－","0","0","－","4474","0","195","0","2022-10-05","https://www.mhlw.go.jp/content/10900000/000999182.xlsx"
"05","秋田県","2271","152","73","0","６／６","321","321","0","23%","7%","1","1","0","６／６","24","24","0","4%","31","0","６／６","415","415","0","7%","0","－","0","0","－","2052","170","36","0","2022-10-05","https://www.mhlw.go.jp/content/10900000/000999182.xlsx"
"06","山形県","3217","98","54","0","Ⅰ／Ⅱ","284","284","0","19%","3%","0","0","0","Ⅰ／Ⅱ","26","26","0","0%","16","0","Ⅰ／Ⅱ","348","348","0","5%","0","Ⅰ／Ⅱ","0","0","－","3103","0","0","0","2022-10-05","https://www.mhlw.go.jp/content/10900000/000999182.xlsx"
"07","福島県","3618","152","147","0","３／３","755","767","8","19%","4%","0","0","0","３／３","46","46","0","0%","141","0","３／３","1547","1547","0","9%","0","３／３","19","27","0%","3325","24","0","0","2022-10-05","https://www.mhlw.go.jp/content/10900000/000999182.xlsx"
"08","茨城県","6528","247","247","0","３／４","500","609","0","41%","4%","3","3","0","１／４","30","72","0","4%","259","0","４／５","1539","2689","0","10%","0","－","0","0","－","6022","0","0","0","2022-10-05","https://www.mhlw.go.jp/content/10900000/000999182.xlsx"
"09","栃木県","3568","147","147","4","２／３","371","680","102","22%","4%","1","1","0","２／３","26","46","0","2%","51","0","２／３","755","1050","0","5%","4","２／３","102","102","4%","3370","0","0","0","2022-10-05","https://www.mhlw.go.jp/content/10900000/000999182.xlsx"
"10","群馬県","4046","183","183","0","３／４","594","676","0","27%","5%","1","1","0","１／４","13","37","0","3%","161","0","４／６","1047","1727","0","9%","0","３／４","6","6","0%","3479","214","223","1","2022-10-05","https://www.mhlw.go.jp/content/10900000/000999182.xlsx"
