都道府県番号,都道府県名,PCR検査陽性者数,入院者数,入院患者受入確保病床,入院患者受入確保想定病床数,うち重症者数,重症患者受入確保病床数,重症患者受入確保想定病床数,宿泊療養者数,宿泊施設受入可能室数,自宅療養者数,社会福祉施設等療養者数,確認中の人数,更新日,出典
01,北海道,103,99,700,1558,6,100,132,4,930,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf
02,青森県,0,0,144,225,0,29,34,0,30,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf
03,岩手県,0,0,93,166,0,33,33,0,85,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf
04,宮城県,5,4,388,400,0,57,60,1,100,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf
05,秋田県,0,0,105,105,0,55,55,0,16,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf
06,山形県,1,1,150,150,1,16,16,0,188,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf
07,福島県,1,1,229,800,0,15,20,0,100,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf
08,茨城県,5,5,151,1000,0,30,50,0,34,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf
09,栃木県,16,16,271,271,0,41,41,0,111,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf
10,群馬県,3,3,170,280,0,23,50,0,150,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf
11,埼玉県,107,81,602,602,3,60,60,10,1055,6,0,10,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf
12,千葉県,47,40,819,1700,2,82,300,5,736,2,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf
13,東京都,453,297,3300,4000,10,400,700,71,2865,46,0,39,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf
14,神奈川県,68,51,2050,2800,10,172,300,12,2431,5,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf
15,新潟県,0,0,411,766,0,112,112,0,50,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf
16,富山県,0,0,500,500,0,20,20,0,100,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf
17,石川県,16,16,233,520,1,30,40,0,340,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf
18,福井県,0,0,176,350,0,19,19,0,15,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf
19,山梨県,1,1,80,400,0,13,50,0,21,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf
20,長野県,1,1,300,300,0,33,33,0,200,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf
21,岐阜県,2,2,362,458,1,47,118,0,466,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf
22,静岡県,4,4,200,400,0,20,20,0,155,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf
23,愛知県,7,3,500,1500,0,28,400,0,1300,4,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf
24,三重県,0,0,176,176,0,34,34,0,64,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf
25,滋賀県,2,2,245,570,0,50,50,0,62,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf
26,京都府,16,16,431,431,0,86,86,0,338,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf
