"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者受入確保病床","入院患者受入確保想定病床数","うち重症者数","重症患者受入確保病床数","重症患者受入確保想定病床数","宿泊療養者数","宿泊施設受入可能室数","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","123","80","700","1558","3","100","132","37","810","6","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"02","青森県","2","2","158","225","0","29","30","0","30","0","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"03","岩手県","3","3","205","382","0","25","59","0","225","0","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"04","宮城県","26","20","388","450","0","57","65","3","100","3","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"05","秋田県","2","2","231","235","0","25","27","0","16","0","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"06","山形県","1","1","215","215","0","25","26","0","188","0","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"07","福島県","4","4","229","350","0","15","50","0","100","0","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"08","茨城県","82","50","171","500","1","33","70","10","34","22","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"09","栃木県","75","74","311","311","0","41","41","0","111","1","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"10","群馬県","33","33","302","330","1","23","50","0","150","0","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"11","埼玉県","521","298","683","1400","3","96","200","76","1225","98","0","49","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"12","千葉県","505","292","1147","1200","6","101","180","72","710","106","0","35","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"13","東京都","3252","1416","3300","4000","22","400","500","442","2148","556","0","838","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"14","神奈川県","439","184","1951","2200","11","172","172","140","2486","115","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"15","新潟県","20","20","456","456","0","112","112","0","176","0","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"16","富山県","20","20","500","500","0","36","36","0","150","0","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"17","石川県","16","16","258","258","2","35","35","0","340","0","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"18","福井県","19","19","190","350","0","24","24","0","65","0","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"19","山梨県","21","18","250","250","1","24","24","3","21","0","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"20","長野県","35","35","350","350","0","48","48","0","200","0","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"21","岐阜県","151","146","397","625","0","49","67","5","381","0","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"22","静岡県","134","91","300","400","1","30","40","20","155","0","0","23","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"23","愛知県","1564","258","766","839","7","60","121","47","1300","1139","0","120","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"24","三重県","84","69","358","358","0","52","52","0","100","15","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"25","滋賀県","79","72","141","450","1","50","50","6","62","1","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"26","京都府","219","112","495","495","4","86","86","45","338","62","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"27","大阪府","1509","372","1257","1615","26","188","215","362","957","282","0","493","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"28","兵庫県","289","239","652","652","7","110","120","50","488","0","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"29","奈良県","73","69","467","500","1","25","25","4","108","0","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"30","和歌山県","45","45","165","400","0","40","40","0","137","0","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"31","鳥取県","14","14","322","322","0","48","48","0","340","0","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"32","島根県","1","1","253","253","0","30","46","0","98","0","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"33","岡山県","34","32","250","250","0","37","40","1","207","1","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"34","広島県","124","117","553","553","0","72","80","2","150","5","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"35","山口県","13","13","423","423","0","102","102","0","638","0","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"36","徳島県","18","18","200","200","0","25","25","0","208","0","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"37","香川県","6","5","175","175","0","22","22","1","101","0","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"38","愛媛県","13","13","223","223","1","15","43","0","67","0","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"39","高知県","5","5","192","200","0","16","50","0","16","0","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"40","福岡県","1014","269","490","760","11","60","110","182","686","563","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"41","佐賀県","52","48","281","281","0","47","47","4","230","0","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"42","長崎県","106","31","395","395","1","27","42","40","163","35","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"43","熊本県","213","153","400","400","0","59","59","0","1430","60","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"44","大分県","16","16","330","330","1","41","41","0","700","0","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"45","宮崎県","148","68","215","240","1","19","33","43","250","33","4","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"46","鹿児島県","61","47","253","253","2","48","48","13","370","1","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
"47","沖縄県","546","206","242","425","3","15","28","52","190","288","0","0","2020-08-05T00:00","https://www.mhlw.go.jp/content/10900000/000657845.pdf"
