"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","854","431","２／３","1826","24%","1826","22","２／３","162","14%","162","292","２／２","2055","14%","2055","130","1","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"02","青森県","179","31","１／４","193","16%","225","0","１／４","31","0%","30","62","１／４","210","30%","100","8","55","23","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"03","岩手県","121","84","２／３","385","22%","350","0","２／３","60","0%","45","37","２／３","381","10%","300","0","0","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"04","宮城県","1340","197","５／５","345","57%","450","12","５／５","43","28%","65","445","５／５","900","49%","900","698","0","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"05","秋田県","37","18","２／４","229","8%","235","2","２／４","24","8%","27","12","２／４","163","7%","69","0","0","7","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"06","山形県","239","86","４／４","222","39%","215","2","４／４","26","8%","26","15","４／４","134","11%","134","94","0","44","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"07","福島県","299","262","４／４","469","56%","350","10","４／４","49","20%","50","33","４／４","204","16%","160","4","0","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"08","茨城県","276","126","３／３","619","20%","600","2","３／３","70","3%","70","61","４／５","420","15%","420","89","0","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"09","栃木県","265","107","３／４","409","26%","409","2","３／４","46","4%","46","101","３／４","638","16%","638","57","0","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"10","群馬県","212","94","２／３","422","22%","330","4","２／３","74","5%","50","95","２／３","1300","7%","1300","0","0","23","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"11","埼玉県","1506","517","４／４","1504","34%","1504","35","４／４","155","23%","200","320","３／３","1436","22%","1450","553","0","116","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"12","千葉県","1041","379","４／４","1361","28%","1200","14","４／４","92","15%","180","205","４／４","968","21%","1400","429","0","28","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"13","東京都","3821","1528","４／４","5048","30%","6044","345","４／４","1024","34%","500","818","４／４","2690","30%","3000","640","0","835","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"14","神奈川県","1011","290","２／４","1555","19%","1555","23","２／４","190","12%","190","205","２／２","1048","20%","1000","497","19","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"15","新潟県","220","161","２／３","555","29%","555","2","２／３","112","2%","112","38","２／３","222","17%","222","21","0","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"16","富山県","50","43","１／４","500","9%","500","0","１／４","36","0%","36","6","１／４","305","2%","100","1","0","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"17","石川県","89","87","１／２","258","34%","254","1","１／２","35","3%","35","2","１／２","340","1%","340","0","0","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"18","福井県","68","68","３／４","255","27%","255","1","３／４","24","4%","24","0","１／４","75","0%","75","0","0","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"19","山梨県","33","21","１／４","285","7%","250","1","１／４","24","4%","24","12","３／４","139","9%","100","0","0","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"20","長野県","270","140","２／４","434","32%","434","0","２／４","49","0%","49","81","２／４","375","22%","375","42","0","7","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"21","岐阜県","151","122","２／３","694","18%","694","3","２／３","59","5%","59","19","２／３","541","4%","541","0","0","10","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"22","静岡県","213","66","４／４","480","14%","450","0","４／４","40","0%","67","64","４／４","592","11%","450","83","0","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"23","愛知県","999","259","２／４","1215","21%","839","6","２／４","126","5%","121","217","２／４","1300","17%","1300","411","0","112","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"24","三重県","208","146","３／３","392","37%","392","1","３／３","53","2%","53","51","３／３","100","51%","100","11","0","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"25","滋賀県","169","108","２／３","351","31%","350","6","２／３","49","12%","62","47","２／３","350","13%","350","11","0","3","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"26","京都府","459","157","３／３","453","35%","453","10","３／３","86","12%","86","148","３／３","826","18%","826","154","0","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"27","大阪府","5570","1013","４／４","1990","51%","2021","212","４／４","464","46%","221","944","３／３","2416","39%","2416","2519","0","1094","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"28","兵庫県","1964","608","６／６","839","72%","750","76","６／６","116","66%","120","565","６／６","1015","56%","1000","0","0","791","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"29","奈良県","568","233","３／３","376","62%","372","7","３／３","30","23%","30","179","３／３","236","76%","236","0","0","156","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"30","和歌山県","158","158","３／４","400","40%","400","2","３／４","40","5%","40","0","３／４","137","0%","137","0","0","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"31","鳥取県","69","54","２／３","313","17%","300","0","２／３","47","0%","40","15","２／３","340","4%","150","0","0","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"32","島根県","4","4","１／５","253","2%","253","0","１／５","25","0%","25","0","１／５","98","0%","98","0","0","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"33","岡山県","166","80","２／４","412","19%","250","3","２／４","43","7%","40","80","２／４","207","39%","180","6","0","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"34","広島県","113","45","１／３","485","9%","500","1","１／３","48","2%","70","54","１／３","1400","4%","1400","7","7","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"35","山口県","36","33","２／３","480","7%","480","0","２／３","124","0%","137","3","１／３","834","0%","834","0","0","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"36","徳島県","140","93","２／４","200","47%","200","4","２／４","25","16%","25","47","２／４","210","22%","210","0","0","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"37","香川県","164","57","２／３","209","27%","209","0","２／３","26","0%","26","70","２／３","101","69%","101","0","0","37","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"38","愛媛県","447","76","３／３","270","28%","223","4","３／３","33","12%","33","51","３／３","192","27%","117","292","0","28","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
