"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","151","56","56","１／３","1114","2000","3%","37%","2","2","１／３","82","137","1%","24","２／２","2370","2370","1%","41","0","30","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"02","青森県","0","0","0","１／５","360","396","0%","－","0","0","１／５","31","31","0%","0","１／５","700","700","0%","0","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"03","岩手県","0","0","0","１／２","203","301","0%","－","0","0","１／２","29","31","0%","0","１／２","100","280","0%","0","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"04","宮城県","2","1","1","５／５","506","506","0%","50%","0","0","５／５","55","55","0%","1","５／５","1250","1250","0%","0","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"05","秋田県","0","0","0","３／６","140","289","0%","－","0","0","３／６","10","24","0%","0","３／６","395","415","0%","0","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"06","山形県","12","8","8","３／４","237","237","3%","67%","0","0","３／４","26","26","0%","0","３／４","348","348","0%","1","0","3","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"07","福島県","1","1","1","４／４","637","637","0%","100%","1","1","４／４","45","49","2%","0","４／４","503","503","0%","0","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"08","茨城県","3","0","0","１／４","300","607","0%","0%","0","0","１／４","30","72","0%","2","３／５","1020","2600","0%","1","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"09","栃木県","5","2","2","１／３","358","533","0%","40%","0","0","１／３","22","46","0%","0","１／３","665","785","0%","0","0","3","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"10","群馬県","39","17","17","１／４","219","558","3%","44%","1","1","１／４","14","37","3%","17","１／６","183","1727","1%","5","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"11","埼玉県","75","43","43","２／４","990","1715","3%","57%","8","8","２／４","124","198","4%","4","４／４","1925","1986","0%","17","0","11","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"12","千葉県","25","9","9","１／２","945","1455","1%","36%","0","0","１／２","77","122","0%","8","１／２","1390","1805","0%","5","0","3","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"13","東京都","176","74","68","１／３","4723","6891","1%","42%","21","20","１／３","1468","1468","1%","35","１／３","1780","7966","0%","34","0","33","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"14","神奈川県","99","35","35","１／４","1007","2100","2%","35%","2","2","１／４","94","210","1%","2","１／１","2076","2076","0%","61","9","1","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"15","新潟県","15","10","10","１／４","351","653","2%","67%","0","0","１／４","39","112","0%","2","１／３","300","300","1%","3","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"16","富山県","0","0","0","１／３","111","481","0%","－","0","0","１／３","12","36","0%","0","１／３","625","625","0%","0","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"17","石川県","1","1","1","１／３","153","303","0%","100%","0","0","１／３","32","37","0%","0","１／３","560","560","0%","0","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"18","福井県","0","0","0","１／５","38","425","0%","－","0","0","１／５","2","24","0%","0","１／５","187","316","0%","0","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"19","山梨県","0","0","0","１／５","98","376","0%","－","0","0","１／５","7","24","0%","0","１／５","966","966","0%","0","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"20","長野県","1","1","1","１／３","156","513","0%","100%","0","0","１／３","30","43","0%","0","１／３","806","806","0%","0","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"21","岐阜県","14","8","8","１／４","317","882","1%","57%","0","0","１／４","53","59","0%","5","１／３","549","1621","0%","0","0","1","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"22","静岡県","6","0","0","１／３","583","763","0%","0%","0","0","１／３","56","69","0%","2","１／３","870","954","0%","4","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"23","愛知県","55","7","7","１／２","1141","1666","0%","13%","0","0","１／２","134","172","0%","12","１／２","1628","1628","1%","25","0","11","1","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"24","三重県","3","3","3","３／３","455","455","1%","100%","0","0","３／３","50","50","0%","0","１／２","230","375","0%","0","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"25","滋賀県","4","4","4","４／４","441","483","1%","100%","0","0","４／４","52","52","0%","0","４／４","677","677","0%","0","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"26","京都府","18","16","16","１／２","689","875","2%","89%","0","0","１／２","154","171","0%","2","１／１","1126","1126","0%","0","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"27","大阪府","139","58","58","１／５","2015","3637","2%","42%","7","7","１／５","970","1355","1%","22","３／６","2485","8514","0%","58","0","1","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"28","兵庫県","49","26","26","１／５","300","1417","2%","53%","6","6","１／５","30","142","4%","7","１／５","300","2411","0%","12","0","4","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"29","奈良県","4","1","1","２／３","360","481","0%","25%","0","0","２／３","32","34","0%","3","２／３","1136","1136","0%","0","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"30","和歌山県","3","3","3","３／３","598","598","1%","100%","0","0","３／３","26","26","0%","0","３／３","151","201","0%","0","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"31","鳥取県","0","0","0","１／３","228","350","0%","－","0","0","１／３","19","47","0%","0","１／２","277","364","0%","0","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"32","島根県","2","2","2","１／５","172","324","1%","100%","0","0","１／５","5","25","0%","0","１／５","133","133","0%","0","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"33","岡山県","27","6","6","２／４","401","557","1%","22%","1","1","２／４","37","68","1%","4","１／３","256","507","1%","17","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"34","広島県","19","4","4","３／４","438","568","1%","21%","0","0","３／４","35","46","0%","6","３／４","829","829","1%","9","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"35","山口県","4","3","3","２／４","221","549","1%","75%","0","0","２／４","10","47","0%","1","２／４","630","930","0%","0","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"36","徳島県","1","1","1","１／５","98","260","0%","100%","0","0","１／５","6","25","0%","0","１／５","170","450","0%","0","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"37","香川県","0","0","0","１／３","148","264","0%","－","0","0","１／３","17","30","0%","0","１／２","368","424","0%","0","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"38","愛媛県","2","1","1","１／３","132","261","0%","50%","0","0","１／３","5","19","0%","0","１／３","110","263","0%","1","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"39","高知県","0","0","0","１／５","77","253","0%","－","0","0","１／５","16","24","0%","0","１／５","147","385","0%","0","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"40","福岡県","46","14","14","２／５","545","1482","1%","30%","4","4","２／５","91","203","2%","12","２／５","800","2234","1%","20","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"41","佐賀県","0","0","0","１／５","248","468","0%","－","0","0","１／５","3","48","0%","0","１／４","515","515","0%","0","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"42","長崎県","0","0","0","１／４","68","440","0%","－","0","0","１／４","17","38","0%","0","１／４","489","535","0%","0","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"43","熊本県","0","0","0","１／２","558","669","0%","－","0","0","１／２","49","53","0%","0","１／２","1000","1000","0%","0","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"44","大分県","1","1","1","１／４","361","506","0%","100%","0","0","１／４","34","43","0%","0","１／４","444","1349","0%","0","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"45","宮崎県","0","0","0","１／２","225","265","0%","－","0","0","１／２","15","15","0%","0","１／３","50","450","0%","0","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"46","鹿児島県","0","0","0","１／４","45","549","0%","－","0","0","１／４","1","33","0%","0","１／４","0","1757","0%","0","0","0","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
"47","沖縄県","13","5","5","１／５","100","641","1%","38%","1","1","１／５","16","60","2%","5","１／５","35","852","1%","2","0","1","0","2021-12-01","https://www.mhlw.go.jp/content/10900000/000862654.xlsx"
