"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数","入院者数","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数","うち重症者数","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","うち重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","うち宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","うち宿泊施設受入可能室数","宿泊療養施設居室使用率","臨時施設療養者数","臨時施設フェーズ","臨時施設即応定員数","臨時施設確保定員数","臨時施設確保定員使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","217","77","77","0","１／３","1211","2028","0","4%","35%","0","0","0","１／３","87","134","0","0%","25","0","１／３","1450","2500","0","1%","0","１／３","14","56","0%","101","3","14","0","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"02","青森県","17","11","11","0","１／５","375","414","0","3%","65%","0","0","0","１／５","31","31","0","0%","0","0","１／５","700","700","0","0%","0","－","0","0","－","0","0","6","6","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"03","岩手県","13","12","12","0","１／２","203","301","0","4%","92%","0","0","0","１／２","29","31","0","0%","1","0","１／２","100","280","0","0%","0","－","0","0","－","0","0","0","0","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"04","宮城県","12","6","6","0","Ⅰ／Ⅰ","510","510","0","1%","50%","0","0","0","Ⅰ／Ⅰ","55","55","0","0%","3","0","Ⅰ／Ⅰ","1250","1250","0","0%","0","－","0","0","－","1","0","2","0","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"05","秋田県","0","0","0","0","３／６","140","289","0","0%","－","0","0","0","３／６","10","24","0","0%","0","0","３／６","395","395","0","0%","0","－","0","0","－","0","0","0","0","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"06","山形県","16","7","7","0","２／４","183","237","0","3%","44%","0","0","0","２／４","26","26","0","0%","0","0","２／４","322","322","0","0%","0","２／４","0","0","－","0","0","9","0","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"07","福島県","33","31","31","0","２／３","668","734","0","4%","94%","0","0","0","２／３","40","47","0","0%","0","0","２／３","300","480","0","0%","0","２／３","0","21","0%","1","0","1","1","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"08","茨城県","20","7","7","0","１／４","300","607","21","1%","35%","0","0","0","１／４","30","72","0","0%","10","0","３／５","830","2600","0","0%","0","１／４","21","21","0%","3","0","0","0","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"09","栃木県","140","50","50","0","１／３","360","633","100","8%","36%","0","0","0","１／３","22","46","0","0%","11","0","１／３","665","1065","0","1%","0","１／３","0","100","0%","51","0","28","0","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"10","群馬県","130","54","54","0","２／４","358","561","0","10%","42%","1","1","0","２／４","22","37","0","3%","48","0","４／６","1073","1727","0","3%","0","－","0","0","－","23","0","5","5","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
