"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院者数（臨時）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者受入確保病床（臨時）","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","うち重症者数（臨時確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","うち重症患者受入確保病床数（臨時）","重症患者病床使用率","宿泊療養者数","うち宿泊療養者数（臨時）","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","うち宿泊施設受入可能室数（臨時）","宿泊療養施設居室使用率","臨時施設療養者数","臨時施設フェーズ","臨時施設即応定員数","臨時施設確保定員数","臨時施設確保定員使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","56928","1784","948","0","３／３","1963","2253","0","42%","3%","7","7","0","３／３","119","138","0","5%","505","0","２／３","2085","2215","0","23%","0","２／３","56","56","0%","50957","887","3682","0","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"02","青森県","11525","289","216","0","３／５","439","460","0","47%","3%","2","2","0","１／５","31","31","0","6%","122","0","３／５","660","660","0","18%","0","－","0","0","－","7648","129","3466","0","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"03","岩手県","9416","259","177","0","２／２","339","339","0","52%","3%","0","0","0","２／２","31","34","0","0%","66","0","２／２","280","280","0","24%","0","－","0","0","－","9091","104","0","0","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"04","宮城県","26024","403","308","0","Ⅰ／Ⅰ","572","572","0","54%","2%","14","14","0","Ⅰ／Ⅰ","55","55","0","25%","1489","0","Ⅰ／Ⅰ","2060","2060","0","72%","0","－","0","0","－","18761","0","5371","0","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"05","秋田県","21280","264","204","0","６／６","305","305","0","67%","1%","3","3","0","６／６","24","24","0","13%","96","0","６／６","415","415","0","23%","0","－","0","0","－","8228","534","12692","0","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"06","山形県","11502","216","138","0","４／４","253","253","0","55%","2%","0","0","0","４／４","26","26","0","0%","75","0","４／４","348","348","0","22%","0","４／４","0","0","－","11079","0","132","0","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"07","福島県","18071","450","388","0","３／３","745","757","8","51%","2%","3","3","0","３／３","45","45","0","7%","343","0","３／３","1547","1547","0","22%","0","３／３","16","24","0%","17278","109","0","0","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"08","茨城県","19394","464","464","0","Ⅰ／Ⅰ","800","800","0","58%","2%","5","5","0","１／４","30","72","0","7%","738","0","３／５","1332","2689","0","27%","0","－","0","0","－","18192","54","0","0","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"09","栃木県","20135","372","372","8","３／３","560","593","33","63%","2%","6","6","0","３／３","46","46","0","13%","419","0","２／３","755","1050","0","40%","8","３／３","33","33","24%","19344","440","0","0","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"10","群馬県","45137","424","358","0","４／４","669","669","0","54%","1%","4","0","0","１／４","13","37","0","0%","676","0","６／６","1727","1727","0","39%","0","４／４","6","6","0%","38378","512","5659","13","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"11","埼玉県","73276","1645","1274","0","４／４","1731","1878","130","68%","2%","38","38","0","１／４","84","191","0","20%","869","0","４／４","1747","1986","8","44%","3","４／４","120","160","2%","64473","0","6286","0","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"12","千葉県","50080","2238","1223","69","Ⅰ／Ⅰ","1774","1892","224","65%","4%","12","12","0","Ⅰ／Ⅰ","165","168","0","7%","718","0","Ⅰ／Ⅰ","1956","1956","3","37%","69","Ⅰ／Ⅰ","152","237","29%","44553","0","2571","21","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"13","東京都","214647","4424","4234","136","２／２","6904","7329","529","58%","2%","643","643","0","１／２","944","1007","0","64%","6476","212","２／２","9140","9140","750","71%","623","２／２","2136","2206","28%","135678","1430","67794","373","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"14","神奈川県","52732","1904","1904","53","４／４","2100","2100","143","91%","4%","71","71","0","１／４","139","210","0","34%","641","0","１／１","2421","2421","0","26%","53","４／４","78","143","37%","49751","1980","436","0","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"15","新潟県","19294","411","411","0","３／４","565","672","0","61%","2%","2","2","0","３／４","112","112","0","2%","84","0","３／３","357","357","0","24%","0","３／３","10","10","0%","18799","229","0","0","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"16","富山県","14142","234","232","0","３／３","448","481","0","48%","2%","2","2","0","３／３","34","36","0","6%","303","0","３／３","760","760","0","40%","0","３／３","0","0","－","12132","32","1473","1","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"17","石川県","15413","318","318","0","Ⅱ／Ⅱ","504","504","0","63%","2%","5","5","0","Ⅱ／Ⅱ","41","41","0","12%","133","0","Ⅱ／Ⅱ","630","630","0","21%","0","Ⅱ／Ⅱ","0","0","－","13667","28","1295","0","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"18","福井県","11002","171","171","0","４／４","360","474","100","36%","2%","3","3","0","４／４","24","24","0","13%","177","0","２／４","425","575","0","31%","0","４／４","0","100","0%","10654","0","0","0","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
