"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院者数（臨時）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者受入確保病床（臨時）","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","うち重症者数（臨時確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","うち重症患者受入確保病床数（臨時）","重症患者病床使用率","宿泊療養者数","うち宿泊療養者数（臨時）","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","うち宿泊施設受入可能室数（臨時）","宿泊療養施設居室使用率","臨時施設療養者数","臨時施設フェーズ","臨時施設即応定員数","臨時施設確保定員数","臨時施設確保定員使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","28653","702","475","0","１／３","1435","2228","0","21%","2%","4","4","0","１／３","90","140","0","3%","431","0","１／３","1085","2215","0","19%","0","１／３","56","56","0%","25294","162","2226","0","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"02","青森県","10878","266","257","0","３／５","446","458","0","56%","2%","3","3","0","１／５","31","31","0","10%","181","0","３／５","660","660","0","27%","0","－","0","0","－","7074","196","3357","0","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"03","岩手県","7155","148","121","0","２／２","325","325","0","37%","2%","0","0","0","２／２","31","34","0","0%","131","0","２／２","280","280","0","47%","0","－","0","0","－","6875","71","1","1","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"04","宮城県","15493","250","211","0","Ⅰ／Ⅰ","538","538","0","39%","2%","9","9","0","Ⅰ／Ⅰ","55","55","0","16%","1098","0","Ⅰ／Ⅰ","2060","2060","0","53%","0","－","0","0","－","9555","0","4590","0","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"05","秋田県","6567","145","93","0","６／６","289","289","0","32%","2%","1","1","0","６／６","24","24","0","4%","147","0","６／６","415","415","0","35%","0","－","0","0","－","4917","128","1358","0","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"06","山形県","5413","97","83","0","４／４","246","246","0","34%","2%","0","0","0","４／４","26","26","0","0%","85","0","４／４","348","348","0","24%","0","４／４","0","0","－","5189","0","42","0","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"07","福島県","9901","362","300","0","３／３","728","757","8","40%","4%","1","1","0","３／３","45","45","0","2%","616","0","３／３","1547","1547","0","40%","0","３／３","16","24","0%","8098","81","825","12","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"08","茨城県","13957","320","320","0","Ⅰ／Ⅰ","877","877","77","36%","2%","3","3","0","１／４","30","80","0","4%","527","0","３／５","1041","2600","0","20%","0","Ⅰ／Ⅰ","0","77","0%","13110","42","0","0","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"09","栃木県","14788","245","245","0","２／３","457","548","0","45%","2%","3","3","0","２／３","32","46","0","7%","418","0","２／３","755","1050","0","40%","0","１／３","0","0","－","14125","114","0","0","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"10","群馬県","18936","345","307","0","４／４","643","643","0","48%","2%","2","0","0","１／４","13","37","0","0%","676","0","６／６","1727","1727","0","39%","0","４／４","6","6","0%","14809","206","3106","17","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"11","埼玉県","80933","1211","967","0","４／４","1508","1760","130","55%","1%","21","21","0","１／４","69","191","0","11%","916","0","４／４","1924","1932","8","47%","0","４／４","8","138","0%","71331","0","7475","0","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"12","千葉県","56538","1109","942","59","Ⅰ／Ⅰ","1498","1877","224","50%","2%","9","9","0","Ⅰ／Ⅰ","128","176","0","5%","584","0","Ⅰ／Ⅰ","1956","1956","3","30%","59","Ⅰ／Ⅰ","161","237","25%","52685","0","2160","7","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"13","東京都","233092","3725","3555","102","２／２","6539","7281","479","49%","2%","510","510","0","１／２","828","1007","0","51%","6672","208","２／２","8450","8580","290","78%","636","２／２","1561","1696","38%","158565","989","63804","453","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"14","神奈川県","78561","1495","1495","42","４／４","2036","2100","143","71%","2%","39","39","0","１／４","126","210","0","19%","465","0","１／１","2421","2421","0","19%","42","４／４","78","143","29%","75882","945","719","2","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"15","新潟県","11799","212","212","0","３／４","577","664","0","32%","2%","5","5","0","３／４","112","112","0","4%","75","0","３／３","357","357","0","21%","0","３／３","10","10","0%","11512","83","0","0","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
