"name_ja","npatients"
"千代田",4
"中央",20
"港",58
"新宿",38
"文京",6
"台東",25
"墨田",10
"江東",13
"品川",30
"目黒",34
"大田",19
"世田谷",79
"渋谷",26
"中野",24
"杉並",37
"豊島",14
"北",7
"荒川",3
"板橋",13
"練馬",34
"足立",12
"葛飾",16
"江戸川",11
"八王子",5
"立川",0
"武蔵野",4
"三鷹",7
"青梅",1
"府中",1
"昭島",1
"調布",1
"町田",10
"小金井",2
"小平",3
"日野",4
"東村山",0
"国分寺",0
"国立",0
"福生",0
"狛江",3
"東大和",1
"清瀬",0
"東久留米",2
"武蔵村山",0
"多摩",0
"稲城",3
"羽村",3
"あきる野",0
"西東京",9
"瑞穂",0
"日の出",0
"檜原",0
"奥多摩",0
"大島",0
"利島",0
"新島",0
"神津島",0
"三宅",0
"御蔵島",0
"八丈",0
"青ヶ島",0
"小笠原",0
"都外",22
"調査中",158
