"name_ja","npatients"
"千代田",5
"中央",21
"港",67
"新宿",39
"文京",7
"台東",27
"墨田",11
"江東",14
"品川",38
"目黒",40
"大田",28
"世田谷",93
"渋谷",32
"中野",29
"杉並",44
"豊島",17
"北",9
"荒川",5
"板橋",15
"練馬",39
"足立",20
"葛飾",18
"江戸川",13
"八王子",6
"立川",0
"武蔵野",4
"三鷹",8
"青梅",1
"府中",1
"昭島",1
"調布",3
"町田",11
"小金井",2
"小平",3
"日野",6
"東村山",1
"国分寺",0
"国立",0
"福生",0
"狛江",3
"東大和",1
"清瀬",1
"東久留米",2
"武蔵村山",1
"多摩",0
"稲城",3
"羽村",3
"あきる野",0
"西東京",9
"瑞穂",0
"日の出",0
"檜原",0
"奥多摩",0
"大島",0
"利島",0
"新島",0
"神津島",0
"三宅",0
"御蔵島",0
"八丈",0
"青ヶ島",0
"小笠原",0
"都外",27
"調査中",162
