"name_ja","npatients"
"千代田",9
"中央",31
"港",107
"新宿",84
"文京",12
"台東",35
"墨田",14
"江東",26
"品川",56
"目黒",51
"大田",51
"世田谷",124
"渋谷",49
"中野",46
"杉並",76
"豊島",31
"北",13
"荒川",7
"板橋",30
"練馬",48
"足立",28
"葛飾",29
"江戸川",18
"八王子",11
"立川",3
"武蔵野",5
"三鷹",12
"青梅",1
"府中",5
"昭島",3
"調布",6
"町田",20
"小金井",5
"小平",5
"日野",8
"東村山",1
"国分寺",2
"国立",0
"福生",0
"狛江",5
"東大和",3
"清瀬",1
"東久留米",2
"武蔵村山",1
"多摩",0
"稲城",3
"羽村",5
"あきる野",1
"西東京",10
"瑞穂",0
"日の出",0
"檜原",0
"奥多摩",0
"大島",0
"利島",0
"新島",0
"神津島",0
"三宅",0
"御蔵島",0
"八丈",0
"青ヶ島",0
"小笠原",0
"都外",42
"調査中",203
