"国・地域","感染者","死亡者"
"中国",82827,4632
"香港",1038,4
"マカオ",45,0
"日本",13182,348
"韓国",10728,242
"台湾",429,6
"シンガポール",12693,12
"ネパール",49,0
"タイ",2907,51
"ベトナム",270,0
"マレーシア",5742,96
"豪州",6687,79
"米国",933933,53449
"カナダ",45341,2465
"フランス",124114,22614
"ドイツ",156418,5873
"カンボジア",122,0
"スリランカ",452,7
"アラブ首長国連邦",9813,64
"フィンランド",4475,177
"フィリピン",7294,494
"インド",24942,779
"イタリア",195351,26384
"英国",148377,20319
"ロシア",74505,681
"スウェーデン",18177,2192
"スペイン",223759,22902
"ベルギー",45325,6917
"エジプト",4319,294
"イラン",89328,5650
"イスラエル",15298,194
"レバノン",704,22
"クウェート",2892,15
"バーレーン",2588,8
"オマーン",1905,10
"アフガニスタン",1463,43
"イラク",1763,86
"アルジェリア",3256,415
"オーストリア",15117,536
"スイス",28813,1328
"クロアチア",2016,51
"ブラジル",58509,4016
"ジョージア",456,5
"パキスタン",12644,253
"北マケドニア",1367,57
"ギリシア",2506,130
"ノルウェー",7493,191
"ルーマニア",10635,552
"デンマーク",8643,403
"エストニア",1635,46
"オランダ",37190,4409
"サンマリノ",513,40
"リトアニア",1426,40
"ナイジェリア",1095,32
"アイスランド",1790,10
"アゼルバイジャン",1617,21
"ベラルーシ",9590,63
"ニュージーランド",1461,18
"メキシコ",12872,1069
"カタール",9358,10
"ルクセンブルク",3711,85
"モナコ",94,1
"エクアドル",22719,576
"アイルランド",18561,1063
"チェコ",7333,215
"アルメニア",1677,27
"ドミニカ共和国",5926,267
"インドネシア",8607,689
"アンドラ",738,40
"ポルトガル",23392,880
"ラトビア",804,12
"セネガル",614,7
"サウジアラビア",16299,127
"ヨルダン",444,7
"アルゼンチン",3607,167
"チリ",12858,174
"ウクライナ",8125,201
"モロッコ",3897,158
"チュニジア",939,38
"ハンガリー",2443,262
"リヒテンシュタイン",81,1
"ポーランド",11273,494
"スロベニア",1388,80
"パレスチナ",495,2
"ボスニア・ヘルツェゴビナ",1486,54
"南アフリカ",4361,79
"ジブラルタル（英領）",133,0
"ブータン",7,0
"カメルーン",1518,49
"トーゴ",96,6
"セルビア",6630,144
"スロバキア",1373,17
"バチカン",9,0
"コロンビア",5142,215
"ペルー",25331,700
"コスタリカ",693,6
"マルタ",448,3
"パラグアイ",223,9
"バングラデシュ",4998,131
"モルドバ",3304,87
"ブルガリア",1247,54
"モルディブ",141,0
"ブルネイ",138,1
"キプロス",810,17
"アルバニア",712,28
"ブルキナファソ",629,41
"チャンネル諸島（英王室属領）",1,0
"モンゴル",37,0
"パナマ",5338,146
"ボリビア",807,43
"ホンジュラス",591,47
"コンゴ民主共和国",416,28
"ジャマイカ",288,7
"トルコ",107773,2706
"コートジボワール",1077,14
"ガイアナ",73,7
"ガーンジー（英領）",245,10
"ジャージー（英領）",276,19
"ケイマン諸島（英領）",66,1
"キューバ",1337,49
"トリニダード・トバゴ",115,8
"スーダン",213,16
"ギニア",996,6
"エチオピア",122,3
"ケニア",343,14
"グアテマラ",430,11
"ベネズエラ",318,10
"ガボン",172,3
"ガーナ",1279,10
"アンティグア・バーブーダ",24,3
"カザフスタン",2601,25
"ウルグアイ",563,12
"アルバ",100,2
"ナミビア",16,0
"セーシェル",11,0
"セントルシア",15,0
"ルワンダ",183,0
"エスワティニ",56,1
"キュラソー",14,1
"スリナム",10,1
"モーリタニア",7,1
"コソボ",510,19
"コンゴ共和国",200,6
"セントビンセント及びクレナディーン諸島",14,0
"中央アフリカ",16,0
"ウズベキスタン",1862,8
"赤道ギニア",214,1
"リベリア",120,8
"タンザニア",299,10
"ソマリア",390,16
"ベナン",54,1
"バハマ",73,11
"モンテネグロ",320,5
"バルバドス",77,6
"キルギス",665,8
"ザンビア",84,3
"ジブチ",1008,2
"ガンビア",10,1
"モーリシャス",331,9
"フィジー",18,0
"エルサルバドル",274,8
"チャド",46,0
"ニカラグア",12,3
"モントセラト（英領）",11,0
"マダガスカル",123,0
"ハイチ",72,5
"アンゴラ",25,2
"ニジェール",684,24
"パプアニューギニア",8,0
"ジンバブエ",29,4
"カーボベルデ",90,1
"エリトリア",39,0
"東ティモール",24,0
"マン島（英王室属領）",308,17
"ウガンダ",75,0
"ニューカレドニア",18,0
"シリア",42,3
"モザンビーク",70,0
"グレナダ",18,0
"ベリーズ",18,2
"バミューダ（英領）",99,5
"ミャンマー",144,5
"ドミニカ国",16,0
"ラオス",19,0
"タークス・カイコス諸島（英領）",11,1
"ギニアビサウ",52,0
"マリ",370,21
"セントクリストファー・ネービス",15,0
"リビア",61,2
"アンギラ（英領）",3,0
"バージン諸島（英領）",5,1
"シエラレオネ",82,3
"ブルンジ",11,1
"ボツワナ",22,1
"マラウイ",33,3
"ボネール、シント・ユースタティウス及びサバ",5,0
"フォークランド諸島（英領）",12,0
"西サハラ",6,0
"南スーダン共和国",5,0
"サントメ・プリンシペ",4,0
"イエメン共和国",1,0
"その他",712,13
