受付_年月日,全国地方公共団体コード, 都道府県名, 市区町村名 ,入院,退院,死亡
2020/4/15,350001,山口県,,15,5,0
2020/4/16,350001,山口県,,21,7,0
2020/4/17,350001,山口県,,21,7,0
2020/4/18,350001,山口県,,21,7,0
2020/4/19,350001,山口県,,15,15,0
2020/4/20,350001,山口県,,15,15,0
2020/4/21,350001,山口県,,16,15,0
2020/4/22,350001,山口県,,16,15,0
2020/4/23,350001,山口県,,15,16,0
2020/4/24,350001,山口県,,14,17,0
2020/4/25,350001,山口県,,13,18,0
2020/4/26,350001,山口県,,9,22,0
2020/4/27,350001,山口県,,8,24,0
2020/4/28,350001,山口県,,8,24,0
2020/4/29,350001,山口県,,7,25,0
2020/4/30,350001,山口県,,4,28,0
2020/5/1,350001,山口県,,6,28,0
2020/5/2,350001,山口県,,6,28,0
2020/5/3,350001,山口県,,7,28,0
2020/5/4,350001,山口県,,8,28,0
2020/5/5,350001,山口県,,6,31,0
2020/5/6,350001,山口県,,6,31,0
2020/5/7,350001,山口県,,6,31,0
2020/5/8,350001,山口県,,4,33,0
2020/5/9,350001,山口県,,4,33,0
2020/5/10,350001,山口県,,4,33,0
2020/5/11,350001,山口県,,4,33,0
2020/5/12,350001,山口県,,4,33,0
2020/5/13,350001,山口県,,4,33,0
2020/5/14,350001,山口県,,4,33,0
2020/5/15,350001,山口県,,4,33,0
2020/5/16,350001,山口県,,4,33,0
2020/5/17,350001,山口県,,3,34,0
2020/5/18,350001,山口県,,3,34,0
2020/5/19,350001,山口県,,3,34,0
2020/5/20,350001,山口県,,3,34,0
2020/5/21,350001,山口県,,3,34,0
2020/5/22,350001,山口県,,3,34,0
2020/5/23,350001,山口県,,3,34,0
2020/5/24,350001,山口県,,3,34,0
2020/5/25,350001,山口県,,2,35,0
2020/5/26,350001,山口県,,2,35,0
2020/5/27,350001,山口県,,2,35,0
2020/5/28,350001,山口県,,2,35,0
2020/5/29,350001,山口県,,2,35,0
2020/5/30,350001,山口県,,2,35,0
2020/5/31,350001,山口県,,2,35,0
2020/6/1,350001,山口県,,2,35,0
2020/6/2,350001,山口県,,1,36,0
2020/6/3,350001,山口県,,1,36,0
2020/6/4,350001,山口県,,1,36,0
2020/6/5,350001,山口県,,1,36,0
2020/6/6,350001,山口県,,1,36,0
2020/6/7,350001,山口県,,1,36,0
2020/6/8,350001,山口県,,1,36,0
2020/6/9,350001,山口県,,1,36,0
2020/6/10,350001,山口県,,1,36,0
2020/6/11,350001,山口県,,1,36,0
2020/6/12,350001,山口県,,1,36,0
2020/6/13,350001,山口県,,1,36,0
2020/6/14,350001,山口県,,1,36,0
2020/6/15,350001,山口県,,1,36,0
2020/6/16,350001,山口県,,1,36,0
2020/6/17,350001,山口県,,1,36,0
2020/6/18,350001,山口県,,1,36,0
2020/6/19,350001,山口県,,1,36,0
2020/6/20,350001,山口県,,1,36,0
2020/6/21,350001,山口県,,1,36,0
2020/6/22,350001,山口県,,0,37,0
2020/6/23,350001,山口県,,0,37,0
2020/6/24,350001,山口県,,0,37,0
2020/6/25,350001,山口県,,0,37,0
2020/6/26,350001,山口県,,0,37,0
2020/6/27,350001,山口県,,0,37,0
2020/6/28,350001,山口県,,0,37,0
2020/6/29,350001,山口県,,0,37,0
2020/6/30,350001,山口県,,0,37,0
2020/7/1,350001,山口県,,0,37,0
2020/7/2,350001,山口県,,0,37,0
2020/7/3,350001,山口県,,0,37,0
2020/7/4,350001,山口県,,0,37,0
2020/7/5,350001,山口県,,0,37,0
2020/7/6,350001,山口県,,0,37,0
2020/7/7,350001,山口県,,0,37,0
2020/7/8,350001,山口県,,0,37,0
2020/7/9,350001,山口県,,0,37,0
2020/7/10,350001,山口県,,0,37,0
2020/7/11,350001,山口県,,0,37,0
2020/7/12,350001,山口県,,0,37,0
2020/7/13,350001,山口県,,0,37,0
2020/7/14,350001,山口県,,0,37,0
2020/7/15,350001,山口県,,0,37,0
2020/7/16,350001,山口県,,1,37,0
2020/7/17,350001,山口県,,4,37,0
2020/7/18,350001,山口県,,5,37,0
2020/7/19,350001,山口県,,5,37,0
2020/7/20,350001,山口県,,5,37,0
2020/7/21,350001,山口県,,5,37,0
2020/7/22,350001,山口県,,6,37,0
2020/7/23,350001,山口県,,10,37,0
2020/7/24,350001,山口県,,10,37,0
2020/7/25,350001,山口県,,10,37,0
2020/7/26,350001,山口県,,10,39,0
2020/7/27,350001,山口県,,11,39,0
2020/7/28,350001,山口県,,12,39,0
2020/7/29,350001,山口県,,14,39,0
2020/7/30,350001,山口県,,14,39,0
2020/7/31,350001,山口県,,12,41,0
2020/8/1,350001,山口県,,17,41,0
2020/8/2,350001,山口県,,15,43,0
2020/8/3,350001,山口県,,15,43,0
2020/8/4,350001,山口県,,15,43,0
2020/8/5,350001,山口県,,12,48,0
2020/8/6,350001,山口県,,12,48,0
2020/8/7,350001,山口県,,14,50,0
2020/8/8,350001,山口県,,20,50,0
2020/8/9,350001,山口県,,24,52,0
2020/8/10,350001,山口県,,25,53,0
2020/8/11,350001,山口県,,25,53,0
2020/8/12,350001,山口県,,25,53,0
2020/8/13,350001,山口県,,24,57,0
2020/8/14,350001,山口県,,24,58,0
2020/8/15,350001,山口県,,24,58,0
2020/8/16,350001,山口県,,25,58,0
2020/8/17,350001,山口県,,18,65,0
2020/8/18,350001,山口県,,18,66,0
2020/8/19,350001,山口県,,22,67,0
2020/8/20,350001,山口県,,30,70,0
2020/8/21,350001,山口県,,30,70,0
2020/8/22,350001,山口県,,33,74,0
2020/8/23,350001,山口県,,35,76,0
2020/8/24,350001,山口県,,38,76,0
2020/8/25,350001,山口県,,44,76,0
2020/8/26,350001,山口県,,58,77,0
2020/8/27,350001,山口県,,60,81,0
2020/8/28,350001,山口県,,64,87,0
2020/8/29,350001,山口県,,75,83,0
2020/8/30,350001,山口県,,80,84,0
2020/8/31,350001,山口県,,79,89,0
2020/9/1,350001,山口県,,81,89,0
2020/9/2,350001,山口県,,82,93,0
2020/9/3,350001,山口県,,75,103,0
2020/9/4,350001,山口県,,75,103,0
2020/9/5,350001,山口県,,73,108,0
2020/9/6,350001,山口県,,72,112,0
2020/9/7,350001,山口県,,55,129,0
2020/9/8,350001,山口県,,55,129,0
2020/9/9,350001,山口県,,41,147,1
2020/9/10,350001,山口県,,42,150,1
2020/9/11,350001,山口県,,42,151,1
2020/9/12,350001,山口県,,42,151,1
2020/9/13,350001,山口県,,42,151,1
2020/9/14,350001,山口県,,41,152,1
2020/9/15,350001,山口県,,25,168,1
2020/9/16,350001,山口県,,25,168,1
2020/9/17,350001,山口県,,23,171,1
2020/9/18,350001,山口県,,23,171,1
2020/9/19,350001,山口県,,21,173,1
2020/9/20,350001,山口県,,20,174,1
2020/9/21,350001,山口県,,16,177,2
2020/9/22,350001,山口県,,9,184,2
2020/9/23,350001,山口県,,9,184,2
2020/9/24,350001,山口県,,7,186,2
2020/9/25,350001,山口県,,5,188,2
2020/9/26,350001,山口県,,5,189,2
2020/9/27,350001,山口県,,6,190,2
2020/9/28,350001,山口県,,6,190,2
2020/9/29,350001,山口県,,9,190,2
2020/9/30,350001,山口県,,10,190,2
2020/10/1,350001,山口県,,8,191,2
2020/10/2,350001,山口県,,7,192,2
2020/10/3,350001,山口県,,6,193,2
2020/10/4,350001,山口県,,6,193,2
2020/10/5,350001,山口県,,6,193,2
2020/10/6,350001,山口県,,7,195,2
2020/10/7,350001,山口県,,7,197,2
2020/10/8,350001,山口県,,8,197,2
2020/10/9,350001,山口県,,9,197,2
2020/10/10,350001,山口県,,10,197,2
2020/10/11,350001,山口県,,10,197,2
2020/10/12,350001,山口県,,9,198,2
2020/10/13,350001,山口県,,9,198,2
2020/10/14,350001,山口県,,8,199,2
2020/10/15,350001,山口県,,6,201,2
2020/10/16,350001,山口県,,4,203,2
2020/10/17,350001,山口県,,4,203,2
2020/10/18,350001,山口県,,2,205,2
2020/10/19,350001,山口県,,2,205,2
2020/10/20,350001,山口県,,2,205,2
2020/10/21,350001,山口県,,3,205,2
2020/10/22,350001,山口県,,3,206,2
2020/10/23,350001,山口県,,5,206,2
2020/10/24,350001,山口県,,5,206,2
2020/10/25,350001,山口県,,5,206,2
2020/10/26,350001,山口県,,5,206,2
2020/10/27,350001,山口県,,5,206,2
2020/10/28,350001,山口県,,4,207,2
2020/10/29,350001,山口県,,4,207,2
2020/10/30,350001,山口県,,4,207,2
2020/10/31,350001,山口県,,4,207,2
2020/11/1,350001,山口県,,4,207,2
2020/11/2,350001,山口県,,4,207,2
2020/11/3,350001,山口県,,4,209,2
2020/11/4,350001,山口県,,4,209,2
2020/11/5,350001,山口県,,12,209,2
2020/11/6,350001,山口県,,12,209,2
2020/11/7,350001,山口県,,14,209,2
2020/11/8,350001,山口県,,14,209,2
2020/11/9,350001,山口県,,13,210,2
2020/11/10,350001,山口県,,18,211,2
2020/11/11,350001,山口県,,20,211,2
2020/11/12,350001,山口県,,21,211,2
2020/11/13,350001,山口県,,34,211,2
2020/11/14,350001,山口県,,34,211,2
2020/11/15,350001,山口県,,49,214,2
2020/11/16,350001,山口県,,49,215,2
2020/11/17,350001,山口県,,58,217,2
2020/11/18,350001,山口県,,59,222,2
2020/11/19,350001,山口県,,76,225,2
2020/11/20,350001,山口県,,76,225,2
2020/11/21,350001,山口県,,109,230,2
2020/11/22,350001,山口県,,116,230,2
2020/11/23,350001,山口県,,120,230,2
2020/11/24,350001,山口県,,121,230,2
2020/11/25,350001,山口県,,119,238,2
2020/11/26,350001,山口県,,117,244,2
2020/11/27,350001,山口県,,112,254,2
2020/11/28,350001,山口県,,105,272,2
2020/11/29,350001,山口県,,91,287,2
2020/11/30,350001,山口県,,77,303,2
2020/12/1,350001,山口県,,61,324,2
2020/12/2,350001,山口県,,66,326,2
2020/12/3,350001,山口県,,59,337,2
2020/12/4,350001,山口県,,59,341,2
2020/12/5,350001,山口県,,57,346,2
2020/12/6,350001,山口県,,51,353,2
2020/12/7,350001,山口県,,52,356,2
2020/12/8,350001,山口県,,52,360,2
2020/12/9,350001,山口県,,51,365,2
2020/12/10,350001,山口県,,54,367,2
2020/12/11,350001,山口県,,51,372,2
2020/12/12,350001,山口県,,52,375,2
2020/12/13,350001,山口県,,47,382,2
2020/12/14,350001,山口県,,43,388,2
2020/12/15,350001,山口県,,46,388,2
2020/12/16,350001,山口県,,41,394,2
2020/12/17,350001,山口県,,45,394,2
2020/12/18,350001,山口県,,50,397,2
2020/12/19,350001,山口県,,53,399,2
2020/12/20,350001,山口県,,56,402,2
2020/12/21,350001,山口県,,54,408,2
2020/12/22,350001,山口県,,57,408,3
2020/12/23,350001,山口県,,68,411,3
2020/12/24,350001,山口県,,76,411,3
2020/12/25,350001,山口県,,83,413,3
2020/12/26,350001,山口県,,93,416,3
2020/12/27,350001,山口県,,97,420,3
2020/12/28,350001,山口県,,103,427,3
2020/12/29,350001,山口県,,116,438,3
2020/12/30,350001,山口県,,117,448,3
2020/12/31,350001,山口県,,120,460,3
2021/1/1,350001,山口県,,118,464,3
2021/1/2,350001,山口県,,115,470,3
2021/1/3,350001,山口県,,114,476,3
2021/1/4,350001,山口県,,122,484,3
2021/1/5,350001,山口県,,129,496,3
2021/1/6,350001,山口県,,117,516,3
2021/1/7,350001,山口県,,124,525,3
2021/1/8,350001,山口県,,121,540,3
2021/1/9,350001,山口県,,124,554,3
2021/1/10,350001,山口県,,143,556,3
2021/1/11,350001,山口県,,144,568,3
2021/1/12,350001,山口県,,149,572,4
2021/1/13,350001,山口県,,149,584,5
2021/1/14,350001,山口県,,151,600,5
2021/1/15,350001,山口県,,160,610,5
2021/1/16,350001,山口県,,187,620,5
2021/1/17,350001,山口県,,191,633,5
2021/1/18,350001,山口県,,172,740,5
2021/1/19,350001,山口県,,172,740,5
2021/1/20,350001,山口県,,172,740,5
2021/1/21,350001,山口県,,307,683,6
2021/1/22,350001,山口県,,319,701,6
2021/1/23,350001,山口県,,351,718,8
2021/1/24,350001,山口県,,363,729,8
2021/1/25,350001,山口県,,366,735,9
2021/1/26,350001,山口県,,384,756,11
2021/1/27,350001,山口県,,368,789,12
2021/1/28,350001,山口県,,360,816,14
2021/1/29,350001,山口県,,351,837,16
