都道府県,発症者,入院患者,重症患者,ICU,HCU,SCU
北海道,18241 ,10368 ,346 ,222,165,108
青森県,4366 ,2554 ,85 ,38,30,6
岩手県,4302 ,2500 ,83 ,34,26,0
宮城県,7825 ,4133 ,139 ,111,46,12
秋田県,3467 ,2174 ,72 ,30,40,12
山形県,3773 ,2212 ,74 ,35,38,0
福島県,6382 ,3635 ,121 ,81,64,12
茨城県,9764 ,5288 ,177 ,118,119,0
栃木県,6566 ,3466 ,116 ,74,43,3
群馬県,6621 ,3611 ,121 ,51,90,27
埼玉県,24489 ,12408 ,418 ,262,325,27
千葉県,21056 ,10929 ,367 ,275,228,83
東京都,45212 ,20570 ,699 ,848 ,590 ,129 
神奈川県,30492 ,14879 ,503 ,382,364,77
新潟県,7771 ,4456 ,149 ,32,22,0
富山県,3619 ,2076 ,69 ,28,55,6
石川県,3878 ,2099 ,70 ,50,100,9
福井県,2631 ,1462 ,49 ,36,17,18
山梨県,2776 ,1550 ,52 ,22,14,0
長野県,7076 ,4039 ,135 ,78,160,39
岐阜県,6773 ,3715 ,124 ,72,46,0
静岡県,12417 ,6798 ,228 ,112,106,0
愛知県,24882 ,12106 ,409 ,297,84,12
三重県,6059 ,3290 ,110 ,28,70,23
滋賀県,4686 ,2342 ,79 ,56,14,12
京都府,8807 ,4701 ,158 ,134,51,54
大阪府,29565 ,15237 ,513 ,513,505,153
兵庫県,18593 ,9964 ,334 ,304,262,105
奈良県,4576 ,2568 ,86 ,51,47,10
和歌山県,3223 ,1860 ,62 ,32,30,0
鳥取県,1933 ,1106 ,37 ,18,58,0
島根県,2366 ,1417 ,47 ,41,4,0
岡山県,6487 ,3559 ,119 ,186,72,22
広島県,9585 ,5150 ,173 ,99,62,33
山口県,4776 ,2840 ,94 ,68,45,0
徳島県,2548 ,1492 ,50 ,21,14,9
香川県,3305 ,1875 ,63 ,64,74,6
愛媛県,4672 ,2718 ,91 ,70,40,3
高知県,2459 ,1482 ,49 ,44,36,37
福岡県,17229 ,9029 ,303 ,327,460,63
佐賀県,2775 ,1536 ,51 ,42,24,0
長崎県,4607 ,2668 ,89 ,64,95,6
熊本県,6005 ,3386 ,113 ,79,86,3
大分県,3953 ,2298 ,77 ,46,33,0
宮崎県,3707 ,2147 ,72 ,72,34,0
鹿児島県,5501 ,3179 ,106 ,110,40,31
沖縄県,4685 ,2149 ,73 ,139,118,0
