name,name_jp,population_jp,population_jp_u14,population_jp_15to64,population_jp_o65
Hokkaido,北海道,5216615,561558,2959481,1695576
Aomori,青森県,1235971,129567,686364,420040
Iwate,岩手県,1224194,136525,677709,409960
Miyagi,宮城県,2296113,270527,1360305,665281
Akita,秋田県,955838,92318,501385,362135
Yamagata,山形県,1072473,123142,586259,363072
Fukushima,福島県,1827632,204355,1029174,594103
Ibaraki,茨城県,2844791,334448,1655088,855255
Tochigi,栃木県,1930235,234328,1138540,557367
Gunma,群馬県,1926268,228641,1112935,584692
Saitama,埼玉県,7272830,871221,4421637,1979972
Chiba,千葉県,6204651,724047,3726708,1753896
Tokyo,東京都,13732951,1534193,8983349,3215409
Kanagawa,神奈川県,9141394,1092342,5692899,2356153
Niigata,新潟県,2223647,255406,1239588,728653
Toyama,富山県,1034691,117290,577728,339673
Ishikawa,石川県,1133021,139469,654602,338950
Fukui,福井県,764081,96431,430529,237121
Yamanashi,山梨県,800729,91880,456631,252218
Nagano,長野県,2033235,245461,1128752,659022
Gifu,岐阜県,1972964,246309,1125425,601230
Shizuoka,静岡県,3615586,444825,2070481,1100280
Aichi,愛知県,7505224,984631,4611330,1909263
Mie,三重県,1768098,216960,1019434,531704
Shiga,滋賀県,1409153,196166,842371,370616
Kyoto,京都府,2573772,296261,1518762,758749
Osaka,大阪府,8732289,1026896,5264215,2441178
Hyogo,兵庫県,5443224,661563,3174864,1606797
Nara,奈良県,1320075,155718,746377,417980
Wakayama,和歌山県,921152,107233,509514,304405
Tottori,鳥取県,556367,69681,306375,180311
Shimane,島根県,669797,81489,355208,233100
Okayama,岡山県,1889729,236635,1077139,575955
Hiroshima,広島県,2814088,364058,1620685,829345
Yamaguchi,山口県,1352379,157683,727697,466999
Tokushima,徳島県,723087,79833,398106,245148
Kagawa,香川県,951400,114945,530820,305635
Ehime,愛媛県,1332802,156775,730723,445304
Kochi,高知県,691090,76335,370062,244693
Fukuoka,福岡県,5097530,668218,2983258,1446054
Saga,佐賀県,810484,110319,451802,248363
Nagasaki,長崎県,1320596,165646,718983,435967
Kumamoto,熊本県,1742273,233046,959598,549629
Oita,大分県,1130771,139099,615668,376004
Miyazaki,宮崎県,1066719,142582,573889,350248
Kagoshima,鹿児島県,1583263,210039,854859,518365
Okinawa,沖縄県,1459570,248865,880597,330108
