都道府県名,入院患者受入確保病床数,入院患者受入確保想定病床数,宿泊施設受入可能室数
北海道,499,1206,260
青森県,99,225,30
岩手県,38,166,
宮城県,388,400,200
秋田県,105,105,16
山形県,150,150,
福島県,229,800,200
茨城県,151,600,175
栃木県,130,250,111
群馬県,152,180,150
埼玉県,575,600,1055
千葉県,807,1700,526
東京都,2000,4000,2865
神奈川県,1082,2800,2303
新潟県,411,766,50
富山県,205,500,100
石川県,170,170,170
福井県,122,350,115
山梨県,80,400,21
長野県,300,300,200
岐阜県,353,458,265
静岡県,200,200,
愛知県,445,1500,1300
三重県,171,171,64
滋賀県,109,2000,62
京都府,252,400,338
大阪府,1074,3000,1565
兵庫県,509,509,578
奈良県,240,500,108
和歌山県,117,124,
鳥取県,322,300,412
島根県,253,253,45
岡山県,117,300,
広島県,194,270,130
山口県,320,320,594
徳島県,130,200,200
香川県,43,125,101
愛媛県,70,200,67
高知県,77,200,16
福岡県,430,1800,826
佐賀県,111,150,230
長崎県,102,903,
熊本県,312,312,
大分県,258,300,65
宮崎県,106,231,150
鹿児島県,253,253,188
沖縄県,225,430,262
