"自治体名","新型コロナウイルス対策感染症病床数","発表日","出典","備考"
"北海道",759,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数499床+宿泊療養施設260室"
"青森県",129,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数99床+宿泊療養施設30室"
"岩手県",38,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数38床"
"宮城県",588,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数388床+宿泊療養施設200室"
"秋田県",121,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数105床+宿泊療養施設16室"
"山形県",150,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数150床"
"福島県",429,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数229床+宿泊療養施設200室"
"茨城県",326,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数151床+宿泊療養施設175室"
"栃木県",241,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数130床+宿泊療養施設111室"
"群馬県",302,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数152床+宿泊療養施設150室"
"埼玉県",1630,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数575床+宿泊療養施設1055室"
"千葉県",1333,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数807床+宿泊療養施設526室"
"東京都",4865,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数2000床+宿泊療養施設2865室"
"神奈川県",3385,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数1082床+宿泊療養施設2303室"
"新潟県",461,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数411床+宿泊療養施設50室"
"富山県",305,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数205床+宿泊療養施設100室"
"石川県",340,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数170床+宿泊療養施設170室"
"福井県",237,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数122床+宿泊療養施設115室"
"山梨県",101,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数80床+宿泊療養施設21室"
"長野県",500,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数300床+宿泊療養施設200室"
"岐阜県",618,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数353床+宿泊療養施設265室"
"静岡県",200,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数200床"
"愛知県",1745,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数445床+宿泊療養施設1300室"
"三重県",235,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数171床+宿泊療養施設64室"
"滋賀県",171,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数109床+宿泊療養施設62室"
"京都府",590,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数252床+宿泊療養施設338室"
"大阪府",2639,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数1074床+宿泊療養施設1565室"
"兵庫県",1087,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数509床+宿泊療養施設578室"
"奈良県",348,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数240床+宿泊療養施設108室"
"和歌山県",117,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数117床"
"鳥取県",734,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数322床+宿泊療養施設412室"
"島根県",298,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数253床+宿泊療養施設45室"
"岡山県",117,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数117床"
"広島県",324,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数194床+宿泊療養施設130室"
"山口県",914,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数320床+宿泊療養施設594室"
"徳島県",330,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数130床+宿泊療養施設200室"
"香川県",144,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数43床+宿泊療養施設101室"
"愛媛県",137,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数70床+宿泊療養施設67室"
"高知県",93,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数77床+宿泊療養施設16室"
"福岡県",1256,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数430床+宿泊療養施設826室"
"佐賀県",341,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数111床+宿泊療養施設230室"
"長崎県",102,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数102床"
"熊本県",312,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数312床"
"大分県",323,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数258床+宿泊療養施設65室"
"宮崎県",256,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数106床+宿泊療養施設150室"
"鹿児島県",441,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数253床+宿泊療養施設188室"
"沖縄県",487,"2020/05/01","https://www.mhlw.go.jp/content/10900000/000628694.pdf","医療病床数225床+宿泊療養施設262室"
