日付,死亡者数
2020/2/14,1
2020/2/15,1
2020/2/16,1
2020/2/17,1
2020/2/18,1
2020/2/19,1
2020/2/20,1
2020/2/21,1
2020/2/22,1
2020/2/23,1
2020/2/24,1
2020/2/25,1
2020/2/26,1
2020/2/27,3
2020/2/28,4
2020/2/29,5
2020/3/1,5
2020/3/2,6
2020/3/3,6
2020/3/4,6
2020/3/5,6
2020/3/6,6
2020/3/7,6
2020/3/8,6
2020/3/9,7
2020/3/10,9
2020/3/11,12
2020/3/12,15
2020/3/13,19
2020/3/14,21
2020/3/15,22
2020/3/16,24
2020/3/17,28
2020/3/18,29
2020/3/19,31
2020/3/20,33
2020/3/21,35
2020/3/22,36
2020/3/23,41
2020/3/24,42
2020/3/25,43
2020/3/26,45
2020/3/27,46
2020/3/28,49
2020/3/29,52
2020/3/30,54
2020/3/31,56
2020/4/1,57
2020/4/2,60
2020/4/3,63
2020/4/4,69
2020/4/5,70
2020/4/6,73
2020/4/7,80
2020/4/8,81
2020/4/9,85
2020/4/10,88
2020/4/11,94
2020/4/12,98
2020/4/13,102
2020/4/14,109
2020/4/15,119
2020/4/16,136
2020/4/17,148
2020/4/18,154
2020/4/19,161
2020/4/20,171
2020/4/21,186
2020/4/22,277
2020/4/23,287
2020/4/24,317
2020/4/25,334
2020/4/26,348
2020/4/27,351
2020/4/28,376
2020/4/29,389
2020/4/30,415
2020/5/1,432
2020/5/2,458
2020/5/3,492
2020/5/4,510
2020/5/5,521
2020/5/6,543
2020/5/7,551
2020/5/8,600
2020/5/9,613
2020/5/10,621
2020/5/11,643
2020/5/12,668
2020/5/13,687
2020/5/14,710
2020/5/15,725
2020/5/16,744
2020/5/17,749
2020/5/18,763
2020/5/19,771
2020/5/20,777
2020/5/21,796
2020/5/22,808
2020/5/23,820
2020/5/24,830
2020/5/25,846
2020/5/26,858
2020/5/27,867
2020/5/28,874
2020/5/29,886
2020/5/30,891
2020/5/31,892
2020/6/1,894
2020/6/2,900
2020/6/3,903
2020/6/4,907
2020/6/5,914
2020/6/6,916
2020/6/7,916
2020/6/8,916
2020/6/9,919
2020/6/10,920
2020/6/11,922
2020/6/12,924
2020/6/13,925
2020/6/14,925
2020/6/15,927
2020/6/16,931
2020/6/17,935
2020/6/18,935
2020/6/19,952
2020/6/20,953
2020/6/21,953
2020/6/22,955
2020/6/23,963
2020/6/24,967
2020/6/25,968
2020/6/26,970
2020/6/27,970
2020/6/28,971
2020/6/29,971
2020/6/30,973
2020/7/1,974
2020/7/2,975
2020/7/3,976
2020/7/4,976
2020/7/5,976
