Date,ALL,Hokkaido,Aomori,Iwate,Miyagi,Akita,Yamagata,Fukushima,Ibaraki,Tochigi,Gunma,Saitama,Chiba,Tokyo,Kanagawa,Niigata,Toyama,Ishikawa,Fukui,Yamanashi,Nagano,Gifu,Shizuoka,Aichi,Mie,Shiga,Kyoto,Osaka,Hyogo,Nara,Wakayama,Tottori,Shimane,Okayama,Hiroshima,Yamaguchi,Tokushima,Kagawa,Ehime,Kochi,Fukuoka,Saga,Nagasaki,Kumamoto,Oita,Miyazaki,Kagoshima,Okinawa
2020/5/9,613,48,0,0,1,0,0,0,9,0,18,41,39,180,47,0,13,16,8,0,0,6,1,34,1,1,13,59,32,2,2,0,0,0,2,0,0,0,3,3,24,0,1,3,1,0,0,5
2020/5/10,621,51,0,0,1,0,0,0,9,0,18,42,40,180,47,0,13,16,8,0,0,6,1,34,1,1,13,59,34,2,2,0,0,0,2,0,1,0,3,3,24,0,1,3,1,0,0,5
2020/5/11,643,56,0,0,1,0,0,0,9,0,18,42,40,189,50,0,14,17,8,0,0,6,1,34,1,1,13,61,34,2,3,0,0,0,2,0,1,0,3,3,24,0,1,3,1,0,0,5
2020/5/12,668,62,0,0,1,0,0,0,9,0,18,43,40,196,57,0,15,19,8,0,0,6,1,34,1,1,13,61,34,2,3,0,0,0,2,0,1,0,3,3,24,0,1,3,1,0,0,6
2020/5/13,687,68,0,0,1,0,0,0,9,0,18,44,40,203,59,0,16,19,8,0,0,6,1,34,1,1,13,62,35,2,3,0,0,0,2,0,1,0,3,3,24,0,1,3,1,0,0,6
2020/5/14,710,70,0,0,1,0,0,0,9,0,18,45,40,212,62,0,18,20,8,0,0,7,1,34,1,1,13,63,37,2,3,0,0,0,2,0,1,0,3,3,25,0,1,3,1,0,0,6
2020/5/15,725,72,0,0,1,0,0,0,9,0,18,45,42,219,63,0,18,20,8,0,0,7,1,34,1,1,13,66,37,2,3,0,0,0,2,0,1,0,3,3,25,0,1,3,1,0,0,6
2020/5/16,744,73,0,0,1,0,0,0,9,0,18,46,42,230,63,0,18,21,8,0,0,7,1,34,1,1,13,70,38,2,3,0,0,0,2,0,1,0,3,3,25,0,1,3,1,0,0,6
2020/5/17,749,74,0,0,1,0,0,0,9,0,18,46,42,237,63,0,18,21,8,0,0,7,1,34,1,1,13,70,38,2,3,0,0,0,2,0,1,0,3,3,25,0,1,0,1,0,0,6
2020/5/18,763,75,1,0,1,0,0,0,9,0,18,46,42,241,64,0,20,22,8,0,0,7,1,34,1,1,14,70,38,2,3,0,0,0,2,0,1,0,3,3,25,0,1,3,1,0,0,6
2020/5/19,771,76,1,0,1,0,0,0,9,0,18,46,42,244,68,0,20,22,8,0,0,7,1,34,1,1,14,70,38,2,3,0,0,0,2,0,1,0,3,3,25,0,1,3,1,0,0,6
2020/5/20,777,77,1,0,1,0,0,0,9,0,19,46,42,247,68,0,20,22,8,0,0,7,1,34,1,1,14,71,38,2,3,0,0,0,2,0,1,0,3,3,25,0,1,3,1,0,0,6
2020/5/21,796,77,1,0,1,0,0,0,9,0,19,46,44,256,69,0,21,22,8,0,0,7,1,34,1,1,14,76,38,2,3,0,0,0,2,0,1,0,4,3,25,0,1,3,1,0,0,6
2020/5/22,808,78,1,0,1,0,0,0,9,0,19,46,44,263,71,0,21,24,8,0,0,7,1,34,1,1,14,76,38,2,3,0,0,0,2,0,1,0,4,3,25,0,1,3,1,0,0,6
2020/5/23,820,78,1,0,1,0,0,0,9,0,19,46,44,271,71,0,21,24,8,0,0,7,1,34,1,1,14,78,40,2,3,0,0,0,2,0,1,0,4,3,25,0,1,3,1,0,0,6
2020/5/24,830,79,1,0,1,0,0,0,9,0,19,46,44,280,71,0,21,24,8,0,0,7,1,34,1,1,14,78,40,2,3,0,0,0,2,0,1,0,4,3,25,0,1,3,1,0,0,6
2020/5/25,846,81,1,0,1,0,0,0,9,0,19,47,44,288,73,0,21,24,8,1,0,7,1,34,1,1,15,78,40,2,3,0,0,0,3,0,1,0,4,3,25,0,1,3,1,0,0,6
2020/5/26,858,83,1,0,1,0,0,0,10,0,19,47,44,292,76,0,21,24,8,1,0,7,1,34,1,1,15,80,40,2,3,0,0,0,3,0,1,0,4,3,25,0,1,3,1,0,0,6
2020/5/27,867,84,1,0,1,0,0,0,10,0,19,47,44,296,78,0,22,24,8,1,0,7,1,34,1,1,16,80,40,2,3,0,0,0,3,0,1,0,4,3,25,0,1,3,1,0,0,6
2020/5/28,874,85,1,0,1,0,0,0,10,0,19,47,45,299,78,0,22,24,8,1,0,7,1,34,1,1,16,82,40,2,3,0,0,0,3,0,1,0,4,3,25,0,1,3,1,0,0,6
2020/5/29,886,86,1,0,1,0,0,0,10,0,19,48,45,302,82,0,22,24,8,1,0,7,1,34,1,1,17,82,41,2,3,0,0,0,3,0,1,0,4,3,26,0,1,3,1,0,0,6
2020/5/30,891,86,1,0,1,0,0,0,10,0,19,48,45,304,82,0,22,25,8,1,0,7,1,34,1,1,17,83,42,2,3,0,0,0,3,0,1,0,4,3,26,0,1,3,1,0,0,6
2020/5/31,892,86,1,0,1,0,0,0,10,0,19,48,45,305,82,0,22,25,8,1,0,7,1,34,1,1,17,83,42,2,3,0,0,0,3,0,1,0,4,3,26,0,1,3,1,0,0,6
2020/6/1,894,86,1,0,1,0,0,0,10,0,19,48,45,305,84,0,22,25,8,1,0,7,1,34,1,1,17,83,42,2,3,0,0,0,3,0,1,0,4,3,26,0,1,3,1,0,0,6
2020/6/2,900,87,1,0,1,0,0,0,10,0,19,48,45,306,86,0,22,25,8,1,0,7,1,34,1,1,17,84,42,2,3,0,0,0,3,0,1,0,4,3,27,0,1,3,1,0,0,6
2020/6/3,903,87,1,0,1,0,0,0,10,0,19,49,45,306,86,0,22,26,8,1,0,7,1,34,1,1,17,84,42,2,3,0,0,0,3,0,1,0,4,3,27,0,1,3,1,0,0,7
2020/6/4,907,88,1,0,1,0,0,0,10,0,19,50,45,307,87,0,22,26,8,1,0,7,1,34,1,1,17,84,42,2,3,0,0,0,3,0,1,0,4,3,27,0,1,3,1,0,0,7
2020/6/5,914,90,1,0,1,0,0,0,10,0,19,51,45,309,87,0,22,27,8,1,0,7,1,34,1,1,18,84,42,2,3,0,0,0,3,0,1,0,4,3,27,0,1,3,1,0,0,7
2020/6/6,916,90,1,0,1,0,0,0,10,0,19,51,45,311,87,0,22,27,8,1,0,7,1,34,1,1,18,84,42,2,3,0,0,0,3,0,1,0,4,3,27,0,1,3,1,0,0,7
2020/6/7,916,90,1,0,1,0,0,0,10,0,19,51,45,311,87,0,22,27,8,1,0,7,1,34,1,1,18,84,42,2,3,0,0,0,3,0,1,0,4,3,27,0,1,3,1,0,0,7
2020/6/8,916,90,1,0,1,0,0,0,10,0,19,51,45,311,87,0,22,27,8,1,0,7,1,34,1,1,18,84,42,2,3,0,0,0,3,0,1,0,4,3,27,0,1,3,1,0,0,7
2020/6/9,919,91,1,0,1,0,0,0,10,0,19,51,45,311,88,0,22,27,8,1,0,7,1,34,1,1,18,84,43,2,3,0,0,0,3,0,1,0,4,3,27,0,1,3,1,0,0,7
2020/6/10,920,91,1,0,1,0,0,0,10,0,19,51,45,311,89,0,22,27,8,1,0,7,1,34,1,1,18,84,43,2,3,0,0,0,3,0,1,0,4,3,27,0,1,3,1,0,0,7
2020/6/11,922,91,1,0,1,0,0,0,10,0,19,51,45,311,89,0,22,27,8,1,0,7,1,34,1,1,18,85,43,2,3,0,0,0,3,0,1,0,4,3,28,0,1,3,1,0,0,7
2020/6/12,924,91,1,0,1,0,0,0,10,0,19,51,45,313,89,0,22,27,8,1,0,7,1,34,1,1,18,85,43,2,3,0,0,0,3,0,1,0,4,3,28,0,1,3,1,0,0,7
2020/6/13,925,91,1,0,1,0,0,0,10,0,19,51,45,314,89,0,22,27,8,1,0,7,1,34,1,1,18,85,43,2,3,0,0,0,3,0,1,0,4,3,28,0,1,3,1,0,0,7
2020/6/14,925,91,1,0,1,0,0,0,10,0,19,51,45,314,89,0,22,27,8,1,0,7,1,34,1,1,18,85,43,2,3,0,0,0,3,0,1,0,4,3,28,0,1,3,1,0,0,7
2020/6/15,927,91,1,0,1,0,0,0,10,0,19,52,45,314,90,0,22,27,8,1,0,7,1,34,1,1,18,85,43,2,3,0,0,0,3,0,1,0,4,3,28,0,1,3,1,0,0,7
2020/6/16,931,91,1,0,1,0,0,0,10,0,19,52,45,316,91,0,22,27,8,1,0,7,1,34,1,1,18,86,43,2,3,0,0,0,3,0,1,0,4,3,28,0,1,3,1,0,0,7
2020/6/17,935,92,1,0,1,0,0,0,10,0,19,52,45,317,93,0,22,27,8,1,0,7,1,34,1,1,18,86,43,2,3,0,0,0,3,0,1,0,4,3,28,0,1,3,1,0,0,7
2020/6/18,935,92,1,0,1,0,0,0,10,0,19,52,45,317,93,0,22,27,8,1,0,7,1,34,1,1,18,86,43,2,3,0,0,0,3,0,1,0,4,3,28,0,1,3,1,0,0,7
2020/6/19,952,93,1,0,1,0,0,0,10,0,19,65,45,320,93,0,22,27,8,1,0,7,1,34,1,1,18,86,43,2,3,0,0,0,3,0,1,0,4,3,28,0,1,3,1,0,0,7
2020/6/20,953,94,1,0,1,0,0,0,10,0,19,65,45,320,93,0,22,27,8,1,0,7,1,34,1,1,18,86,43,2,3,0,0,0,3,0,1,0,4,3,28,0,1,3,1,0,0,7
2020/6/21,953,94,1,0,1,0,0,0,10,0,19,65,45,320,93,0,22,27,8,1,0,7,1,34,1,1,18,86,43,2,3,0,0,0,3,0,1,0,4,3,28,0,1,3,1,0,0,7
2020/6/22,955,95,1,0,1,0,0,0,10,0,19,65,45,321,93,0,22,27,8,1,0,7,1,34,1,1,18,86,43,2,3,0,0,0,3,0,1,0,4,3,28,0,1,3,1,0,0,7
