日付,国立感染症研究所,検疫所,地方衛生研究所・保健所,民間検査会社（主に行政検査）,大学等,医療機関,小計,民間検査会社（主に自費検査）,計
2020/2/18,472,75,398,0,79,,1024,,1024
2020/2/19,15,68,609,0,0,,692,,692
2020/2/20,20,15,758,0,0,,793,,793
2020/2/21,261,188,902,132,108,,1591,,1591
2020/2/22,341,127,677,2,19,,1166,,1166
2020/2/23,53,72,529,0,0,,654,,654
2020/2/24,22,103,460,17,0,,602,,602
2020/2/25,195,38,695,0,0,,928,,928
2020/2/26,267,19,970,149,0,,1405,,1405
2020/2/27,237,61,1101,0,0,,1399,,1399
2020/2/28,53,79,1369,102,0,,1603,,1603
2020/2/29,10,86,971,0,0,,1067,,1067
2020/3/1,0,22,544,116,0,,682,,682
2020/3/2,125,24,1038,15,0,,1202,,1202
2020/3/3,20,27,1718,11,0,,1776,,1776
2020/3/4,71,12,1398,7,0,,1488,,1488
2020/3/5,83,11,1579,5,0,,1678,,1678
2020/3/6,107,35,1786,5,62,68,2063,,2063
2020/3/7,18,13,1616,11,20,44,1722,,1722
2020/3/8,0,10,579,2,8,9,608,,608
2020/3/9,0,27,1072,4,97,48,1248,,1248
2020/3/10,8,57,1763,97,65,62,2052,,2052
2020/3/11,69,45,1537,81,70,83,1885,,1885
2020/3/12,86,128,1378,28,54,65,1739,,1739
2020/3/13,4,187,1163,37,75,98,1564,,1564
2020/3/14,153,238,1082,53,15,52,1593,,1593
2020/3/15,12,59,432,0,4,106,613,,613
2020/3/16,25,65,816,35,82,57,1080,,1080
2020/3/17,35,14,1548,63,63,56,1779,,1779
2020/3/18,16,59,1461,97,89,69,1791,,1791
2020/3/19,22,31,1449,86,91,66,1745,,1745
2020/3/20,0,51,1270,28,93,24,1466,,1466
2020/3/21,0,40,696,121,28,13,898,,898
2020/3/22,4,83,688,0,42,40,857,,857
2020/3/23,0,20,1136,37,119,80,1392,,1392
2020/3/24,2,47,1973,84,119,102,2327,,2327
2020/3/25,0,29,1571,142,101,66,1909,,1909
2020/3/26,0,17,1721,152,164,95,2149,,2149
2020/3/27,30,12,1774,196,166,87,2265,,2265
2020/3/28,0,16,2049,273,156,32,2526,,2526
2020/3/29,326,62,1326,272,94,29,2109,,2109
2020/3/30,456,97,1665,540,258,183,3199,,3199
2020/3/31,0,207,3037,399,252,187,4082,,4082
2020/4/1,0,46,2870,486,354,340,4096,,4096
2020/4/2,0,131,3544,719,409,267,5070,,5070
2020/4/3,186,496,3536,786,537,191,5732,,5732
2020/4/4,517,590,3179,1183,384,68,5921,,5921
2020/4/5,288,702,2021,496,145,47,3699,,3699
2020/4/6,338,627,2769,782,650,303,5469,,5469
2020/4/7,357,685,4152,1338,641,203,7376,,7376
2020/4/8,414,805,4110,1850,589,296,8064,,8064
2020/4/9,287,940,4541,1663,549,338,8318,,8318
2020/4/10,344,650,4730,1565,676,345,8310,,8310
2020/4/11,351,683,4678,1442,369,91,7614,,7614
2020/4/12,326,833,2835,287,50,81,4412,,4412
2020/4/13,103,819,3202,1739,742,419,7024,,7024
2020/4/14,205,939,5492,1493,701,375,9205,,9205
2020/4/15,83,694,5473,1972,572,430,9224,,9224
2020/4/16,0,703,5617,1718,558,320,8916,,8916
2020/4/17,135,846,5490,2112,650,400,9633,,9633
2020/4/18,8,778,4845,2737,202,138,8708,,8708
2020/4/19,125,834,3500,52,42,92,4645,,4645
2020/4/20,0,425,3305,2220,708,484,7142,,7142
2020/4/21,0,668,4744,2086,1012,345,8855,,8855
2020/4/22,65,358,5315,2512,806,356,9412,,9412
2020/4/23,144,521,5464,2389,945,320,9783,,9783
2020/4/24,73,687,4924,2635,1185,453,9957,,9957
2020/4/25,148,795,4352,2700,315,167,8477,,8477
2020/4/26,0,732,2983,433,67,99,4314,,4314
2020/4/27,0,592,3135,2264,960,499,7450,,7450
2020/4/28,57,711,4958,2927,946,478,10077,,10077
2020/4/29,0,636,4146,2213,196,142,7333,,7333
2020/4/30,52,591,3317,2902,956,527,8345,,8345
2020/5/1,68,706,4582,2731,1025,526,9638,,9638
2020/5/2,165,805,3992,3354,381,274,8971,,8971
2020/5/3,70,692,3047,666,274,295,5044,,5044
2020/5/4,217,366,2558,1540,395,280,5356,,5356
2020/5/5,266,406,2448,1386,391,277,5174,,5174
2020/5/6,244,399,2157,1203,367,293,4663,,4663
2020/5/7,224,487,2689,3285,1012,500,8197,,8197
2020/5/8,115,425,3851,3479,1156,528,9554,,9554
2020/5/9,106,581,3458,3810,390,302,8647,,8647
2020/5/10,52,648,2088,566,160,148,3662,,3662
2020/5/11,23,633,2066,2731,1250,668,7371,,7371
2020/5/12,27,692,3387,3237,1201,556,9100,,9100
2020/5/13,24,231,3179,4021,997,450,8902,,8902
2020/5/14,3,525,2936,3590,1011,491,8556,,8556
2020/5/15,8,578,2741,3299,1190,472,8288,,8288
2020/5/16,94,658,2399,2891,363,232,6637,,6637
2020/5/17,10,732,1340,526,143,149,2900,,2900
2020/5/18,0,482,1486,2794,1273,629,6664,,6664
2020/5/19,12,643,2185,3124,1114,541,7619,,7619
2020/5/20,10,360,2056,2999,881,401,6707,,6707
2020/5/21,9,513,1791,2744,919,444,6420,,6420
2020/5/22,8,506,1460,2413,1006,435,5828,,5828
2020/5/23,9,597,1301,2217,266,204,4594,,4594
2020/5/24,0,645,735,449,60,120,2009,,2009
2020/5/25,0,449,867,1899,1248,590,5053,,5053
2020/5/26,17,706,1541,2312,1031,542,6149,,6149
2020/5/27,2,503,1416,3002,903,505,6331,,6331
2020/5/28,13,595,1395,2784,951,537,6275,,6275
2020/5/29,1,592,1293,2838,1085,520,6329,,6329
2020/5/30,18,858,1249,2610,348,259,5342,,5342
2020/5/31,0,1252,702,417,260,115,2746,,2746
2020/6/1,0,748,867,2004,1175,791,5585,,5585
2020/6/2,13,886,1625,2866,1030,633,7053,,7053
2020/6/3,132,770,1556,3330,966,587,7341,,7341
2020/6/4,82,709,1498,3355,940,543,7127,,7127
2020/6/5,99,969,1737,3507,1166,568,8046,,8046
2020/6/6,0,1045,1401,3611,299,256,6612,,6612
2020/6/7,0,1098,772,515,46,122,2553,,2553
2020/6/8,0,719,808,2788,1244,793,6352,,6352
2020/6/9,28,827,1528,4515,956,631,8485,,8485
2020/6/10,0,672,1388,4065,1021,572,7718,,7718
2020/6/11,0,802,1289,3651,1013,557,7312,,7312
2020/6/12,42,1061,1286,3668,1355,559,7971,,7971
2020/6/13,41,1183,1148,3952,394,272,6990,,6990
2020/6/14,0,1205,635,457,68,153,2518,,2518
2020/6/15,3,878,598,3380,1256,757,6872,,6872
2020/6/16,0,871,1339,4009,1040,577,7836,,7836
2020/6/17,40,771,1150,4244,963,493,7661,,7661
2020/6/18,86,838,997,3948,939,631,7439,,7439
2020/6/19,3,1173,966,3478,1278,628,7526,,7526
2020/6/20,0,1155,1041,3471,306,302,6275,,6275
2020/6/21,0,1440,477,1568,39,177,3701,,3701
2020/6/22,0,993,537,4579,1313,837,8259,,8259
2020/6/23,80,818,1054,3651,1069,643,7315,,7315
2020/6/24,25,794,1024,4805,1111,585,8344,,8344
2020/6/25,0,1064,1084,3613,1061,636,7458,,7458
2020/6/26,3,1239,1132,3539,1226,677,7816,,7816
2020/6/27,0,1117,1195,3708,437,352,6809,,6809
2020/6/28,0,1335,743,1191,44,162,3475,,3475
2020/6/29,0,893,920,3052,1378,991,7234,,7234
2020/6/30,23,742,1346,4447,1471,728,8757,,8757
2020/7/1,0,1058,1406,5224,1207,698,9593,,9593
2020/7/2,0,1181,1326,4560,1200,781,9048,,9048
2020/7/3,0,1163,1779,5314,1388,795,10439,,10439
2020/7/4,0,1359,1776,6051,508,415,10109,,10109
2020/7/5,0,1733,1344,1253,106,265,4701,,4701
2020/7/6,0,1046,1275,6094,1669,1111,11195,,11195
2020/7/7,6,1217,2218,8065,1384,841,13731,,13731
2020/7/8,0,1173,2323,6783,1481,787,12547,,12547
2020/7/9,0,1033,2239,6477,1371,757,11877,,11877
2020/7/10,0,1603,2455,6594,1682,882,13216,,13216
2020/7/11,0,1645,2279,7438,558,430,12350,,12350
2020/7/12,0,1440,1475,2234,155,227,5531,,5531
2020/7/13,0,903,1402,8104,1994,1211,13614,,13614
2020/7/14,0,1126,3520,8317,1603,1061,15627,,15627
2020/7/15,81,1071,3508,9671,1522,1029,16882,,16882
2020/7/16,85,1097,3960,8853,1561,1094,16650,,16650
2020/7/17,36,1682,4147,9605,1735,1144,18349,,18349
2020/7/18,0,1344,3571,9700,518,597,15730,,15730
2020/7/19,0,1627,2521,2141,188,291,6768,,6768
2020/7/20,3,881,2928,9356,1676,1478,16322,,16322
2020/7/21,36,1002,4656,10540,1565,1266,19065,,19065
2020/7/22,0,1066,4989,12940,2041,1356,22392,,22392
2020/7/23,121,1083,4719,7098,414,639,14074,,14074
2020/7/24,0,1237,3796,4053,206,646,9938,,9938
