Date,ALL,Hokkaido,Aomori,Iwate,Miyagi,Akita,Yamagata,Fukushima,Ibaraki,Tochigi,Gunma,Saitama,Chiba,Tokyo,Kanagawa,Niigata,Toyama,Ishikawa,Fukui,Yamanashi,Nagano,Gifu,Shizuoka,Aichi,Mie,Shiga,Kyoto,Osaka,Hyogo,Nara,Wakayama,Tottori,Shimane,Okayama,Hiroshima,Yamaguchi,Tokushima,Kagawa,Ehime,Kochi,Fukuoka,Saga,Nagasaki,Kumamoto,Oita,Miyazaki,Kagoshima,Okinawa
2020/5/9,267,23,0,0,0,0,0,0,3,0,2,10,12,83,30,0,0,0,3,1,2,1,2,5,0,1,0,56,23,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,5
2020/5/10,249,28,0,0,0,0,0,0,3,0,2,11,12,71,30,0,0,0,2,1,2,1,2,0,0,0,0,50,24,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,5
2020/5/11,243,26,0,0,0,0,0,0,2,0,2,9,11,65,31,0,0,0,3,1,2,1,2,5,0,0,0,50,24,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,5
2020/5/12,259,24,0,0,0,0,2,0,2,5,2,9,12,56,34,0,2,4,2,1,2,1,2,4,0,1,3,50,20,0,0,0,1,0,3,0,0,0,0,0,11,0,0,2,0,0,0,4
2020/5/13,245,19,0,0,0,0,2,2,2,5,2,9,11,52,34,0,2,3,2,1,2,1,2,4,0,1,3,45,21,0,0,0,1,0,1,1,0,0,0,0,11,0,0,2,0,0,0,4
2020/5/14,237,18,0,0,0,0,2,2,2,5,1,8,13,54,34,0,2,3,2,1,2,1,2,4,0,1,1,43,18,0,0,0,1,0,1,1,0,0,0,0,10,0,0,1,0,0,0,4
2020/5/15,232,17,0,0,0,0,2,2,2,5,1,8,11,53,34,0,2,3,2,1,2,1,2,4,0,1,1,41,19,0,0,0,1,0,1,1,0,0,0,0,10,0,0,1,0,0,0,4
2020/5/16,230,18,0,0,0,0,2,2,1,5,1,8,11,55,34,0,2,3,2,1,2,1,2,2,0,1,1,39,19,0,0,0,1,0,1,1,0,0,0,0,10,0,0,1,0,0,0,4
2020/5/17,228,17,0,0,0,0,2,2,1,5,1,8,11,54,34,0,2,3,2,1,2,1,2,2,0,1,1,39,17,0,0,0,1,0,1,1,0,0,2,0,10,0,0,1,0,0,0,4
2020/5/18,213,16,0,0,0,0,2,1,1,5,1,8,11,52,30,0,1,3,2,1,1,1,1,2,0,1,2,36,17,0,0,0,1,0,1,1,0,0,2,0,8,0,0,1,0,0,0,4
2020/5/19,210,16,0,0,0,0,2,1,1,5,1,6,11,49,32,0,1,3,2,1,1,1,1,2,0,1,4,36,15,0,0,0,1,0,1,1,0,0,2,0,8,0,0,1,0,0,0,4
2020/5/20,195,18,0,0,0,0,2,1,1,5,1,4,10,44,29,0,0,3,2,1,1,1,1,0,0,1,4,37,13,1,0,0,1,0,1,1,0,0,1,0,6,0,0,1,0,0,0,4
2020/5/21,176,17,0,0,0,0,2,0,1,5,1,5,6,42,28,0,0,3,2,1,1,1,1,0,0,1,4,30,12,1,0,0,1,0,1,1,0,0,0,0,4,0,0,1,0,0,0,4
2020/5/22,174,17,0,0,0,0,1,0,0,5,1,6,6,42,30,0,0,3,2,1,1,1,1,0,0,1,3,30,12,0,0,0,1,0,1,1,0,0,0,0,5,0,0,0,0,0,0,3
2020/5/23,168,17,0,0,0,0,1,0,0,5,1,6,6,43,30,0,0,3,2,1,1,1,1,0,0,1,3,24,11,0,0,0,1,0,1,1,0,0,0,0,5,0,0,0,0,0,0,3
