行ID,施設名,郵便番号,住所,電話番号,ウェブサイトURL,初診の対応可能,再診の対応可能,対応診療科,担当医師名,対面診療が必要と判断した場合に連携する医療機関名（複数ある場合は複数、住所も併せて記載）,地方ID,地方,ID地方,都道府県ID,都道府県,ID都道府県,市区町村ID,市区町村,ID市区町村,二次医療圏ID,二次医療圏,ID二次医療圏
1,ＪＡ北海道厚生連札幌厚生病院,060-0033,札幌市中央区北３条東８丁目５番地,011-261-5331,https://www.dou-kouseiren.com/byouin/sapporo/,×,〇,全科,,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
2,医療法人桑園中央病院,060-0008,札幌市中央区北8条西16丁目28番35号,011-621-1023,https://sch-hospital.com/,×,〇,内科泌尿器血管外科,松井傑駒木亨齋藤達弥松井甫雄大堀加奈子千葉泰之本間ふみか佐藤勝彦木村銀河,市立札幌病院（札幌市中央区北11条西13丁目1-1）,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
3,医療法人札幌円山整形外科病院,060-0007,北海道札幌市中央区北７条西27丁目１－３,011-612-1133,http://www.maruyama-seikeigeka.com,×,〇,整形外科、リハビリテーション科、リウマチ科,山村惠、竹林庸雄、小熊大士、山崎生久男、鈴木智之、阿部恭久、黒田未来、大西史師,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
4,医療法人菊郷会愛育病院,064-0804,北海道札幌市中央区南4条西25丁目2番1号,011-563-2211,http://www.aiiku-hp.or.jp,×,〇,内科、血液内科、消化器内科、外科、整形外科、小児科、循環器内科糖尿病内科,岡本宗徳、宮下憲暢、盛暁生、森岡正信、近藤健、齋藤誠、泉山康、小笠原励起、横山絵美、宮島徹、後藤哲、中島正人、佃曜子、中野玲奈、中山智英、佐藤彰記、高橋士郎、佐々木聡,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
5,医療法人社団いとう整形外科病院,060-0062,北海道札幌市中央区南２条西１０丁目５番地,011-241-5461,http://ito-seikei.or.jp,×,〇,整形外科,伊藤宇一柴田理惠子安保裕之高橋宏明他,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
6,医療法人社団慶愛会札幌花園病院,064-0915,北海道札幌市中央区南15条西15丁目1-30,011-561-6131,http://www.hanazono-hp.or.jp/,×,〇,精神科内科,本間研一松原良次武田宏司,状況に応じて近隣の専門病院へ打診,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
7,平松記念病院,064-8536,北海道札幌市南22条西14丁目1-20,011-561-0708,http://wwｗ.hiramatu-mhp.or.jp,×,〇,精神科心療内科,,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
8,医療法人社団心和会心和病院,064-0913,北海道札幌市中央区南13条西20丁目1-6,011-551-4184,http://shinwahp.jp/,×,〇,内科,関純彦,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
9,医療法人社団正心会岡本病院,060-0007,北海道札幌市中央区北７条西２６丁目３－１,011-6112351,,×,〇,精神科内科,岡本呉賦山中啓義種田雅彦瀬川隆之松山智子鈴木志麻子飯島誠,岡本メンタルクリニック（北海道小樽市）岡本中央メンタルクリニック（北海道札幌市）,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
10,札幌明日佳病院,064-0951,札幌市中央区宮の森1条17丁目1-25,011-641-8813,http://www.asuka-gp.or.jp,〇,〇,内科,山岸雅彦,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
11,医療法人北仁会旭山病院,064-0946,北海道札幌市中央区双子山4丁目3-33,011-641-7755,http://www.hokujin.or.jp/asahiyama/,×,〇,内科心療内科精神科,山家研司市来和政小山信良橋本省吾寺島茂夫高橋理乃清水剛金田博雄立花蘭中山秀紀白石将毅菱村将隆田辺等小川説子齊藤丹羽子青木充,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
12,一般財団法人札幌同交会病院,060-0062,札幌市中央区南２条西１９丁目２９１番地,011-611-9131,?http://ｗｗｗ.dohkohkai.or.jp,×,〇,内科消化器内科,小林壮光,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
13,札幌医科大学附属病院,060-8543,北海道札幌市中央区南1条西16丁目291番地,011-611-2111,https://web.sapmed.ac.jp/hospital/,×,〇,消化器内科免疫リウマチ科循環器・腎臓・代謝内分泌内科呼吸器内科腫瘍血液内科脳神経内科消化器・総合、乳腺内分泌外科心臓血管外科呼吸器外科整形外科脳神経外科婦人科小児科皮膚科形成外科泌尿器科耳鼻咽喉科神経内科放射線治療科麻酔科総合診療科歯科口腔外科リハビリテーション科,外来担当医,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
14,札幌中央病院,064-0809,北海道札幌市中央区南九条西10丁目1-50,011-513-0111,www.sc-h.or.jp,〇,〇,内科,荒木英司他,なし,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
15,札幌南三条病院,060-0063,札幌市中央区南3条西6丁目4-2,011-233-3711,http://www.h-keiaikai.or.jp/minamisanjo/,×,〇,呼吸器内科呼吸器外科内科,主治医,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
16,慈啓会病院,064-0941,北海道札幌市中央区旭ヶ丘5-6-50,011-561-8292,https://www.sapporojikeikai.or.jp/facility/jikeikai/,×,〇,内科精神科,東出俊之片村能也垣内英樹木村裕一川人由美子宮地佐栄柏谷琴映多羅澤功河本一彦,,1,北海道,1北海道,1,北海道,01北海道,1101,札幌市中央区,01101札幌市中央区,104,札幌,0104札幌
