地域コード,地域識別コード,境域年次(2015),境域年次(2000),,人口　平成27年　(a),人口　平成22年（組替） 2),平成22年～27年の人口増減数 2),平成22年～27年の人口増減率（％） 2),面積（km2）　(b) 1) 2),人口密度（1km2当たり）　(a)/(b) 2),世帯数　平成27年,世帯数　平成22年（組替） 2),平成22年～27年の世帯数増減数 2),平成22年～27年の世帯数増減率（％） 2)
0,a,2015,2000,全国,127094745,128057352,-962607,-0.7516999102,377970.75,340.8,53448685,51950504,1498181,2.8838623009
1,b,2015,2000,市部,116137232,116549098,-411866,-0.3533841163,216973.76,535.5,49319924,47812998,1506926,3.1517078264
2,b,2015,2000,郡部,10957513,11508254,-550741,-4.7856173491,160912.77,70.2,4128761,4137506,-8745,-0.2113592101
1000,a,2015,2000,北海道,5381733,5506419,-124686,-2.2643754498,83424.31,68.6,2444810,2424317,20493,0.8453102461
1001,b,2015,2000,市部,4395172,4449360,-54188,-1.2178830214,18536.20,238.3,2021698,1989236,32462,1.6318827932
1002,b,2015,2000,郡部,986561,1057059,-70498,-6.6692587642,64829.10,16.5,423112,435081,-11969,-2.7509820011
1100,1,2015,2000,札幌市,1952356,1913545,38811,2.0282251005,1121.26,1741.2,921837,885848,35989,4.0626608628
1101,0,2015,2000,札幌市 中央区,237627,220189,17438,7.9195600144,46.42,5119.1,132006,120741,11265,9.3298879420
1102,0,2015,2000,札幌市 北区,285321,278781,6540,2.3459274484,63.57,4488.3,133662,127440,6222,4.8822975518
1103,0,2015,2000,札幌市 東区,261912,255873,6039,2.3601552333,56.97,4597.4,124425,118939,5486,4.6124483979
1104,0,2015,2000,札幌市 白石区,209584,204259,5325,2.6069842700,34.47,6080.2,104608,100444,4164,4.1455935646
1105,0,2015,2000,札幌市 豊平区,218652,212118,6534,3.0803609312,46.23,4729.7,110171,107179,2992,2.7915916364
1106,0,2015,2000,札幌市 南区,141190,146341,-5151,-3.5198611462,657.48,214.7,61291,62776,-1485,-2.3655537148
1107,0,2015,2000,札幌市 西区,213578,211229,2349,1.1120632110,75.10,2843.9,97750,96421,1329,1.3783304467
1108,0,2015,2000,札幌市 厚別区,127767,128492,-725,-0.5642374623,24.38,5240.6,55585,54099,1486,2.7468160225
1109,0,2015,2000,札幌市 手稲区,140999,139644,1355,0.9703245395,56.77,2483.7,57333,55050,2283,4.1471389646
1110,0,2015,2000,札幌市 清田区,115726,116619,-893,-0.7657414315,59.87,1933.0,45006,42759,2247,5.2550340279
1202,2,2015,,函館市,265979,279127,-13148,-4.7104006420,677.86,392.4,123950,126180,-2230,-1.7673165319
1202,9,,2000,(旧 202 函館市),254157,265357,-11200,-4.2207290556,346.90,732.7,119177,120930,-1753,-1.4495989415
1202,9,,2000,(旧 339 戸井町),2677,3128,-451,-14.4181585678,53.04,50.5,1067,1163,-96,-8.2545141874
1202,9,,2000,(旧 340 恵山町),2993,3553,-560,-15.7613284548,94.27,31.7,1287,1433,-146,-10.1884159107
1202,9,,2000,(旧 341 椴法華村),910,1095,-185,-16.8949771689,24.92,36.5,396,445,-49,-11.0112359551
1202,9,,2000,(旧 342 南茅部町),5242,5994,-752,-12.5458792125,158.35,33.1,2023,2209,-186,-8.4200995926
1203,2,2015,2000,小樽市,121924,131928,-10004,-7.5829240192,243.83,500.0,55466,57711,-2245,-3.8900729497
1204,2,2015,2000,旭川市,339605,347095,-7490,-2.1579106585,747.66,454.2,155747,154393,1354,0.8769827648
1205,2,2015,2000,室蘭市,88564,94535,-5971,-6.3161791929,80.88,1095.0,43616,45029,-1413,-3.1379777477
1206,2,2015,,釧路市,174742,181169,-6427,-3.5475164073,1362.92,128.2,82078,81015,1063,1.3121026970
1206,9,,2000,(旧 206 釧路市),167925,173278,-5353,-3.0892554162,221.61,757.8,78874,77483,1391,1.7952325026
1206,9,,2000,(旧 666 阿寒町),4882,5540,-658,-11.8772563177,739.37,6.6,2350,2532,-182,-7.1879936809
1206,9,,2000,(旧 669 音別町),1935,2351,-416,-17.6945980434,401.40,4.8,854,1000,-146,-14.6000000000
1207,2,2015,2000,帯広市,169327,168057,1270,0.7556959841,619.34,273.4,77707,75474,2233,2.9586347616
1208,2,2015,,北見市,121226,125689,-4463,-3.5508278370,1427.41,84.9,56202,56012,190,0.3392130258
1208,9,,2000,(旧 208 北見市),105979,108632,-2653,-2.4421901465,421.08,251.7,49965,49354,611,1.2379948940
1208,9,,2000,(旧 548 端野町),4886,5215,-329,-6.3087248322,163.50,29.9,1792,1820,-28,-1.5384615385
1208,9,,2000,(旧 551 留辺蘂町),6381,7449,-1068,-14.3374949658,564.69,11.3,2835,3130,-295,-9.4249201278
1208,9,,2000,(旧 553 常呂町),3980,4393,-413,-9.4013202823,278.29,14.3,1610,1708,-98,-5.7377049180
1209,2,2015,2000,夕張市,8843,10922,-2079,-19.0349752793,763.07,11.6,4539,5558,-1019,-18.3339330694
1210,2,2015,,岩見沢市,84499,90145,-5646,-6.2632425537,481.02,175.7,36155,36723,-568,-1.5467145930
1210,9,,2000,(旧 210 岩見沢市),76348,80722,-4374,-5.4185971606,204.74,372.9,33105,33362,-257,-0.7703375097
1210,9,,2000,(旧 421 北村),2707,3232,-525,-16.2438118812,96.49,28.1,927,1015,-88,-8.6699507389
1210,9,,2000,(旧 422 栗沢町),5444,6191,-747,-12.0659021160,179.87,30.3,2123,2346,-223,-9.5055413470
1211,2,2015,2000,網走市,39077,40998,-1921,-4.6855944192,471.00,83.0,18035,18112,-77,-0.4251325088
1212,2,2015,2000,留萌市,22221,24457,-2236,-9.1425767674,297.83,74.6,10402,11044,-642,-5.8131111916
1213,2,2015,2000,苫小牧市,172737,173320,-583,-0.3363720286,561.57,307.6,78298,76289,2009,2.6334071753
1214,2,2015,2000,稚内市,36380,39595,-3215,-8.1197120849,761.47,47.8,16486,17343,-857,-4.9414749467
1215,2,2015,2000,美唄市,23035,26034,-2999,-11.5195513559,277.69,83.0,10173,10992,-819,-7.4508733624
1216,2,2015,2000,芦別市,14676,16628,-1952,-11.7392350253,865.04,17.0,6862,7526,-664,-8.8227478076
1217,2,2015,2000,江別市,120636,123722,-3086,-2.4943017410,187.38,643.8,51983,51170,813,1.5888215751
1218,2,2015,2000,赤平市,11105,12637,-1532,-12.1231304898,129.88,85.5,4980,5585,-605,-10.8325872874
