name,name_jp,population_jp,population_jp_male,population_jp_female
Hokkaido,北海道,5320000,2506000,2814000
Aomori,青森県,1278000,600000,678000
Iwate,岩手県,1255000,604000,651000
Miyagi,宮城県,2323000,1136000,1188000
Akita,秋田県,996000,468000,528000
Yamagata,山形県,1102000,531000,571000
Fukushima,福島県,1882000,932000,951000
Ibaraki,茨城県,2892000,1442000,1450000
Tochigi,栃木県,1957000,974000,983000
Gunma,群馬県,1960000,968000,992000
Saitama,埼玉県,7310000,3648000,3662000
Chiba,千葉県,6246000,3103000,3143000
Tokyo,東京都,13724000,6760000,6964000
Kanagawa,神奈川県,9159000,4569000,4590000
Niigata,新潟県,2267000,1098000,1169000
Toyama,富山県,1056000,511000,544000
Ishikawa,石川県,1147000,556000,591000
Fukui,福井県,779000,378000,401000
Yamanashi,山梨県,823000,403000,421000
Nagano,長野県,2076000,1012000,1064000
Gifu,岐阜県,2008000,973000,1035000
Shizuoka,静岡県,3675000,1810000,1866000
Aichi,愛知県,7525000,3764000,3761000
Mie,三重県,1800000,877000,923000
Shiga,滋賀県,1413000,697000,716000
Kyoto,京都府,2599000,1242000,1357000
Osaka,大阪府,8823000,4241000,4583000
Hyogo,兵庫県,5503000,2624000,2879000
Nara,奈良県,1348000,635000,712000
Wakayama,和歌山県,945000,444000,501000
Tottori,鳥取県,565000,270000,295000
Shimane,島根県,685000,330000,355000
Okayama,岡山県,1907000,916000,991000
Hiroshima,広島県,2829000,1372000,1457000
Yamaguchi,山口県,1383000,655000,727000
Tokushima,徳島県,743000,354000,389000
Kagawa,香川県,967000,469000,499000
Ehime,愛媛県,1364000,645000,719000
Kochi,高知県,714000,336000,377000
Fukuoka,福岡県,5107000,2415000,2692000
Saga,佐賀県,824000,389000,434000
Nagasaki,長崎県,1354000,636000,718000
Kumamoto,熊本県,1765000,833000,933000
Oita,大分県,1152000,546000,607000
Miyazaki,宮崎県,1089000,512000,577000
Kagoshima,鹿児島県,1626000,763000,863000
Okinawa,沖縄県,1443000,709000,734000
