都道府県,回答数（施設）,特定感染症指定医療機関（施設）,第一種感染症指定医療機関（施設）,第二種感染症指定医療機関（施設）,総病床（床）,総CE（名）,人工呼吸器取扱（台）,人工呼吸器取扱うち小児（台）,人工呼吸器待機（台）,マスク専用人工呼吸器取扱（台）,マスク専用人工呼吸器待機（台）,ECMO装置取扱（台）,ECMO装置待機（台）
北海道,95,0,1,19,24095,788,860,367,531,213,119,59,56
青森県,33,0,1,6,7704,154,270,97,221,98,72,15,13
岩手県,29,0,1,11,8043,-,477,133,249,106,69,13,13
宮城県,23,0,1,4,7230,209,267,96,155,81,48,20,19
秋田県,22,0,1,10,6839,140,231,78,169,69,50,12,9
山形県,27,0,1,5,8091,206,381,144,233,113,69,15,14
福島県,14,0,1,4,5383,198,239,81,177,102,61,14,13
茨城県,38,0,1,7,9630,262,441,130,278,170,99,13,9
栃木県,7,0,0,1,3287,79,171,46,111,48,25,11,8
群馬県,30,0,1,5,7829,246,346,124,223,112,70,31,30
埼玉県,90,0,2,8,25375,1072,1291,585,724,295,188,74,62
千葉県,80,1,1,15,23526,839,1211,483,752,308,157,69,65
東京都,174,1,3,21,57137,1652,3066,1476,1892,736,492,196,173
神奈川県,33,0,1,3,13924,491,737,315,420,276,185,63,51
新潟県,29,0,1,6,9728,249,345,123,282,129,86,22,21
富山県,9,0,0,2,3017,54,101,20,80,27,20,10,10
石川県,5,0,1,1,2088,50,100,37,67,23,16,9,7
福井県,14,0,1,6,4583,106,172,69,121,36,25,6,6
山梨県,20,0,1,5,5053,115,208,71,126,81,55,10,9
長野県,19,0,0,3,5537,203,182,56,142,44,31,9,8
岐阜県,37,0,1,5,10703,272,417,164,241,106,53,20,17
静岡県,27,0,1,6,11739,385,487,204,320,132,97,40,38
愛知県,50,1,1,13,21863,670,898,288,627,245,156,70,61
三重県,15,0,1,4,5487,170,222,72,156,61,39,17,13
滋賀県,20,0,1,5,6450,171,240,97,106,58,29,15,15
京都府,36,0,1,9,11934,451,428,153,266,137,72,40,38
大阪府,48,1,1,1,17720,634,1000,492,541,281,140,103,83
兵庫県,25,0,2,9,10108,306,619,249,387,112,81,47,39
奈良県,29,0,1,5,7571,225,374,125,240,61,43,21,20
和歌山県,9,0,1,4,3541,62,156,50,126,31,26,12,12
鳥取県,15,0,1,4,4448,98,223,114,119,50,28,13,13
島根県,20,0,1,8,5976,115,261,88,161,118,45,14,13
岡山県,49,0,1,3,12994,481,560,242,332,147,91,38,31
広島県,53,0,1,6,13830,426,679,312,397,167,114,35,32
山口県,39,0,1,4,9638,226,497,163,281,133,91,24,21
徳島県,16,0,1,3,3484,170,219,150,89,39,25,5,4
香川県,25,0,1,9,6436,205,383,98,207,71,52,19,19
愛媛県,22,0,1,7,6402,166,216,49,144,69,51,22,21
高知県,10,0,1,3,3549,166,176,62,106,33,16,8,7
福岡県,36,0,0,7,12996,445,625,216,301,139,85,36,31
佐賀県,11,0,1,3,3527,69,174,53,135,44,24,11,10
長崎県,22,0,1,3,6246,134,346,108,186,64,33,20,20
熊本県,43,0,1,9,10721,326,523,206,270,137,53,19,16
大分県,26,0,1,9,5858,206,322,69,150,64,44,18,17
宮崎県,25,0,1,6,5367,136,311,58,191,86,49,11,11
鹿児島県,26,0,1,4,7369,217,393,156,180,137,81,28,25
沖縄県,33,0,2,7,8199,333,409,126,225,154,75,35,32
全国,1558,4,48,298,472255,14378,22254,8695,13437,5943,3630,1412,1255
